antecedents,consequents,orig_support,orig_confidence,Reject Option Classification_support,Reject Option Classification_confidence,Equalized Odds_support,Equalized Odds_confidence,Calibrated EO_support,Calibrated EO_confidence,Threshold Optimizer_support,Threshold Optimizer_confidence
"n_married, female",<50K,0.26,0.955,0.242,0.891,,,0.272,1.0,0.258,0.949
"white, n_married, female",<50K,0.209,0.954,,,,,0.219,1.0,0.208,0.95
"UnitedStates, n_married, female",<50K,0.238,0.954,0.221,0.886,,,0.25,1.0,0.236,0.948
n_married,<50K,0.487,0.936,0.473,0.91,0.435,0.837,0.499,0.959,0.496,0.952
"UnitedStates, n_married",<50K,0.445,0.935,0.432,0.906,0.396,0.832,0.456,0.958,0.453,0.951
"white, n_married",<50K,0.402,0.933,0.388,0.903,0.361,0.838,0.411,0.956,0.41,0.953
"UnitedStates, Age (decade_20.0",<50K,0.207,0.932,0.21,0.943,,,0.214,0.961,,
Age (decade_20.0,<50K,0.231,0.932,0.234,0.943,0.213,0.86,0.238,0.961,,
"white, UnitedStates, n_married",<50K,0.374,0.932,0.361,0.899,0.334,0.834,0.383,0.954,0.382,0.952
"n_married, male",<50K,0.228,0.916,0.231,0.93,0.224,0.9,0.227,0.913,0.238,0.956
"UnitedStates, n_married, male",<50K,0.207,0.914,0.211,0.928,0.203,0.895,0.207,0.911,0.217,0.954
female,<50K,0.29,0.891,0.269,0.826,,,0.326,1.0,,
"UnitedStates, female",<50K,0.263,0.888,0.244,0.821,,,0.297,1.0,,
"white, female",<50K,0.233,0.882,0.214,0.809,,,0.264,1.0,,
"UnitedStates, white, female",<50K,0.216,0.877,,,,,0.246,1.0,,
education.num_9.0,<50K,0.267,0.832,0.284,0.882,,,0.288,0.896,,
"education.num_9.0, UnitedStates",<50K,0.249,0.829,0.265,0.883,,,0.27,0.896,,
"education.num_9.0, white",<50K,0.226,0.819,0.241,0.874,,,0.245,0.89,,
"education.num_9.0, white, UnitedStates",<50K,0.214,0.817,0.229,0.873,,,0.234,0.89,,
