antecedents,consequents,orig_support,orig_confidence,Reject Option Classification_support,Reject Option Classification_confidence,Equalized Odds_support,Equalized Odds_confidence,Calibrated EO_support,Calibrated EO_confidence,Threshold Optimizer_support,Threshold Optimizer_confidence
"n_married, female",<50K,0.26,0.955,0.23,0.848,,,0.272,1.0,0.227,0.835
"white, n_married, female",<50K,0.209,0.954,,,,,0.219,1.0,,
"UnitedStates, n_married, female",<50K,0.238,0.954,0.211,0.847,,,0.25,1.0,0.208,0.834
n_married,<50K,0.487,0.936,0.468,0.899,0.442,0.849,0.509,0.979,0.437,0.839
"UnitedStates, n_married",<50K,0.445,0.935,0.427,0.897,0.402,0.843,0.466,0.977,0.399,0.837
"white, n_married",<50K,0.402,0.933,0.385,0.894,0.363,0.844,0.42,0.975,0.36,0.836
"UnitedStates, Age (decade_20.0",<50K,0.207,0.932,0.204,0.918,,,0.215,0.965,0.202,0.909
Age (decade_20.0,<50K,0.231,0.932,0.228,0.92,0.209,0.843,0.24,0.967,0.226,0.911
"white, UnitedStates, n_married",<50K,0.374,0.932,0.357,0.89,0.337,0.84,0.391,0.974,0.335,0.834
"n_married, male",<50K,0.228,0.916,0.237,0.955,0.229,0.92,0.237,0.955,0.21,0.844
"UnitedStates, n_married, male",<50K,0.207,0.914,0.216,0.952,0.208,0.915,0.216,0.952,,
female,<50K,0.29,0.891,,,,,0.326,1.0,0.267,0.82
"UnitedStates, female",<50K,0.263,0.888,,,,,0.297,1.0,0.242,0.817
"white, female",<50K,0.233,0.882,,,,,0.264,1.0,0.214,0.812
"UnitedStates, white, female",<50K,0.216,0.877,,,,,0.246,1.0,,
education.num_9.0,<50K,0.267,0.832,0.267,0.83,,,0.287,0.894,,
"education.num_9.0, UnitedStates",<50K,0.249,0.829,0.249,0.828,,,0.268,0.891,,
"education.num_9.0, white",<50K,0.226,0.819,0.225,0.815,,,0.243,0.881,,
"education.num_9.0, white, UnitedStates",<50K,0.214,0.817,0.213,0.813,,,0.231,0.879,,
