antecedents,consequents,orig_support,orig_confidence,Reject Option Classification_support,Reject Option Classification_confidence,Equalized Odds_support,Equalized Odds_confidence,Calibrated EO_support,Calibrated EO_confidence,Threshold Optimizer_support,Threshold Optimizer_confidence
"n_married, female",<50K,0.26,0.955,,,,,0.272,1.0,,
"white, n_married, female",<50K,0.209,0.954,,,,,0.219,1.0,,
"UnitedStates, n_married, female",<50K,0.238,0.954,,,,,0.25,1.0,,
n_married,<50K,0.487,0.936,0.43,0.826,0.433,0.833,0.514,0.987,,
"UnitedStates, n_married",<50K,0.445,0.935,0.391,0.821,0.397,0.833,0.47,0.987,,
"white, n_married",<50K,0.402,0.933,0.352,0.817,0.357,0.829,0.424,0.986,,
"UnitedStates, Age (decade_20.0",<50K,0.207,0.932,,,,,0.215,0.964,,
Age (decade_20.0,<50K,0.231,0.932,0.201,0.809,0.201,0.809,0.24,0.966,,
"white, UnitedStates, n_married",<50K,0.374,0.932,0.326,0.813,0.333,0.831,0.395,0.985,,
"n_married, male",<50K,0.228,0.916,0.236,0.948,0.235,0.945,0.242,0.973,,
"UnitedStates, n_married, male",<50K,0.207,0.914,0.215,0.947,0.214,0.944,0.221,0.972,,
female,<50K,0.29,0.891,,,,,0.326,1.0,,
"UnitedStates, female",<50K,0.263,0.888,,,,,0.297,1.0,,
"white, female",<50K,0.233,0.882,,,,,0.264,1.0,,
"UnitedStates, white, female",<50K,0.216,0.877,,,,,0.246,1.0,,
education.num_9.0,<50K,0.267,0.832,,,,,0.301,0.938,,
"education.num_9.0, UnitedStates",<50K,0.249,0.829,,,,,0.281,0.936,,
"education.num_9.0, white",<50K,0.226,0.819,,,,,0.257,0.933,,
"education.num_9.0, white, UnitedStates",<50K,0.214,0.817,,,,,0.244,0.931,,
