antecedents,consequents,orig_support,orig_confidence,Reject Option Classification_support,Reject Option Classification_confidence,Equalized Odds_support,Equalized Odds_confidence,Calibrated EO_support,Calibrated EO_confidence,Threshold Optimizer_support,Threshold Optimizer_confidence
"n_married, female",<50K,0.26,0.955,,,,,0.272,1.0,0.25,0.919
"white, n_married, female",<50K,0.209,0.954,,,,,0.219,1.0,0.201,0.918
"UnitedStates, n_married, female",<50K,0.238,0.954,,,,,0.25,1.0,0.229,0.918
n_married,<50K,0.487,0.936,,,0.423,0.813,0.505,0.971,0.48,0.923
"UnitedStates, n_married",<50K,0.445,0.935,,,0.387,0.811,0.462,0.97,0.439,0.921
"white, n_married",<50K,0.402,0.933,,,0.347,0.807,0.417,0.969,0.397,0.923
"UnitedStates, Age (decade_20.0",<50K,0.207,0.932,,,,,0.216,0.971,,
Age (decade_20.0,<50K,0.231,0.932,0.209,0.841,0.209,0.841,0.241,0.972,,
"white, UnitedStates, n_married",<50K,0.374,0.932,,,0.323,0.806,0.388,0.968,0.369,0.921
"n_married, male",<50K,0.228,0.916,0.216,0.868,0.219,0.882,0.234,0.94,0.231,0.928
"UnitedStates, n_married, male",<50K,0.207,0.914,,,,,0.213,0.938,0.21,0.925
female,<50K,0.29,0.891,,,,,0.326,1.0,,
"UnitedStates, female",<50K,0.263,0.888,,,,,0.297,1.0,,
"white, female",<50K,0.233,0.882,,,,,0.264,1.0,,
"UnitedStates, white, female",<50K,0.216,0.877,,,,,0.246,1.0,,
education.num_9.0,<50K,0.267,0.832,,,,,0.294,0.914,,
"education.num_9.0, UnitedStates",<50K,0.249,0.829,,,,,0.275,0.914,,
"education.num_9.0, white",<50K,0.226,0.819,,,,,0.251,0.91,,
"education.num_9.0, white, UnitedStates",<50K,0.214,0.817,,,,,0.239,0.91,,
