antecedents,consequents,orig_support,orig_confidence,Reject Option Classification_support,Reject Option Classification_confidence,Equalized Odds_support,Equalized Odds_confidence,Calibrated EO_support,Calibrated EO_confidence,Threshold Optimizer_support,Threshold Optimizer_confidence
"juv_misd=0, white, n_recidive, male",risk_low,0.156,0.892,0.174,0.994,,,0.162,0.923,,
"white, juv_misd=0, male, juv_fel=0, n_recidive",risk_low,0.156,0.891,0.173,0.994,,,0.162,0.925,,
"n_recidive, white, male",risk_low,0.158,0.89,0.176,0.994,,,0.163,0.917,,
"n_recidive, white, juv_fel=0, male",risk_low,0.157,0.89,0.176,0.994,,,0.163,0.92,,
"juv_misd=0, white, n_recidive",risk_low,0.198,0.861,0.228,0.991,,,0.211,0.915,,
"juv_misd=0, white, n_recidive, juv_fel=0",risk_low,0.198,0.861,0.228,0.991,,,0.211,0.917,,
"n_recidive, white",risk_low,0.2,0.86,0.23,0.991,,,0.212,0.911,,
"n_recidive, white, juv_fel=0",risk_low,0.199,0.86,0.23,0.991,,,0.212,0.914,,
"priors_No, n_recidive, juv_fel=0",risk_low,0.162,0.854,0.188,0.989,0.155,0.817,,,0.19,1.0
"priors_No, n_recidive",risk_low,0.162,0.854,0.188,0.989,0.155,0.817,,,0.19,1.0
"priors_No, juv_misd=0, n_recidive",risk_low,0.162,0.854,0.188,0.989,0.155,0.817,,,0.19,1.0
"priors_No, juv_misd=0, n_recidive, juv_fel=0",risk_low,0.162,0.854,0.188,0.989,0.155,0.817,,,0.19,1.0
"priors_No, juv_misd=0, juv_fel=0, male",risk_low,0.16,0.804,0.198,0.995,,,,,0.199,1.0
"priors_No, male",risk_low,0.16,0.804,0.198,0.995,,,,,0.199,1.0
"priors_No, juv_misd=0, male",risk_low,0.16,0.804,0.198,0.995,,,,,0.199,1.0
"priors_No, juv_fel=0, male",risk_low,0.16,0.804,0.198,0.995,,,,,0.199,1.0
