antecedents,consequents,orig_support,orig_confidence,Decision Tree_support,Decision Tree_confidence,Logistic Regression_support,Logistic Regression_confidence,Random Forest_support,Random Forest_confidence,KNN_support,KNN_confidence,support,confidence
"frozenset({'female', 'UnitedStates', 'n_married'})",frozenset({'<50K'}),0.234,0.947,0.221,0.892,,,,,0.211,0.854,,
"frozenset({'female', 'n_married'})",frozenset({'<50K'}),0.258,0.946,0.244,0.896,,,,,0.233,0.857,,
"frozenset({'female', 'white', 'n_married'})",frozenset({'<50K'}),0.202,0.945,,,,,,,,,,
frozenset({'Age (decade)_20.0'}),frozenset({'<50K'}),0.227,0.937,0.226,0.932,,,0.208,0.858,0.225,0.927,,
"frozenset({'UnitedStates', 'n_married'})",frozenset({'<50K'}),0.445,0.932,0.435,0.911,0.409,0.856,0.396,0.829,0.43,0.9,,
frozenset({'n_married'}),frozenset({'<50K'}),0.494,0.932,0.484,0.914,0.456,0.861,0.439,0.829,0.479,0.903,,
"frozenset({'white', 'n_married'})",frozenset({'<50K'}),0.398,0.927,0.389,0.907,0.365,0.849,0.352,0.819,0.384,0.894,,
"frozenset({'UnitedStates', 'white', 'n_married'})",frozenset({'<50K'}),0.368,0.926,0.359,0.904,0.335,0.845,0.324,0.818,0.354,0.891,,
"frozenset({'male', 'n_married'})",frozenset({'<50K'}),0.236,0.917,0.24,0.932,0.248,0.963,0.232,0.901,0.245,0.952,,
"frozenset({'male', 'UnitedStates', 'n_married'})",frozenset({'<50K'}),0.211,0.916,0.215,0.932,0.222,0.963,0.206,0.897,0.219,0.949,,
"frozenset({'female', 'UnitedStates'})",frozenset({'<50K'}),0.26,0.886,0.242,0.825,,,,,,,,
frozenset({'female'}),frozenset({'<50K'}),0.291,0.885,0.272,0.83,,,,,,,,
"frozenset({'female', 'white'})",frozenset({'<50K'}),0.228,0.878,0.211,0.811,,,,,,,,
"frozenset({'female', 'UnitedStates', 'white'})",frozenset({'<50K'}),0.21,0.877,,,,,,,,,,
frozenset({'education.num_9.0'}),frozenset({'<50K'}),0.278,0.846,0.293,0.894,,,,,0.28,0.853,,
"frozenset({'UnitedStates', 'education.num_9.0'})",frozenset({'<50K'}),0.255,0.843,0.271,0.895,,,,,0.258,0.852,,
"frozenset({'white', 'education.num_9.0'})",frozenset({'<50K'}),0.231,0.833,0.246,0.886,,,,,0.232,0.838,,
"frozenset({'UnitedStates', 'white', 'education.num_9.0'})",frozenset({'<50K'}),0.217,0.832,0.232,0.887,,,,,0.219,0.837,,
"frozenset({'male', 'white', 'n_married'})",frozenset({'<50K'}),,,,,,,,,0.204,0.948,0.204,0.948
