Dataset,Rule,support,confidence
adult,"{'white', 'female', 'n_married'} -> {'<50K'}",0.222,1.0
adult,"{'UnitedStates', 'white', 'female'} -> {'<50K'}",0.249,1.0
adult,"{'UnitedStates', 'female'} -> {'<50K'}",0.301,1.0
adult,{'female'} -> {'<50K'},0.332,1.0
adult,"{'UnitedStates', 'female', 'n_married'} -> {'<50K'}",0.253,1.0
adult,"{'female', 'n_married'} -> {'<50K'}",0.274,1.0
adult,"{'white', 'female'} -> {'<50K'}",0.269,1.0
adult,"{'white', 'UnitedStates', 'female', 'n_married'} -> {'<50K'}",0.207,1.0
adult,"{'UnitedStates', 'n_married'} -> {'<50K'}",0.466,0.962
adult,{'n_married'} -> {'<50K'},0.504,0.961
adult,"{'UnitedStates', 'white', 'n_married'} -> {'<50K'}",0.391,0.961
adult,"{'white', 'n_married'} -> {'<50K'}",0.418,0.96
adult,"{'UnitedStates', 'Age (decade)_20.0'} -> {'<50K'}",0.217,0.956
adult,{'Age (decade)_20.0'} -> {'<50K'},0.241,0.954
adult,"{'white', 'Age (decade)_20.0'} -> {'<50K'}",0.203,0.953
adult,"{'UnitedStates', 'male', 'n_married'} -> {'<50K'}",0.212,0.92
adult,"{'male', 'n_married'} -> {'<50K'}",0.23,0.918
adult,"{'UnitedStates', 'education.num_9.0'} -> {'<50K'}",0.278,0.891
adult,{'education.num_9.0'} -> {'<50K'},0.298,0.89
adult,"{'UnitedStates', 'white', 'education.num_9.0'} -> {'<50K'}",0.241,0.889
adult,"{'white', 'education.num_9.0'} -> {'<50K'}",0.255,0.888
adult,{'Age (decade)_30.0'} -> {'<50K'},0.22,0.805
adult,"{'UnitedStates', 'Age (decade)_30.0'} -> {'<50K'}",0.2,0.803
adult,{'UnitedStates'} -> {'<50K'},0.73,0.801
