antecedents,consequents,orig_support,orig_confidence,Reject Option Classification_support,Reject Option Classification_confidence,Equalized Odds_support,Equalized Odds_confidence
"frozenset({'Age (decade)_20.0', 'UnitedStates', 'n_married', 'white'})",frozenset({'<50K'}),0.139,0.986,0.137,0.971,0.128,0.905
"frozenset({'Age (decade)_20.0', 'n_married', 'white'})",frozenset({'<50K'}),0.152,0.985,0.15,0.972,0.14,0.904
"frozenset({'Age (decade)_20.0', 'UnitedStates', 'n_married'})",frozenset({'<50K'}),0.164,0.985,0.161,0.971,0.151,0.908
"frozenset({'Age (decade)_20.0', 'n_married'})",frozenset({'<50K'}),0.185,0.984,0.183,0.972,0.17,0.907
"frozenset({'male', 'n_married', 'Age (decade)_20.0'})",frozenset({'<50K'}),0.103,0.979,0.102,0.974,0.102,0.966
"frozenset({'n_married', 'education.num_9.0'})",frozenset({'<50K'}),0.164,0.976,0.16,0.953,0.152,0.903
"frozenset({'UnitedStates', 'n_married', 'education.num_9.0'})",frozenset({'<50K'}),0.151,0.976,0.148,0.951,0.14,0.902
"frozenset({'n_married', 'education.num_9.0', 'white'})",frozenset({'<50K'}),0.129,0.971,0.125,0.943,0.119,0.897
"frozenset({'education.num_9.0', 'UnitedStates', 'n_married', 'white'})",frozenset({'<50K'}),0.121,0.97,0.118,0.941,0.112,0.897
"frozenset({'UnitedStates', 'education.num_10.0', 'n_married'})",frozenset({'<50K'}),0.121,0.965,0.116,0.928,0.109,0.868
"frozenset({'education.num_10.0', 'n_married'})",frozenset({'<50K'}),0.132,0.965,0.127,0.929,0.118,0.865
"frozenset({'education.num_10.0', 'UnitedStates', 'n_married', 'white'})",frozenset({'<50K'}),0.102,0.964,,,,
"frozenset({'education.num_10.0', 'n_married', 'white'})",frozenset({'<50K'}),0.108,0.964,0.105,0.933,,
"frozenset({'n_married', 'female'})",frozenset({'<50K'}),0.255,0.961,0.237,0.894,,
"frozenset({'UnitedStates', 'n_married', 'female'})",frozenset({'<50K'}),0.232,0.961,0.214,0.889,,
"frozenset({'n_married', 'white', 'female'})",frozenset({'<50K'}),0.202,0.959,0.186,0.882,,
"frozenset({'UnitedStates', 'n_married', 'white', 'female'})",frozenset({'<50K'}),0.187,0.957,0.171,0.878,,
"frozenset({'UnitedStates', 'n_married'})",frozenset({'<50K'}),0.441,0.937,0.428,0.908,0.403,0.855
frozenset({'n_married'}),frozenset({'<50K'}),0.489,0.937,0.475,0.911,0.445,0.854
frozenset({'Age (decade)_20.0'}),frozenset({'<50K'}),0.233,0.935,0.233,0.935,0.214,0.86
"frozenset({'Age (decade)_20.0', 'UnitedStates'})",frozenset({'<50K'}),0.205,0.934,0.205,0.933,0.188,0.857
"frozenset({'n_married', 'white'})",frozenset({'<50K'}),0.398,0.931,0.386,0.905,0.362,0.847
"frozenset({'UnitedStates', 'n_married', 'white'})",frozenset({'<50K'}),0.366,0.931,0.354,0.901,0.333,0.847
"frozenset({'Age (decade)_20.0', 'white'})",frozenset({'<50K'}),0.193,0.93,0.194,0.934,0.177,0.852
"frozenset({'Age (decade)_20.0', 'UnitedStates', 'white'})",frozenset({'<50K'}),0.175,0.929,0.176,0.931,0.16,0.85
"frozenset({'male', 'Age (decade)_20.0'})",frozenset({'<50K'}),0.142,0.922,0.144,0.939,0.138,0.898
"frozenset({'male', 'UnitedStates', 'Age (decade)_20.0'})",frozenset({'<50K'}),0.124,0.921,0.126,0.935,0.12,0.89
"frozenset({'male', 'white', 'Age (decade)_20.0'})",frozenset({'<50K'}),0.12,0.917,0.123,0.939,0.116,0.89
"frozenset({'male', 'UnitedStates', 'white', 'Age (decade)_20.0'})",frozenset({'<50K'}),0.108,0.916,0.11,0.935,0.104,0.884
"frozenset({'male', 'UnitedStates', 'n_married'})",frozenset({'<50K'}),0.21,0.912,0.213,0.929,0.21,0.914
"frozenset({'male', 'n_married'})",frozenset({'<50K'}),0.234,0.912,0.238,0.929,0.234,0.915
"frozenset({'Age (decade)_30.0', 'UnitedStates', 'n_married'})",frozenset({'<50K'}),0.103,0.91,,,,
"frozenset({'Age (decade)_30.0', 'n_married'})",frozenset({'<50K'}),0.114,0.908,0.111,0.88,0.105,0.836
"frozenset({'male', 'UnitedStates', 'n_married', 'white'})",frozenset({'<50K'}),0.179,0.905,0.183,0.925,0.18,0.907
"frozenset({'male', 'n_married', 'white'})",frozenset({'<50K'}),0.195,0.905,0.2,0.927,0.196,0.908
frozenset({'female'}),frozenset({'<50K'}),0.29,0.895,0.266,0.822,,
"frozenset({'UnitedStates', 'female'})",frozenset({'<50K'}),0.26,0.893,0.239,0.819,,
"frozenset({'white', 'female'})",frozenset({'<50K'}),0.227,0.882,0.208,0.805,,
"frozenset({'UnitedStates', 'white', 'female'})",frozenset({'<50K'}),0.209,0.881,0.19,0.802,,
frozenset({'n_white'}),frozenset({'<50K'}),0.127,0.858,0.123,0.833,,
frozenset({'education.num_9.0'}),frozenset({'<50K'}),0.272,0.84,0.286,0.883,,
"frozenset({'UnitedStates', 'education.num_9.0'})",frozenset({'<50K'}),0.25,0.835,0.265,0.884,,
"frozenset({'education.num_9.0', 'white'})",frozenset({'<50K'}),0.222,0.821,0.237,0.876,,
"frozenset({'UnitedStates', 'education.num_9.0', 'white'})",frozenset({'<50K'}),0.209,0.819,0.224,0.878,,
frozenset({'education.num_10.0'}),frozenset({'<50K'}),0.183,0.809,0.19,0.84,,
"frozenset({'UnitedStates', 'education.num_10.0'})",frozenset({'<50K'}),0.169,0.808,0.175,0.841,,
