Dataset,Rule,support,confidence
adult,"{'female', 'n_married', 'UnitedStates', 'education.num_<6'} -> {'<50K'}",0.233,0.945
adult,"{'n_married', 'UnitedStates', 'female'} -> {'<50K'}",0.233,0.945
adult,"{'female', 'n_married', 'UnitedStates', 'Age (decade)_0.0'} -> {'<50K'}",0.233,0.945
adult,"{'n_married', 'education.num_<6', 'Age (decade)_0.0', 'UnitedStates', 'female'} -> {'<50K'}",0.233,0.945
adult,"{'n_married', 'female', 'education.num_<6'} -> {'<50K'}",0.255,0.945
adult,"{'n_married', 'female'} -> {'<50K'}",0.255,0.945
adult,"{'n_married', 'female', 'education.num_<6', 'Age (decade)_0.0'} -> {'<50K'}",0.255,0.945
adult,"{'n_married', 'female', 'Age (decade)_0.0'} -> {'<50K'}",0.255,0.945
adult,"{'white', 'n_married', 'female', 'Age (decade)_0.0'} -> {'<50K'}",0.206,0.942
adult,"{'white', 'n_married', 'female'} -> {'<50K'}",0.206,0.942
adult,"{'n_married', 'education.num_<6', 'Age (decade)_0.0', 'white', 'female'} -> {'<50K'}",0.206,0.942
adult,"{'white', 'n_married', 'female', 'education.num_<6'} -> {'<50K'}",0.206,0.942
adult,"{'n_married', 'Age (decade)_0.0'} -> {'<50K'}",0.487,0.931
adult,{'n_married'} -> {'<50K'},0.487,0.931
adult,"{'n_married', 'education.num_<6', 'Age (decade)_0.0'} -> {'<50K'}",0.487,0.931
adult,"{'n_married', 'education.num_<6'} -> {'<50K'}",0.487,0.931
adult,"{'n_married', 'UnitedStates', 'education.num_<6'} -> {'<50K'}",0.447,0.93
adult,"{'n_married', 'UnitedStates', 'education.num_<6', 'Age (decade)_0.0'} -> {'<50K'}",0.447,0.93
adult,"{'n_married', 'UnitedStates', 'Age (decade)_0.0'} -> {'<50K'}",0.447,0.93
adult,"{'n_married', 'UnitedStates'} -> {'<50K'}",0.447,0.93
adult,"{'white', 'n_married'} -> {'<50K'}",0.399,0.927
adult,"{'white', 'n_married', 'education.num_<6'} -> {'<50K'}",0.399,0.927
adult,"{'white', 'n_married', 'Age (decade)_0.0'} -> {'<50K'}",0.399,0.927
adult,"{'white', 'n_married', 'education.num_<6', 'Age (decade)_0.0'} -> {'<50K'}",0.399,0.927
adult,"{'white', 'n_married', 'UnitedStates', 'Age (decade)_0.0'} -> {'<50K'}",0.372,0.925
adult,"{'n_married', 'education.num_<6', 'Age (decade)_0.0', 'white', 'UnitedStates'} -> {'<50K'}",0.372,0.925
adult,"{'n_married', 'white', 'UnitedStates'} -> {'<50K'}",0.372,0.925
adult,"{'white', 'n_married', 'UnitedStates', 'education.num_<6'} -> {'<50K'}",0.372,0.925
adult,"{'n_married', 'education.num_<6', 'male'} -> {'<50K'}",0.232,0.917
adult,"{'n_married', 'male'} -> {'<50K'}",0.232,0.917
adult,"{'n_married', 'education.num_<6', 'Age (decade)_0.0', 'male'} -> {'<50K'}",0.232,0.917
adult,"{'n_married', 'Age (decade)_0.0', 'male'} -> {'<50K'}",0.232,0.917
adult,"{'n_married', 'UnitedStates', 'male'} -> {'<50K'}",0.213,0.914
adult,"{'n_married', 'UnitedStates', 'education.num_<6', 'male'} -> {'<50K'}",0.213,0.914
adult,"{'n_married', 'education.num_<6', 'Age (decade)_0.0', 'UnitedStates', 'male'} -> {'<50K'}",0.213,0.914
adult,"{'n_married', 'UnitedStates', 'Age (decade)_0.0', 'male'} -> {'<50K'}",0.213,0.914
adult,"{'female', 'education.num_<6'} -> {'<50K'}",0.286,0.879
adult,"{'female', 'education.num_<6', 'Age (decade)_0.0'} -> {'<50K'}",0.286,0.879
adult,{'female'} -> {'<50K'},0.286,0.879
adult,"{'female', 'Age (decade)_0.0'} -> {'<50K'}",0.286,0.879
adult,"{'UnitedStates', 'female', 'education.num_<6', 'Age (decade)_0.0'} -> {'<50K'}",0.259,0.876
adult,"{'UnitedStates', 'female', 'education.num_<6'} -> {'<50K'}",0.259,0.876
adult,"{'UnitedStates', 'female', 'Age (decade)_0.0'} -> {'<50K'}",0.259,0.876
adult,"{'UnitedStates', 'female'} -> {'<50K'}",0.259,0.876
adult,"{'white', 'female', 'Age (decade)_0.0'} -> {'<50K'}",0.23,0.869
adult,"{'white', 'female', 'education.num_<6', 'Age (decade)_0.0'} -> {'<50K'}",0.23,0.869
adult,"{'white', 'female', 'education.num_<6'} -> {'<50K'}",0.23,0.869
adult,"{'white', 'female'} -> {'<50K'}",0.23,0.869
adult,"{'white', 'UnitedStates', 'female'} -> {'<50K'}",0.213,0.866
adult,"{'white', 'UnitedStates', 'female', 'Age (decade)_0.0'} -> {'<50K'}",0.213,0.866
adult,"{'white', 'UnitedStates', 'female', 'education.num_<6'} -> {'<50K'}",0.213,0.866
adult,"{'education.num_<6', 'Age (decade)_0.0', 'white', 'UnitedStates', 'female'} -> {'<50K'}",0.213,0.866
