Dataset,Rule,support,confidence
adult,"{'n_married', 'male'} -> {'<50K'}",0.239,0.944
adult,"{'white', 'male', 'n_married'} -> {'<50K'}",0.201,0.943
adult,"{'n_married', 'male', 'UnitedStates'} -> {'<50K'}",0.218,0.941
adult,{'n_married'} -> {'<50K'},0.492,0.937
adult,"{'white', 'n_married'} -> {'<50K'}",0.406,0.936
adult,"{'white', 'n_married', 'UnitedStates'} -> {'<50K'}",0.382,0.935
adult,"{'n_married', 'UnitedStates'} -> {'<50K'}",0.453,0.935
adult,{'Age (decade)_20.0'} -> {'<50K'},0.235,0.931
adult,"{'n_married', 'female'} -> {'<50K'}",0.253,0.931
adult,"{'n_married', 'UnitedStates', 'female'} -> {'<50K'}",0.235,0.93
adult,"{'white', 'n_married', 'female'} -> {'<50K'}",0.205,0.93
adult,"{'Age (decade)_20.0', 'UnitedStates'} -> {'<50K'}",0.21,0.928
adult,{'female'} -> {'<50K'},0.297,0.912
adult,"{'UnitedStates', 'female'} -> {'<50K'}",0.272,0.912
adult,"{'white', 'UnitedStates', 'female'} -> {'<50K'}",0.224,0.911
adult,"{'white', 'female'} -> {'<50K'}",0.24,0.91
adult,{'education.num_10.0'} -> {'<50K'},0.202,0.907
adult,{'education.num_9.0'} -> {'<50K'},0.295,0.899
adult,"{'education.num_9.0', 'UnitedStates'} -> {'<50K'}",0.275,0.898
adult,"{'white', 'education.num_9.0'} -> {'<50K'}",0.249,0.895
adult,"{'white', 'education.num_9.0', 'UnitedStates'} -> {'<50K'}",0.237,0.894
adult,{'Age (decade)_30.0'} -> {'<50K'},0.248,0.891
adult,"{'male', 'education.num_9.0'} -> {'<50K'}",0.2,0.89
adult,"{'Age (decade)_30.0', 'UnitedStates'} -> {'<50K'}",0.224,0.887
adult,"{'white', 'Age (decade)_30.0'} -> {'<50K'}",0.21,0.886
adult,{'UnitedStates'} -> {'<50K'},0.802,0.88
adult,{'white'} -> {'<50K'},0.752,0.877
adult,"{'white', 'UnitedStates'} -> {'<50K'}",0.702,0.875
adult,{'male'} -> {'<50K'},0.584,0.867
adult,"{'male', 'UnitedStates'} -> {'<50K'}",0.53,0.865
adult,"{'white', 'male'} -> {'<50K'}",0.512,0.862
adult,"{'white', 'male', 'UnitedStates'} -> {'<50K'}",0.478,0.859
adult,"{'male', 'married'} -> {'<50K'}",0.346,0.821
adult,{'married'} -> {'<50K'},0.39,0.821
adult,"{'male', 'married', 'UnitedStates'} -> {'<50K'}",0.312,0.818
adult,"{'married', 'UnitedStates'} -> {'<50K'}",0.349,0.817
adult,"{'white', 'male', 'married'} -> {'<50K'}",0.312,0.817
adult,"{'white', 'married'} -> {'<50K'}",0.346,0.816
adult,"{'white', 'male', 'married', 'UnitedStates'} -> {'<50K'}",0.29,0.814
adult,{'education.num_>12'} -> {'<50K'},0.202,0.813
adult,"{'white', 'married', 'UnitedStates'} -> {'<50K'}",0.32,0.813
