antecedents,consequents,support,confidence,Reject Option Classification,Equalized Odds,Calibrated EO,Threshold Optimizer
"frozenset({'female', 'UnitedStates', 'n_married'})",frozenset({'<50K'}),0.24,0.95,0.112,0.211,0.0,0.054
"frozenset({'female', 'n_married'})",frozenset({'<50K'}),0.262,0.949,0.108,0.21,0.0,0.054
"frozenset({'female', 'white', 'n_married'})",frozenset({'<50K'}),0.209,0.945,0.119,0.221,0.0,0.059
"frozenset({'UnitedStates', 'Age (decade)_20.0'})",frozenset({'<50K'}),0.206,0.939,0.068,0.138,0.044,0.064
frozenset({'Age (decade)_20.0'}),frozenset({'<50K'}),0.233,0.939,0.071,0.138,0.046,0.066
"frozenset({'UnitedStates', 'n_married'})",frozenset({'<50K'}),0.451,0.936,0.092,0.154,0.039,0.068
frozenset({'n_married'}),frozenset({'<50K'}),0.496,0.936,0.089,0.152,0.039,0.068
"frozenset({'white', 'n_married'})",frozenset({'<50K'}),0.406,0.931,0.095,0.159,0.041,0.073
"frozenset({'UnitedStates', 'white', 'n_married'})",frozenset({'<50K'}),0.376,0.93,0.098,0.16,0.041,0.072
"frozenset({'male', 'n_married'})",frozenset({'<50K'}),0.234,0.922,0.069,0.09,0.081,0.084
"frozenset({'male', 'UnitedStates', 'n_married'})",frozenset({'<50K'}),0.21,0.921,0.069,0.092,0.082,0.085
"frozenset({'female', 'UnitedStates'})",frozenset({'<50K'}),0.269,0.89,0.174,0.271,0.0,0.068
frozenset({'female'}),frozenset({'<50K'}),0.298,0.89,0.17,0.271,0.0,0.069
"frozenset({'female', 'white'})",frozenset({'<50K'}),0.236,0.88,0.186,0.283,0.0,0.074
"frozenset({'female', 'UnitedStates', 'white'})",frozenset({'<50K'}),0.217,0.878,0.191,0.285,0.0,0.074
frozenset({'education.num_9.0'}),frozenset({'<50K'}),0.273,0.847,0.121,0.271,0.106,0.098
"frozenset({'UnitedStates', 'education.num_9.0'})",frozenset({'<50K'}),0.252,0.844,0.12,0.278,0.104,0.099
"frozenset({'white', 'education.num_9.0'})",frozenset({'<50K'}),0.227,0.833,0.126,0.291,0.113,0.104
"frozenset({'UnitedStates', 'white', 'education.num_9.0'})",frozenset({'<50K'}),0.215,0.831,0.124,0.295,0.11,0.105
