antecedents,consequents,orig_support,orig_confidence,Random Forest_support,Random Forest_confidence,KNN_support,KNN_confidence,support,confidence
"frozenset({'n_married', 'white', 'Age (decade)_20.0', 'UnitedStates'})",frozenset({'<50K'}),0.139,0.985,,,,,,
"frozenset({'white', 'Age (decade)_20.0', 'n_married'})",frozenset({'<50K'}),0.152,0.984,,,,,,
"frozenset({'UnitedStates', 'Age (decade)_20.0', 'n_married'})",frozenset({'<50K'}),0.162,0.983,,,,,,
"frozenset({'Age (decade)_20.0', 'n_married'})",frozenset({'<50K'}),0.184,0.982,,,,,,
"frozenset({'Age (decade)_20.0', 'male', 'n_married'})",frozenset({'<50K'}),0.101,0.978,,,,,,
"frozenset({'UnitedStates', 'education.num_9.0', 'n_married'})",frozenset({'<50K'}),0.154,0.972,,,,,,
"frozenset({'education.num_9.0', 'n_married'})",frozenset({'<50K'}),0.165,0.971,,,,,,
"frozenset({'white', 'education.num_9.0', 'n_married'})",frozenset({'<50K'}),0.133,0.97,,,,,,
"frozenset({'UnitedStates', 'n_married', 'education.num_9.0', 'white'})",frozenset({'<50K'}),0.126,0.97,,,,,,
"frozenset({'education.num_10.0', 'UnitedStates', 'n_married'})",frozenset({'<50K'}),0.119,0.963,,,,,,
"frozenset({'education.num_10.0', 'n_married'})",frozenset({'<50K'}),0.128,0.963,,,,,,
"frozenset({'education.num_10.0', 'n_married', 'white', 'UnitedStates'})",frozenset({'<50K'}),0.101,0.963,,,,,,
"frozenset({'education.num_10.0', 'white', 'n_married'})",frozenset({'<50K'}),0.106,0.962,,,,,,
"frozenset({'female', 'UnitedStates', 'n_married'})",frozenset({'<50K'}),0.239,0.955,0.239,0.955,0.239,0.955,,
"frozenset({'female', 'n_married'})",frozenset({'<50K'}),0.262,0.955,0.262,0.955,0.262,0.955,,
"frozenset({'female', 'n_married', 'white', 'UnitedStates'})",frozenset({'<50K'}),0.195,0.952,0.195,0.952,0.195,0.952,,
"frozenset({'female', 'white', 'n_married'})",frozenset({'<50K'}),0.211,0.952,0.211,0.952,0.211,0.952,,
frozenset({'Age (decade)_20.0'}),frozenset({'<50K'}),0.232,0.938,,,,,,
"frozenset({'UnitedStates', 'n_married'})",frozenset({'<50K'}),0.443,0.937,0.443,0.937,0.443,0.937,,
frozenset({'n_married'}),frozenset({'<50K'}),0.489,0.936,0.489,0.936,0.489,0.936,,
"frozenset({'Age (decade)_20.0', 'UnitedStates'})",frozenset({'<50K'}),0.203,0.936,,,,,,
"frozenset({'UnitedStates', 'white', 'n_married'})",frozenset({'<50K'}),0.37,0.935,0.37,0.935,0.37,0.935,,
"frozenset({'white', 'Age (decade)_20.0'})",frozenset({'<50K'}),0.193,0.934,,,,,,
"frozenset({'white', 'n_married'})",frozenset({'<50K'}),0.399,0.933,0.399,0.933,0.399,0.933,,
"frozenset({'white', 'Age (decade)_20.0', 'UnitedStates'})",frozenset({'<50K'}),0.174,0.932,,,,,,
"frozenset({'male', 'Age (decade)_20.0'})",frozenset({'<50K'}),0.14,0.924,,,,,,
"frozenset({'white', 'male', 'Age (decade)_20.0'})",frozenset({'<50K'}),0.117,0.92,,,,,,
"frozenset({'UnitedStates', 'Age (decade)_20.0', 'male'})",frozenset({'<50K'}),0.121,0.92,,,,,,
"frozenset({'UnitedStates', 'male', 'n_married'})",frozenset({'<50K'}),0.204,0.918,0.204,0.918,0.204,0.918,,
"frozenset({'male', 'n_married'})",frozenset({'<50K'}),0.227,0.916,0.227,0.916,0.227,0.916,,
"frozenset({'n_married', 'white', 'male', 'UnitedStates'})",frozenset({'<50K'}),0.175,0.916,0.175,0.916,0.175,0.916,,
"frozenset({'Age (decade)_20.0', 'white', 'male', 'UnitedStates'})",frozenset({'<50K'}),0.105,0.915,,,,,,
"frozenset({'UnitedStates', 'Age (decade)_30.0', 'n_married'})",frozenset({'<50K'}),0.1,0.914,,,,,,
"frozenset({'white', 'male', 'n_married'})",frozenset({'<50K'}),0.188,0.913,0.188,0.913,0.188,0.913,,
"frozenset({'Age (decade)_30.0', 'n_married'})",frozenset({'<50K'}),0.111,0.911,,,,,,
"frozenset({'female', 'UnitedStates'})",frozenset({'<50K'}),0.265,0.893,0.265,0.893,0.265,0.893,,
frozenset({'female'}),frozenset({'<50K'}),0.296,0.892,0.296,0.892,0.296,0.892,,
