antecedents,consequents,orig_support,orig_confidence,Decision Tree_support,Decision Tree_confidence,Logistic Regression_support,Logistic Regression_confidence,Random Forest_support,Random Forest_confidence,KNN_support,KNN_confidence
"frozenset({'n_married', 'female'})",frozenset({'<50K'}),0.264,0.955,0.252,0.912,0.267,0.964,0.254,0.92,0.263,0.95
"frozenset({'n_married', 'UnitedStates', 'female'})",frozenset({'<50K'}),0.24,0.953,0.23,0.912,0.242,0.963,0.231,0.918,0.239,0.948
"frozenset({'white', 'n_married', 'female'})",frozenset({'<50K'}),0.211,0.951,0.202,0.912,0.212,0.96,0.203,0.915,0.209,0.944
frozenset({'n_married'}),frozenset({'<50K'}),0.489,0.934,0.476,0.909,0.503,0.961,0.484,0.925,0.494,0.944
"frozenset({'n_married', 'UnitedStates'})",frozenset({'<50K'}),0.441,0.933,0.431,0.911,0.454,0.959,0.437,0.924,0.446,0.943
frozenset({'Age (decade)_20.0'}),frozenset({'<50K'}),0.23,0.932,0.222,0.898,0.225,0.91,0.227,0.918,0.228,0.925
"frozenset({'UnitedStates', 'Age (decade)_20.0'})",frozenset({'<50K'}),0.202,0.932,,,,,,,,
"frozenset({'white', 'n_married'})",frozenset({'<50K'}),0.4,0.929,0.391,0.909,0.412,0.957,0.397,0.922,0.403,0.937
"frozenset({'white', 'UnitedStates', 'n_married'})",frozenset({'<50K'}),0.368,0.928,0.36,0.908,0.379,0.956,0.365,0.921,0.372,0.937
"frozenset({'n_married', 'UnitedStates', 'male'})",frozenset({'<50K'}),0.202,0.911,0.201,0.909,0.211,0.956,0.206,0.931,0.207,0.938
"frozenset({'n_married', 'male'})",frozenset({'<50K'}),0.225,0.909,0.224,0.906,0.237,0.956,0.23,0.93,0.232,0.936
frozenset({'female'}),frozenset({'<50K'}),0.3,0.89,0.285,0.846,0.294,0.872,0.275,0.816,0.288,0.856
"frozenset({'UnitedStates', 'female'})",frozenset({'<50K'}),0.269,0.888,0.257,0.847,0.263,0.87,0.247,0.817,0.259,0.855
"frozenset({'white', 'female'})",frozenset({'<50K'}),0.237,0.881,0.226,0.841,0.232,0.861,0.216,0.805,0.226,0.841
"frozenset({'white', 'UnitedStates', 'female'})",frozenset({'<50K'}),0.217,0.881,0.207,0.838,0.211,0.857,,,0.206,0.835
frozenset({'education.num_9.0'}),frozenset({'<50K'}),0.276,0.85,,,,,,,0.267,0.822
"frozenset({'UnitedStates', 'education.num_9.0'})",frozenset({'<50K'}),0.254,0.847,,,,,,,0.245,0.817
"frozenset({'white', 'education.num_9.0'})",frozenset({'<50K'}),0.232,0.839,,,,,,,0.223,0.808
"frozenset({'white', 'UnitedStates', 'education.num_9.0'})",frozenset({'<50K'}),0.217,0.837,,,,,,,0.208,0.803
