antecedents,consequents,orig_support,orig_confidence,Reject Option Classification_support,Reject Option Classification_confidence,Equalized Odds_support,Equalized Odds_confidence
"frozenset({'Age (decade)_20.0', 'UnitedStates', 'n_married', 'white'})",frozenset({'<50K'}),0.139,0.986,0.136,0.962,0.127,0.901
"frozenset({'Age (decade)_20.0', 'n_married', 'white'})",frozenset({'<50K'}),0.152,0.985,0.149,0.962,0.14,0.905
"frozenset({'Age (decade)_20.0', 'UnitedStates', 'n_married'})",frozenset({'<50K'}),0.164,0.985,0.16,0.965,0.15,0.901
"frozenset({'Age (decade)_20.0', 'n_married'})",frozenset({'<50K'}),0.185,0.984,0.181,0.967,0.17,0.905
"frozenset({'male', 'n_married', 'Age (decade)_20.0'})",frozenset({'<50K'}),0.103,0.979,0.104,0.989,0.102,0.975
"frozenset({'n_married', 'education.num_9.0'})",frozenset({'<50K'}),0.164,0.976,0.16,0.953,0.149,0.887
"frozenset({'UnitedStates', 'n_married', 'education.num_9.0'})",frozenset({'<50K'}),0.151,0.976,0.148,0.952,0.137,0.885
"frozenset({'n_married', 'education.num_9.0', 'white'})",frozenset({'<50K'}),0.129,0.971,0.125,0.944,0.117,0.88
"frozenset({'education.num_9.0', 'UnitedStates', 'n_married', 'white'})",frozenset({'<50K'}),0.121,0.97,0.118,0.941,0.109,0.875
"frozenset({'UnitedStates', 'education.num_10.0', 'n_married'})",frozenset({'<50K'}),0.121,0.965,0.118,0.938,0.11,0.876
"frozenset({'education.num_10.0', 'n_married'})",frozenset({'<50K'}),0.132,0.965,0.128,0.939,0.119,0.874
"frozenset({'education.num_10.0', 'UnitedStates', 'n_married', 'white'})",frozenset({'<50K'}),0.102,0.964,,,,
"frozenset({'education.num_10.0', 'n_married', 'white'})",frozenset({'<50K'}),0.108,0.964,0.105,0.935,,
"frozenset({'n_married', 'female'})",frozenset({'<50K'}),0.255,0.961,0.224,0.845,,
"frozenset({'UnitedStates', 'n_married', 'female'})",frozenset({'<50K'}),0.232,0.961,0.203,0.841,,
"frozenset({'n_married', 'white', 'female'})",frozenset({'<50K'}),0.202,0.959,0.175,0.828,,
"frozenset({'UnitedStates', 'n_married', 'white', 'female'})",frozenset({'<50K'}),0.187,0.957,0.161,0.824,,
"frozenset({'UnitedStates', 'n_married'})",frozenset({'<50K'}),0.441,0.937,0.423,0.897,0.399,0.847
frozenset({'n_married'}),frozenset({'<50K'}),0.489,0.937,0.47,0.9,0.442,0.848
frozenset({'Age (decade)_20.0'}),frozenset({'<50K'}),0.233,0.935,0.227,0.913,0.211,0.846
"frozenset({'Age (decade)_20.0', 'UnitedStates'})",frozenset({'<50K'}),0.205,0.934,0.199,0.909,0.184,0.839
"frozenset({'n_married', 'white'})",frozenset({'<50K'}),0.398,0.931,0.38,0.891,0.359,0.841
"frozenset({'UnitedStates', 'n_married', 'white'})",frozenset({'<50K'}),0.366,0.931,0.349,0.888,0.33,0.84
"frozenset({'Age (decade)_20.0', 'white'})",frozenset({'<50K'}),0.193,0.93,0.189,0.909,0.175,0.842
"frozenset({'Age (decade)_20.0', 'UnitedStates', 'white'})",frozenset({'<50K'}),0.175,0.929,0.171,0.906,0.157,0.834
"frozenset({'male', 'Age (decade)_20.0'})",frozenset({'<50K'}),0.142,0.922,0.146,0.948,0.136,0.887
"frozenset({'male', 'UnitedStates', 'Age (decade)_20.0'})",frozenset({'<50K'}),0.124,0.921,0.127,0.944,0.118,0.879
"frozenset({'male', 'white', 'Age (decade)_20.0'})",frozenset({'<50K'}),0.12,0.917,0.123,0.946,0.115,0.88
"frozenset({'male', 'UnitedStates', 'white', 'Age (decade)_20.0'})",frozenset({'<50K'}),0.108,0.916,0.111,0.944,0.103,0.872
"frozenset({'male', 'UnitedStates', 'n_married'})",frozenset({'<50K'}),0.21,0.912,0.22,0.956,0.209,0.908
"frozenset({'male', 'n_married'})",frozenset({'<50K'}),0.234,0.912,0.246,0.958,0.233,0.911
"frozenset({'Age (decade)_30.0', 'UnitedStates', 'n_married'})",frozenset({'<50K'}),0.103,0.91,,,,
"frozenset({'Age (decade)_30.0', 'n_married'})",frozenset({'<50K'}),0.114,0.908,0.11,0.876,0.106,0.843
"frozenset({'male', 'UnitedStates', 'n_married', 'white'})",frozenset({'<50K'}),0.179,0.905,0.189,0.952,0.178,0.899
"frozenset({'male', 'n_married', 'white'})",frozenset({'<50K'}),0.195,0.905,0.206,0.954,0.195,0.901
frozenset({'female'}),frozenset({'<50K'}),0.29,0.895,,,,
"frozenset({'UnitedStates', 'female'})",frozenset({'<50K'}),0.26,0.893,,,,
"frozenset({'white', 'female'})",frozenset({'<50K'}),0.227,0.882,,,,
"frozenset({'UnitedStates', 'white', 'female'})",frozenset({'<50K'}),0.209,0.881,,,,
frozenset({'n_white'}),frozenset({'<50K'}),0.127,0.858,0.12,0.814,,
frozenset({'education.num_9.0'}),frozenset({'<50K'}),0.272,0.84,0.274,0.847,,
"frozenset({'UnitedStates', 'education.num_9.0'})",frozenset({'<50K'}),0.25,0.835,0.252,0.842,,
"frozenset({'education.num_9.0', 'white'})",frozenset({'<50K'}),0.222,0.821,0.226,0.836,,
"frozenset({'UnitedStates', 'education.num_9.0', 'white'})",frozenset({'<50K'}),0.209,0.819,0.213,0.831,,
frozenset({'education.num_10.0'}),frozenset({'<50K'}),0.183,0.809,,,,
"frozenset({'UnitedStates', 'education.num_10.0'})",frozenset({'<50K'}),0.169,0.808,,,,
