Dataset,Rule,support,confidence
adult,"{'female', 'Age (decade)_0.0', 'n_married', 'education.num_<6'} -> {'<50K'}",0.262,0.959
adult,"{'female', 'n_married'} -> {'<50K'}",0.262,0.959
adult,"{'female', 'Age (decade)_0.0', 'n_married'} -> {'<50K'}",0.262,0.959
adult,"{'female', 'n_married', 'education.num_<6'} -> {'<50K'}",0.262,0.959
adult,"{'female', 'UnitedStates', 'Age (decade)_0.0', 'education.num_<6', 'n_married'} -> {'<50K'}",0.239,0.959
adult,"{'female', 'Age (decade)_0.0', 'n_married', 'UnitedStates'} -> {'<50K'}",0.239,0.959
adult,"{'female', 'UnitedStates', 'n_married'} -> {'<50K'}",0.239,0.959
adult,"{'female', 'UnitedStates', 'n_married', 'education.num_<6'} -> {'<50K'}",0.239,0.959
adult,"{'female', 'Age (decade)_0.0', 'education.num_<6', 'n_married', 'white'} -> {'<50K'}",0.209,0.955
adult,"{'female', 'n_married', 'white'} -> {'<50K'}",0.209,0.955
adult,"{'female', 'n_married', 'education.num_<6', 'white'} -> {'<50K'}",0.209,0.955
adult,"{'female', 'Age (decade)_0.0', 'n_married', 'white'} -> {'<50K'}",0.209,0.955
adult,"{'n_married', 'education.num_<6'} -> {'<50K'}",0.491,0.939
adult,"{'Age (decade)_0.0', 'n_married', 'education.num_<6'} -> {'<50K'}",0.491,0.939
adult,"{'Age (decade)_0.0', 'n_married'} -> {'<50K'}",0.491,0.939
adult,{'n_married'} -> {'<50K'},0.491,0.939
adult,"{'UnitedStates', 'Age (decade)_0.0', 'n_married'} -> {'<50K'}",0.445,0.938
adult,"{'Age (decade)_0.0', 'n_married', 'education.num_<6', 'UnitedStates'} -> {'<50K'}",0.445,0.938
adult,"{'UnitedStates', 'n_married', 'education.num_<6'} -> {'<50K'}",0.445,0.938
adult,"{'UnitedStates', 'n_married'} -> {'<50K'}",0.445,0.938
adult,"{'UnitedStates', 'n_married', 'white'} -> {'<50K'}",0.371,0.935
adult,"{'Age (decade)_0.0', 'n_married', 'UnitedStates', 'white'} -> {'<50K'}",0.371,0.935
adult,"{'UnitedStates', 'n_married', 'education.num_<6', 'white'} -> {'<50K'}",0.371,0.935
adult,"{'Age (decade)_0.0', 'UnitedStates', 'education.num_<6', 'n_married', 'white'} -> {'<50K'}",0.371,0.935
adult,"{'Age (decade)_0.0', 'n_married', 'white'} -> {'<50K'}",0.4,0.935
adult,"{'Age (decade)_0.0', 'n_married', 'education.num_<6', 'white'} -> {'<50K'}",0.4,0.935
adult,"{'n_married', 'education.num_<6', 'white'} -> {'<50K'}",0.4,0.935
adult,"{'n_married', 'white'} -> {'<50K'}",0.4,0.935
adult,"{'Age (decade)_0.0', 'UnitedStates', 'education.num_<6', 'n_married', 'male'} -> {'<50K'}",0.206,0.916
adult,"{'Age (decade)_0.0', 'n_married', 'male', 'UnitedStates'} -> {'<50K'}",0.206,0.916
adult,"{'UnitedStates', 'n_married', 'male'} -> {'<50K'}",0.206,0.916
adult,"{'UnitedStates', 'n_married', 'male', 'education.num_<6'} -> {'<50K'}",0.206,0.916
adult,"{'Age (decade)_0.0', 'n_married', 'male', 'education.num_<6'} -> {'<50K'}",0.229,0.916
adult,"{'n_married', 'male'} -> {'<50K'}",0.229,0.916
adult,"{'Age (decade)_0.0', 'n_married', 'male'} -> {'<50K'}",0.229,0.916
adult,"{'n_married', 'male', 'education.num_<6'} -> {'<50K'}",0.229,0.916
adult,{'female'} -> {'<50K'},0.296,0.889
adult,"{'female', 'Age (decade)_0.0', 'education.num_<6'} -> {'<50K'}",0.296,0.889
adult,"{'female', 'education.num_<6'} -> {'<50K'}",0.296,0.889
adult,"{'female', 'Age (decade)_0.0'} -> {'<50K'}",0.296,0.889
adult,"{'female', 'UnitedStates'} -> {'<50K'}",0.267,0.888
adult,"{'female', 'UnitedStates', 'Age (decade)_0.0'} -> {'<50K'}",0.267,0.888
adult,"{'female', 'UnitedStates', 'education.num_<6'} -> {'<50K'}",0.267,0.888
adult,"{'female', 'Age (decade)_0.0', 'education.num_<6', 'UnitedStates'} -> {'<50K'}",0.267,0.888
adult,"{'female', 'UnitedStates', 'white'} -> {'<50K'}",0.217,0.877
adult,"{'female', 'UnitedStates', 'Age (decade)_0.0', 'education.num_<6', 'white'} -> {'<50K'}",0.217,0.877
adult,"{'female', 'UnitedStates', 'education.num_<6', 'white'} -> {'<50K'}",0.217,0.877
adult,"{'female', 'Age (decade)_0.0', 'UnitedStates', 'white'} -> {'<50K'}",0.217,0.877
adult,"{'female', 'Age (decade)_0.0', 'white'} -> {'<50K'}",0.235,0.877
adult,"{'female', 'education.num_<6', 'white'} -> {'<50K'}",0.235,0.877
adult,"{'female', 'white'} -> {'<50K'}",0.235,0.877
adult,"{'female', 'Age (decade)_0.0', 'education.num_<6', 'white'} -> {'<50K'}",0.235,0.877
adult,{'education.num_<6'} -> {'<50K'},0.763,0.763
adult,"{'Age (decade)_0.0', 'education.num_<6'} -> {'<50K'}",0.763,0.763
adult,{'Age (decade)_0.0'} -> {'<50K'},0.763,0.763
adult,"{'UnitedStates', 'Age (decade)_0.0'} -> {'<50K'}",0.679,0.758
adult,"{'UnitedStates', 'education.num_<6'} -> {'<50K'}",0.679,0.758
adult,{'UnitedStates'} -> {'<50K'},0.679,0.758
adult,"{'UnitedStates', 'Age (decade)_0.0', 'education.num_<6'} -> {'<50K'}",0.679,0.758
adult,"{'education.num_<6', 'white'} -> {'<50K'}",0.639,0.748
adult,{'white'} -> {'<50K'},0.639,0.748
adult,"{'Age (decade)_0.0', 'white'} -> {'<50K'}",0.639,0.748
adult,"{'Age (decade)_0.0', 'education.num_<6', 'white'} -> {'<50K'}",0.639,0.748
adult,"{'Age (decade)_0.0', 'education.num_<6', 'white', 'UnitedStates'} -> {'<50K'}",0.585,0.743
adult,"{'UnitedStates', 'education.num_<6', 'white'} -> {'<50K'}",0.585,0.743
adult,"{'UnitedStates', 'Age (decade)_0.0', 'white'} -> {'<50K'}",0.585,0.743
adult,"{'UnitedStates', 'white'} -> {'<50K'}",0.585,0.743
adult,{'male'} -> {'<50K'},0.466,0.7
adult,"{'Age (decade)_0.0', 'male', 'education.num_<6'} -> {'<50K'}",0.466,0.7
adult,"{'male', 'education.num_<6'} -> {'<50K'}",0.466,0.7
