antecedents,consequents,orig_support,orig_confidence,Reject Option Classification_support,Reject Option Classification_confidence,Equalized Odds_support,Equalized Odds_confidence,Calibrated EO_support,Calibrated EO_confidence
"frozenset({'Age (decade)_20.0', 'UnitedStates', 'n_married', 'white'})",frozenset({'<50K'}),0.139,0.986,0.136,0.962,0.127,0.901,0.141,0.994
"frozenset({'Age (decade)_20.0', 'n_married', 'white'})",frozenset({'<50K'}),0.152,0.985,0.149,0.962,0.14,0.905,0.154,0.995
"frozenset({'Age (decade)_20.0', 'UnitedStates', 'n_married'})",frozenset({'<50K'}),0.164,0.985,0.16,0.965,0.15,0.901,0.165,0.993
"frozenset({'Age (decade)_20.0', 'n_married'})",frozenset({'<50K'}),0.185,0.984,0.181,0.967,0.17,0.905,0.187,0.994
"frozenset({'male', 'n_married', 'Age (decade)_20.0'})",frozenset({'<50K'}),0.103,0.979,0.104,0.989,0.102,0.975,0.104,0.989
"frozenset({'n_married', 'education.num_9.0'})",frozenset({'<50K'}),0.164,0.976,0.16,0.953,0.149,0.887,0.167,0.993
"frozenset({'UnitedStates', 'n_married', 'education.num_9.0'})",frozenset({'<50K'}),0.151,0.976,0.148,0.952,0.137,0.885,0.154,0.993
"frozenset({'n_married', 'education.num_9.0', 'white'})",frozenset({'<50K'}),0.129,0.971,0.125,0.944,0.117,0.88,0.131,0.992
"frozenset({'education.num_9.0', 'UnitedStates', 'n_married', 'white'})",frozenset({'<50K'}),0.121,0.97,0.118,0.941,0.109,0.875,0.124,0.991
"frozenset({'UnitedStates', 'education.num_10.0', 'n_married'})",frozenset({'<50K'}),0.121,0.965,0.118,0.938,0.11,0.876,0.124,0.992
"frozenset({'education.num_10.0', 'n_married'})",frozenset({'<50K'}),0.132,0.965,0.128,0.939,0.119,0.874,0.135,0.992
"frozenset({'education.num_10.0', 'UnitedStates', 'n_married', 'white'})",frozenset({'<50K'}),0.102,0.964,,,,,0.105,0.993
"frozenset({'education.num_10.0', 'n_married', 'white'})",frozenset({'<50K'}),0.108,0.964,0.105,0.935,,,0.111,0.993
"frozenset({'n_married', 'female'})",frozenset({'<50K'}),0.255,0.961,0.224,0.845,,,0.265,1.0
"frozenset({'UnitedStates', 'n_married', 'female'})",frozenset({'<50K'}),0.232,0.961,0.203,0.841,,,0.241,1.0
"frozenset({'n_married', 'white', 'female'})",frozenset({'<50K'}),0.202,0.959,0.175,0.828,,,0.211,1.0
"frozenset({'UnitedStates', 'n_married', 'white', 'female'})",frozenset({'<50K'}),0.187,0.957,0.161,0.824,,,0.195,1.0
"frozenset({'UnitedStates', 'n_married'})",frozenset({'<50K'}),0.441,0.937,0.423,0.897,0.399,0.847,0.461,0.979
frozenset({'n_married'}),frozenset({'<50K'}),0.489,0.937,0.47,0.9,0.442,0.848,0.511,0.98
frozenset({'Age (decade)_20.0'}),frozenset({'<50K'}),0.233,0.935,0.227,0.913,0.211,0.846,0.241,0.968
"frozenset({'Age (decade)_20.0', 'UnitedStates'})",frozenset({'<50K'}),0.205,0.934,0.199,0.909,0.184,0.839,0.212,0.966
