Dataset,Rule,support,confidence
adult,"{'male', 'n_married'} -> {'<50K'}",0.243,0.955
adult,"{'male', 'UnitedStates', 'n_married'} -> {'<50K'}",0.217,0.953
adult,"{'male', 'white', 'n_married'} -> {'<50K'}",0.204,0.95
adult,"{'UnitedStates', 'Age (decade)_20.0'} -> {'<50K'}",0.205,0.933
adult,{'Age (decade)_20.0'} -> {'<50K'},0.231,0.93
adult,{'n_married'} -> {'<50K'},0.481,0.908
adult,"{'UnitedStates', 'n_married'} -> {'<50K'}",0.435,0.903
adult,"{'white', 'n_married'} -> {'<50K'}",0.393,0.901
adult,"{'UnitedStates', 'white', 'n_married'} -> {'<50K'}",0.363,0.898
adult,"{'female', 'n_married'} -> {'<50K'}",0.239,0.864
adult,"{'female', 'UnitedStates', 'n_married'} -> {'<50K'}",0.217,0.858
adult,{'education.num_9.0'} -> {'<50K'},0.276,0.858
adult,"{'UnitedStates', 'education.num_9.0'} -> {'<50K'}",0.256,0.857
adult,"{'UnitedStates', 'white', 'education.num_9.0'} -> {'<50K'}",0.218,0.846
adult,"{'white', 'education.num_9.0'} -> {'<50K'}",0.23,0.845
