Dataset,Rule,support,confidence
adult,"{'UnitedStates', 'female', 'n_married'} -> {'<50K'}",0.243,0.961
adult,"{'female', 'n_married'} -> {'<50K'}",0.263,0.961
adult,"{'white', 'female', 'n_married'} -> {'<50K'}",0.213,0.959
adult,"{'white', 'Age (decade)_20.0'} -> {'<50K'}",0.204,0.956
adult,{'Age (decade)_20.0'} -> {'<50K'},0.241,0.955
adult,"{'UnitedStates', 'Age (decade)_20.0'} -> {'<50K'}",0.217,0.954
adult,{'female'} -> {'<50K'},0.316,0.951
adult,"{'UnitedStates', 'female'} -> {'<50K'}",0.286,0.95
adult,"{'white', 'female'} -> {'<50K'}",0.255,0.948
adult,"{'UnitedStates', 'white', 'female'} -> {'<50K'}",0.236,0.948
adult,"{'UnitedStates', 'n_married'} -> {'<50K'}",0.457,0.944
adult,{'n_married'} -> {'<50K'},0.495,0.943
adult,"{'UnitedStates', 'white', 'n_married'} -> {'<50K'}",0.384,0.943
adult,"{'white', 'n_married'} -> {'<50K'}",0.41,0.942
adult,{'education.num_10.0'} -> {'<50K'},0.203,0.934
adult,{'education.num_9.0'} -> {'<50K'},0.31,0.925
adult,"{'white', 'education.num_9.0'} -> {'<50K'}",0.265,0.925
adult,"{'UnitedStates', 'white', 'education.num_9.0'} -> {'<50K'}",0.251,0.925
adult,"{'UnitedStates', 'male', 'n_married'} -> {'<50K'}",0.214,0.924
adult,"{'UnitedStates', 'education.num_9.0'} -> {'<50K'}",0.288,0.924
adult,"{'male', 'n_married'} -> {'<50K'}",0.231,0.923
adult,"{'education.num_9.0', 'male'} -> {'<50K'}",0.209,0.91
adult,{'UnitedStates'} -> {'<50K'},0.83,0.909
adult,{'white'} -> {'<50K'},0.781,0.908
adult,"{'UnitedStates', 'white'} -> {'<50K'}",0.729,0.907
adult,{'Age (decade)_30.0'} -> {'<50K'},0.246,0.9
adult,"{'UnitedStates', 'Age (decade)_30.0'} -> {'<50K'}",0.224,0.899
adult,"{'white', 'Age (decade)_30.0'} -> {'<50K'}",0.211,0.897
adult,{'Age (decade)_40.0'} -> {'<50K'},0.2,0.892
adult,"{'white', 'male'} -> {'<50K'}",0.526,0.89
adult,{'male'} -> {'<50K'},0.594,0.89
adult,"{'UnitedStates', 'male'} -> {'<50K'}",0.543,0.889
adult,"{'UnitedStates', 'white', 'male'} -> {'<50K'}",0.493,0.889
adult,{'married'} -> {'<50K'},0.415,0.874
adult,"{'white', 'married'} -> {'<50K'}",0.371,0.873
adult,"{'UnitedStates', 'married', 'white'} -> {'<50K'}",0.345,0.871
adult,"{'UnitedStates', 'married'} -> {'<50K'}",0.373,0.87
adult,"{'white', 'married', 'male'} -> {'<50K'}",0.329,0.87
adult,"{'married', 'male'} -> {'<50K'}",0.363,0.87
adult,"{'white', 'married', 'UnitedStates', 'male'} -> {'<50K'}",0.308,0.869
adult,"{'UnitedStates', 'married', 'male'} -> {'<50K'}",0.33,0.868
adult,{'education.num_>12'} -> {'<50K'},0.21,0.857
