antecedents,consequents,orig_support,orig_confidence,Reject Option Classification_support,Reject Option Classification_confidence,Equalized Odds_support,Equalized Odds_confidence,Calibrated EO_support,Calibrated EO_confidence,Threshold Optimizer_support,Threshold Optimizer_confidence
"frozenset({'female', 'n_married'})",frozenset({'<50K'}),0.26,0.95,0.235,0.855,0.22,0.803,0.274,1.0,0.263,0.961
"frozenset({'UnitedStates', 'female', 'n_married'})",frozenset({'<50K'}),0.24,0.949,0.215,0.849,0.203,0.802,0.253,1.0,0.243,0.961
"frozenset({'white', 'female', 'n_married'})",frozenset({'<50K'}),0.21,0.944,,,,,0.222,1.0,0.213,0.959
frozenset({'Age (decade)_20.0'}),frozenset({'<50K'}),0.236,0.937,0.232,0.92,0.218,0.863,0.243,0.962,0.241,0.955
frozenset({'n_married'}),frozenset({'<50K'}),0.49,0.934,0.473,0.902,0.451,0.859,0.513,0.977,0.495,0.943
"frozenset({'UnitedStates', 'Age (decade)_20.0'})",frozenset({'<50K'}),0.212,0.934,0.209,0.92,,,0.218,0.96,0.217,0.954
"frozenset({'UnitedStates', 'n_married'})",frozenset({'<50K'}),0.452,0.934,0.435,0.898,0.415,0.856,0.473,0.977,0.457,0.944
"frozenset({'white', 'n_married'})",frozenset({'<50K'}),0.404,0.929,0.39,0.897,0.372,0.854,0.424,0.975,0.41,0.942
"frozenset({'UnitedStates', 'white', 'n_married'})",frozenset({'<50K'}),0.378,0.928,0.363,0.892,0.346,0.851,0.397,0.974,0.384,0.943
"frozenset({'UnitedStates', 'male', 'n_married'})",frozenset({'<50K'}),0.212,0.917,0.22,0.951,0.212,0.916,0.22,0.951,0.214,0.924
"frozenset({'male', 'n_married'})",frozenset({'<50K'}),0.23,0.917,0.239,0.953,0.23,0.92,0.239,0.953,0.231,0.923
"frozenset({'UnitedStates', 'female'})",frozenset({'<50K'}),0.268,0.889,,,,,0.301,1.0,0.286,0.95
frozenset({'female'}),frozenset({'<50K'}),0.295,0.888,,,,,0.332,1.0,0.316,0.951
"frozenset({'UnitedStates', 'white', 'female'})",frozenset({'<50K'}),0.219,0.879,,,,,0.249,1.0,0.236,0.948
"frozenset({'white', 'female'})",frozenset({'<50K'}),0.237,0.879,,,,,0.269,1.0,0.255,0.948
frozenset({'education.num_9.0'}),frozenset({'<50K'}),0.277,0.826,0.284,0.849,,,0.304,0.907,0.31,0.925
"frozenset({'UnitedStates', 'education.num_9.0'})",frozenset({'<50K'}),0.256,0.822,0.264,0.846,,,0.281,0.904,0.288,0.924
"frozenset({'white', 'education.num_9.0'})",frozenset({'<50K'}),0.233,0.813,0.242,0.843,,,0.258,0.901,0.265,0.925
"frozenset({'UnitedStates', 'white', 'education.num_9.0'})",frozenset({'<50K'}),0.219,0.81,0.228,0.839,,,0.243,0.898,0.251,0.925
