antecedents,consequents,support,confidence,Reject Option Classification,Equalized Odds,Calibrated EO,Threshold Optimizer
"frozenset({'female', 'n_married'})",frozenset({'<50K'}),0.26,0.95,0.145,0.197,0.0,0.039
"frozenset({'UnitedStates', 'female', 'n_married'})",frozenset({'<50K'}),0.24,0.949,0.151,0.198,0.0,0.039
"frozenset({'white', 'female', 'n_married'})",frozenset({'<50K'}),0.21,0.944,0.152,0.199,0.0,0.041
frozenset({'Age (decade)_20.0'}),frozenset({'<50K'}),0.236,0.937,0.08,0.137,0.038,0.045
frozenset({'n_married'}),frozenset({'<50K'}),0.49,0.934,0.098,0.141,0.023,0.057
"frozenset({'UnitedStates', 'Age (decade)_20.0'})",frozenset({'<50K'}),0.212,0.934,0.08,0.139,0.04,0.046
"frozenset({'UnitedStates', 'n_married'})",frozenset({'<50K'}),0.452,0.934,0.102,0.144,0.023,0.056
"frozenset({'white', 'n_married'})",frozenset({'<50K'}),0.404,0.929,0.103,0.146,0.025,0.058
"frozenset({'UnitedStates', 'white', 'n_married'})",frozenset({'<50K'}),0.378,0.928,0.108,0.149,0.026,0.057
"frozenset({'UnitedStates', 'male', 'n_married'})",frozenset({'<50K'}),0.212,0.917,0.049,0.084,0.049,0.076
"frozenset({'male', 'n_married'})",frozenset({'<50K'}),0.23,0.917,0.047,0.08,0.047,0.077
"frozenset({'UnitedStates', 'female'})",frozenset({'<50K'}),0.268,0.889,0.261,0.274,0.0,0.05
frozenset({'female'}),frozenset({'<50K'}),0.295,0.888,0.262,0.273,0.0,0.049
"frozenset({'UnitedStates', 'white', 'female'})",frozenset({'<50K'}),0.219,0.879,0.275,0.29,0.0,0.052
"frozenset({'white', 'female'})",frozenset({'<50K'}),0.237,0.879,0.272,0.285,0.0,0.052
frozenset({'education.num_9.0'}),frozenset({'<50K'}),0.277,0.826,0.151,0.247,0.093,0.075
"frozenset({'UnitedStates', 'education.num_9.0'})",frozenset({'<50K'}),0.256,0.822,0.154,0.249,0.096,0.076
"frozenset({'white', 'education.num_9.0'})",frozenset({'<50K'}),0.233,0.813,0.157,0.261,0.099,0.075
"frozenset({'UnitedStates', 'white', 'education.num_9.0'})",frozenset({'<50K'}),0.219,0.81,0.161,0.263,0.102,0.075
