Dataset,Rule,support,confidence
adult,"{'n_married', 'Age (decade)_0.0', 'female'} -> {'<50K'}",0.255,0.961
adult,"{'n_married', 'education.num_<6', 'female'} -> {'<50K'}",0.255,0.961
adult,"{'n_married', 'education.num_<6', 'Age (decade)_0.0', 'female'} -> {'<50K'}",0.255,0.961
adult,"{'n_married', 'female'} -> {'<50K'}",0.255,0.961
adult,"{'UnitedStates', 'n_married', 'education.num_<6', 'female'} -> {'<50K'}",0.232,0.961
adult,"{'UnitedStates', 'n_married', 'Age (decade)_0.0', 'female'} -> {'<50K'}",0.232,0.961
adult,"{'UnitedStates', 'education.num_<6', 'Age (decade)_0.0', 'female', 'n_married'} -> {'<50K'}",0.232,0.961
adult,"{'UnitedStates', 'n_married', 'female'} -> {'<50K'}",0.232,0.961
adult,"{'n_married', 'white', 'female'} -> {'<50K'}",0.202,0.959
adult,"{'n_married', 'education.num_<6', 'white', 'female'} -> {'<50K'}",0.202,0.959
adult,"{'education.num_<6', 'Age (decade)_0.0', 'female', 'n_married', 'white'} -> {'<50K'}",0.202,0.959
adult,"{'n_married', 'white', 'Age (decade)_0.0', 'female'} -> {'<50K'}",0.202,0.959
adult,"{'UnitedStates', 'education.num_<6', 'female', 'n_married', 'white'} -> {'<50K'}",0.187,0.957
adult,"{'UnitedStates', 'Age (decade)_0.0', 'female', 'n_married', 'white'} -> {'<50K'}",0.187,0.957
adult,"{'UnitedStates', 'n_married', 'white', 'female'} -> {'<50K'}",0.187,0.957
adult,"{'UnitedStates', 'education.num_<6', 'Age (decade)_0.0', 'female', 'n_married', 'white'} -> {'<50K'}",0.187,0.957
adult,"{'UnitedStates', 'n_married'} -> {'<50K'}",0.441,0.937
adult,"{'UnitedStates', 'n_married', 'Age (decade)_0.0'} -> {'<50K'}",0.441,0.937
adult,"{'UnitedStates', 'n_married', 'education.num_<6', 'Age (decade)_0.0'} -> {'<50K'}",0.441,0.937
adult,"{'UnitedStates', 'n_married', 'education.num_<6'} -> {'<50K'}",0.441,0.937
adult,{'n_married'} -> {'<50K'},0.489,0.937
adult,"{'n_married', 'education.num_<6'} -> {'<50K'}",0.489,0.937
