Dataset,Rule,support,confidence
adult,"{'n_married', 'male', 'white'} -> {'<50K'}",0.21,0.966
adult,"{'n_married', 'male'} -> {'<50K'}",0.249,0.965
adult,"{'n_married', 'male', 'UnitedStates'} -> {'<50K'}",0.224,0.964
adult,{'n_married'} -> {'<50K'},0.477,0.898
adult,"{'n_married', 'UnitedStates'} -> {'<50K'}",0.429,0.895
adult,"{'n_married', 'white'} -> {'<50K'}",0.388,0.887
adult,"{'UnitedStates', 'n_married', 'white'} -> {'<50K'}",0.356,0.885
adult,{'Age (decade)_20.0'} -> {'<50K'},0.213,0.873
adult,"{'female', 'n_married'} -> {'<50K'}",0.227,0.835
adult,"{'female', 'n_married', 'UnitedStates'} -> {'<50K'}",0.205,0.83
adult,{'education.num_9.0'} -> {'<50K'},0.268,0.83
adult,"{'education.num_9.0', 'UnitedStates'} -> {'<50K'}",0.247,0.828
adult,"{'education.num_9.0', 'white'} -> {'<50K'}",0.225,0.821
adult,"{'white', 'education.num_9.0', 'UnitedStates'} -> {'<50K'}",0.211,0.819
adult,{'female'} -> {'<50K'},0.232,0.699
adult,"{'female', 'UnitedStates'} -> {'<50K'}",0.207,0.699
adult,{'UnitedStates'} -> {'<50K'},0.591,0.661
adult,{'male'} -> {'<50K'},0.435,0.651
adult,{'white'} -> {'<50K'},0.554,0.646
adult,"{'male', 'UnitedStates'} -> {'<50K'}",0.384,0.642
adult,"{'UnitedStates', 'white'} -> {'<50K'}",0.502,0.637
adult,"{'male', 'white'} -> {'<50K'}",0.374,0.634
adult,"{'UnitedStates', 'male', 'white'} -> {'<50K'}",0.337,0.622
adult,"{'UnitedStates', 'married', 'white'} -> {'>50K'}",0.239,0.621
adult,"{'married', 'UnitedStates'} -> {'>50K'}",0.253,0.61
adult,"{'married', 'white'} -> {'>50K'}",0.254,0.604
adult,{'married'} -> {'>50K'},0.28,0.595
adult,"{'married', 'male', 'UnitedStates'} -> {'>50K'}",0.206,0.562
adult,"{'married', 'male', 'white'} -> {'>50K'}",0.208,0.559
adult,"{'married', 'male'} -> {'>50K'}",0.225,0.547
adult,"{'UnitedStates', 'male', 'white'} -> {'>50K'}",0.205,0.378
adult,"{'male', 'white'} -> {'>50K'}",0.215,0.366
adult,"{'UnitedStates', 'white'} -> {'>50K'}",0.286,0.363
adult,"{'male', 'UnitedStates'} -> {'>50K'}",0.215,0.358
adult,{'white'} -> {'>50K'},0.303,0.354
adult,{'male'} -> {'>50K'},0.234,0.349
adult,{'UnitedStates'} -> {'>50K'},0.304,0.339
