Dataset,Rule,support,confidence
adult,"{'UnitedStates', 'Age (decade)_50.0'} -> {'>50K'}",0.116,0.973
adult,"{'UnitedStates', 'Age (decade)_50.0', 'white'} -> {'>50K'}",0.102,0.972
adult,"{'male', 'UnitedStates', 'education.num_>12', 'married'} -> {'>50K'}",0.109,0.969
adult,"{'male', 'education.num_>12', 'married'} -> {'>50K'}",0.121,0.968
adult,"{'male', 'education.num_>12', 'white', 'married'} -> {'>50K'}",0.111,0.968
adult,"{'male', 'UnitedStates', 'married', 'education.num_>12', 'white'} -> {'>50K'}",0.104,0.967
adult,"{'UnitedStates', 'education.num_>12', 'married'} -> {'>50K'}",0.121,0.965
adult,{'Age (decade)_50.0'} -> {'>50K'},0.126,0.965
adult,"{'Age (decade)_50.0', 'white'} -> {'>50K'}",0.109,0.965
adult,"{'education.num_>12', 'married'} -> {'>50K'}",0.136,0.964
adult,"{'education.num_>12', 'white', 'married'} -> {'>50K'}",0.123,0.963
adult,"{'UnitedStates', 'education.num_>12', 'white', 'married'} -> {'>50K'}",0.115,0.963
adult,"{'male', 'UnitedStates', 'Age (decade)_40.0', 'married'} -> {'>50K'}",0.107,0.949
adult,"{'Age (decade)_40.0', 'UnitedStates', 'white', 'married'} -> {'>50K'}",0.109,0.949
adult,"{'Age (decade)_40.0', 'UnitedStates', 'married'} -> {'>50K'}",0.12,0.947
adult,"{'male', 'Age (decade)_40.0', 'white', 'married'} -> {'>50K'}",0.105,0.945
adult,"{'male', 'Age (decade)_40.0', 'married'} -> {'>50K'}",0.118,0.944
adult,"{'male', 'UnitedStates', 'Age (decade)_40.0', 'white'} -> {'>50K'}",0.123,0.944
adult,"{'Age (decade)_40.0', 'married'} -> {'>50K'}",0.132,0.941
adult,"{'Age (decade)_40.0', 'white', 'married'} -> {'>50K'}",0.116,0.94
adult,"{'Age (decade)_40.0', 'UnitedStates', 'white'} -> {'>50K'}",0.165,0.94
adult,"{'male', 'Age (decade)_40.0', 'white'} -> {'>50K'}",0.132,0.935
adult,"{'Age (decade)_40.0', 'UnitedStates'} -> {'>50K'}",0.189,0.935
adult,"{'male', 'UnitedStates', 'Age (decade)_40.0'} -> {'>50K'}",0.135,0.934
adult,"{'male', 'Age (decade)_40.0'} -> {'>50K'}",0.149,0.928
adult,"{'Age (decade)_40.0', 'white'} -> {'>50K'}",0.177,0.928
adult,{'Age (decade)_40.0'} -> {'>50K'},0.207,0.926
adult,"{'education.num_>12', 'white'} -> {'>50K'}",0.199,0.901
adult,"{'UnitedStates', 'education.num_>12', 'white'} -> {'>50K'}",0.184,0.9
adult,"{'UnitedStates', 'education.num_>12'} -> {'>50K'}",0.198,0.898
adult,{'education.num_>12'} -> {'>50K'},0.222,0.895
adult,"{'male', 'education.num_>12', 'white'} -> {'>50K'}",0.145,0.895
adult,"{'male', 'UnitedStates', 'education.num_>12', 'white'} -> {'>50K'}",0.134,0.893
adult,"{'male', 'UnitedStates', 'education.num_>12'} -> {'>50K'}",0.142,0.891
adult,"{'male', 'education.num_>12'} -> {'>50K'}",0.159,0.888
adult,"{'male', 'UnitedStates', 'white', 'married'} -> {'>50K'}",0.291,0.833
adult,"{'UnitedStates', 'white', 'married'} -> {'>50K'}",0.325,0.831
adult,"{'male', 'UnitedStates', 'married'} -> {'>50K'}",0.313,0.83
adult,"{'UnitedStates', 'married'} -> {'>50K'}",0.354,0.827
adult,"{'male', 'white', 'married'} -> {'>50K'}",0.31,0.821
adult,"{'white', 'married'} -> {'>50K'}",0.349,0.82
adult,"{'male', 'married'} -> {'>50K'}",0.343,0.817
adult,{'married'} -> {'>50K'},0.39,0.815
