Dataset,Rule,support,confidence
adult,"{'UnitedStates', 'female'} -> {'<50K'}",0.298,1.0
adult,"{'white', 'female'} -> {'<50K'}",0.264,1.0
adult,"{'n_married', 'female'} -> {'<50K'}",0.272,1.0
adult,{'female'} -> {'<50K'},0.326,1.0
adult,"{'n_married', 'UnitedStates', 'female'} -> {'<50K'}",0.253,1.0
adult,"{'white', 'UnitedStates', 'female'} -> {'<50K'}",0.246,1.0
adult,"{'white', 'n_married', 'female'} -> {'<50K'}",0.221,1.0
adult,"{'female', 'n_married', 'white', 'UnitedStates'} -> {'<50K'}",0.209,1.0
adult,{'Age (decade)_20.0'} -> {'<50K'},0.246,0.974
adult,{'n_married'} -> {'<50K'},0.511,0.974
adult,"{'n_married', 'UnitedStates'} -> {'<50K'}",0.471,0.973
adult,"{'Age (decade)_20.0', 'UnitedStates'} -> {'<50K'}",0.22,0.972
adult,"{'white', 'n_married'} -> {'<50K'}",0.421,0.972
adult,"{'white', 'n_married', 'UnitedStates'} -> {'<50K'}",0.397,0.971
adult,"{'white', 'Age (decade)_20.0'} -> {'<50K'}",0.209,0.971
adult,"{'n_married', 'male'} -> {'<50K'}",0.239,0.945
adult,"{'n_married', 'male', 'UnitedStates'} -> {'<50K'}",0.219,0.943
adult,"{'white', 'male', 'n_married'} -> {'<50K'}",0.2,0.942
adult,{'education.num_9.0'} -> {'<50K'},0.299,0.913
adult,"{'education.num_9.0', 'UnitedStates'} -> {'<50K'}",0.28,0.912
adult,"{'white', 'education.num_9.0'} -> {'<50K'}",0.253,0.908
adult,"{'white', 'education.num_9.0', 'UnitedStates'} -> {'<50K'}",0.24,0.906
adult,{'Age (decade)_30.0'} -> {'<50K'},0.228,0.822
adult,{'UnitedStates'} -> {'<50K'},0.746,0.819
adult,"{'Age (decade)_30.0', 'UnitedStates'} -> {'<50K'}",0.205,0.815
adult,{'white'} -> {'<50K'},0.695,0.81
adult,"{'white', 'UnitedStates'} -> {'<50K'}",0.645,0.804
