antecedents,consequents,orig_support,orig_confidence,Reject Option Classification_support,Reject Option Classification_confidence,Equalized Odds_support,Equalized Odds_confidence,Calibrated EO_support,Calibrated EO_confidence
"frozenset({'Age (decade)_20.0', 'UnitedStates', 'n_married', 'white'})",frozenset({'<50K'}),0.139,0.986,0.131,0.925,0.124,0.881,0.14,0.992
"frozenset({'Age (decade)_20.0', 'n_married', 'white'})",frozenset({'<50K'}),0.152,0.985,0.143,0.925,0.137,0.886,0.153,0.993
"frozenset({'Age (decade)_20.0', 'UnitedStates', 'n_married'})",frozenset({'<50K'}),0.164,0.985,0.155,0.93,0.146,0.881,0.165,0.991
"frozenset({'Age (decade)_20.0', 'n_married'})",frozenset({'<50K'}),0.185,0.984,0.175,0.932,0.166,0.885,0.186,0.992
"frozenset({'male', 'n_married', 'Age (decade)_20.0'})",frozenset({'<50K'}),0.103,0.979,0.102,0.966,0.101,0.964,0.104,0.985
"frozenset({'n_married', 'education.num_9.0'})",frozenset({'<50K'}),0.164,0.976,0.154,0.914,0.149,0.887,0.167,0.993
"frozenset({'UnitedStates', 'n_married', 'education.num_9.0'})",frozenset({'<50K'}),0.151,0.976,0.141,0.91,0.137,0.886,0.154,0.992
"frozenset({'n_married', 'education.num_9.0', 'white'})",frozenset({'<50K'}),0.129,0.971,0.119,0.897,0.117,0.886,0.131,0.991
"frozenset({'education.num_9.0', 'UnitedStates', 'n_married', 'white'})",frozenset({'<50K'}),0.121,0.97,0.111,0.893,0.11,0.884,0.124,0.99
"frozenset({'UnitedStates', 'education.num_10.0', 'n_married'})",frozenset({'<50K'}),0.121,0.965,0.111,0.887,0.105,0.834,0.124,0.987
"frozenset({'education.num_10.0', 'n_married'})",frozenset({'<50K'}),0.132,0.965,0.121,0.887,0.114,0.836,0.135,0.987
"frozenset({'education.num_10.0', 'UnitedStates', 'n_married', 'white'})",frozenset({'<50K'}),0.102,0.964,,,,,0.104,0.987
"frozenset({'education.num_10.0', 'n_married', 'white'})",frozenset({'<50K'}),0.108,0.964,,,,,0.111,0.987
"frozenset({'n_married', 'female'})",frozenset({'<50K'}),0.255,0.961,,,,,0.265,1.0
"frozenset({'UnitedStates', 'n_married', 'female'})",frozenset({'<50K'}),0.232,0.961,,,,,0.241,1.0
"frozenset({'n_married', 'white', 'female'})",frozenset({'<50K'}),0.202,0.959,,,,,0.211,1.0
"frozenset({'UnitedStates', 'n_married', 'white', 'female'})",frozenset({'<50K'}),0.187,0.957,,,,,0.195,1.0
"frozenset({'UnitedStates', 'n_married'})",frozenset({'<50K'}),0.441,0.937,0.392,0.833,0.385,0.818,0.458,0.973
frozenset({'n_married'}),frozenset({'<50K'}),0.489,0.937,0.435,0.835,0.428,0.821,0.508,0.973
frozenset({'Age (decade)_20.0'}),frozenset({'<50K'}),0.233,0.935,0.214,0.857,0.205,0.822,0.24,0.965
"frozenset({'Age (decade)_20.0', 'UnitedStates'})",frozenset({'<50K'}),0.205,0.934,0.187,0.853,0.178,0.813,0.211,0.962
