Dataset,Rule,support,confidence
adult,"{'n_married', 'female'} -> {'<50K'}",0.253,0.929
adult,"{'n_married', 'UnitedStates', 'female'} -> {'<50K'}",0.235,0.929
adult,{'n_married'} -> {'<50K'},0.486,0.926
adult,"{'n_married', 'UnitedStates'} -> {'<50K'}",0.448,0.925
adult,"{'white', 'n_married', 'female'} -> {'<50K'}",0.204,0.924
adult,"{'n_married', 'male'} -> {'<50K'}",0.233,0.923
adult,"{'white', 'n_married'} -> {'<50K'}",0.4,0.923
adult,"{'white', 'n_married', 'UnitedStates'} -> {'<50K'}",0.376,0.922
adult,"{'n_married', 'male', 'UnitedStates'} -> {'<50K'}",0.213,0.92
adult,"{'married', 'UnitedStates'} -> {'>50K'}",0.349,0.817
adult,"{'white', 'married', 'UnitedStates'} -> {'>50K'}",0.321,0.816
adult,{'married'} -> {'>50K'},0.387,0.813
adult,"{'white', 'married'} -> {'>50K'}",0.344,0.811
