antecedents,consequents,orig_support,orig_confidence,Reject Option Classification_support,Reject Option Classification_confidence,Equalized Odds_support,Equalized Odds_confidence,Calibrated EO_support,Calibrated EO_confidence,Threshold Optimizer_support,Threshold Optimizer_confidence
"frozenset({'n_married', 'UnitedStates', 'female'})",frozenset({'<50K'}),0.243,0.96,,,,,0.253,1.0,0.235,0.929
"frozenset({'n_married', 'female'})",frozenset({'<50K'}),0.261,0.959,,,,,0.272,1.0,0.253,0.929
"frozenset({'white', 'n_married', 'female'})",frozenset({'<50K'}),0.211,0.956,,,,,0.221,1.0,0.204,0.924
frozenset({'n_married'}),frozenset({'<50K'}),0.492,0.939,0.45,0.857,0.431,0.822,0.511,0.974,0.486,0.926
"frozenset({'n_married', 'UnitedStates'})",frozenset({'<50K'}),0.455,0.938,0.415,0.856,0.398,0.821,0.471,0.973,0.448,0.925
frozenset({'Age (decade)_20.0'}),frozenset({'<50K'}),0.237,0.936,0.226,0.894,0.216,0.856,0.246,0.974,,
"frozenset({'white', 'n_married'})",frozenset({'<50K'}),0.405,0.935,0.369,0.852,0.356,0.822,0.421,0.972,0.4,0.923
"frozenset({'white', 'n_married', 'UnitedStates'})",frozenset({'<50K'}),0.381,0.934,0.348,0.851,0.335,0.819,0.397,0.971,0.376,0.922
"frozenset({'Age (decade)_20.0', 'UnitedStates'})",frozenset({'<50K'}),0.212,0.934,0.203,0.894,,,0.22,0.972,,
"frozenset({'white', 'Age (decade)_20.0'})",frozenset({'<50K'}),0.2,0.931,,,,,0.209,0.971,,
"frozenset({'n_married', 'male'})",frozenset({'<50K'}),0.232,0.917,0.233,0.922,0.225,0.889,0.239,0.945,0.233,0.923
"frozenset({'n_married', 'male', 'UnitedStates'})",frozenset({'<50K'}),0.212,0.915,0.213,0.918,0.206,0.887,0.219,0.943,0.213,0.92
"frozenset({'UnitedStates', 'female'})",frozenset({'<50K'}),0.269,0.904,,,,,0.298,1.0,,
frozenset({'female'}),frozenset({'<50K'}),0.294,0.901,,,,,0.326,1.0,,
"frozenset({'white', 'UnitedStates', 'female'})",frozenset({'<50K'}),0.22,0.895,,,,,0.246,1.0,,
"frozenset({'white', 'female'})",frozenset({'<50K'}),0.235,0.894,,,,,0.264,1.0,,
frozenset({'education.num_9.0'}),frozenset({'<50K'}),0.271,0.826,,,,,0.299,0.913,,
"frozenset({'education.num_9.0', 'UnitedStates'})",frozenset({'<50K'}),0.253,0.825,,,,,0.28,0.912,,
"frozenset({'white', 'education.num_9.0'})",frozenset({'<50K'}),0.226,0.814,,,,,0.253,0.908,,
"frozenset({'white', 'education.num_9.0', 'UnitedStates'})",frozenset({'<50K'}),0.216,0.813,,,,,0.24,0.906,,
