antecedents,consequents,support,confidence,Reject Option Classification,Equalized Odds,Calibrated EO,Threshold Optimizer
"frozenset({'female', 'n_married'})",frozenset({'<50K'}),0.26,0.95,0.203,0.242,0.0,0.071
"frozenset({'UnitedStates', 'female', 'n_married'})",frozenset({'<50K'}),0.24,0.949,0.205,0.244,0.0,0.071
"frozenset({'white', 'female', 'n_married'})",frozenset({'<50K'}),0.21,0.944,0.216,0.241,0.0,0.073
frozenset({'Age (decade)_20.0'}),frozenset({'<50K'}),0.236,0.937,0.104,0.162,0.033,0.241
frozenset({'n_married'}),frozenset({'<50K'}),0.49,0.934,0.15,0.181,0.03,0.08
"frozenset({'UnitedStates', 'Age (decade)_20.0'})",frozenset({'<50K'}),0.212,0.934,0.104,0.165,0.035,0.239
"frozenset({'UnitedStates', 'n_married'})",frozenset({'<50K'}),0.452,0.934,0.152,0.183,0.031,0.08
"frozenset({'white', 'n_married'})",frozenset({'<50K'}),0.404,0.929,0.157,0.183,0.033,0.081
"frozenset({'UnitedStates', 'white', 'n_married'})",frozenset({'<50K'}),0.378,0.928,0.159,0.185,0.033,0.082
"frozenset({'UnitedStates', 'male', 'n_married'})",frozenset({'<50K'}),0.212,0.917,0.092,0.117,0.064,0.09
"frozenset({'male', 'n_married'})",frozenset({'<50K'}),0.23,0.917,0.091,0.115,0.063,0.089
"frozenset({'UnitedStates', 'female'})",frozenset({'<50K'}),0.268,0.889,0.316,0.322,0.0,0.22
frozenset({'female'}),frozenset({'<50K'}),0.295,0.888,0.323,0.323,0.0,0.233
"frozenset({'UnitedStates', 'white', 'female'})",frozenset({'<50K'}),0.219,0.879,0.335,0.328,0.0,0.228
"frozenset({'white', 'female'})",frozenset({'<50K'}),0.237,0.879,0.336,0.329,0.0,0.235
frozenset({'education.num_9.0'}),frozenset({'<50K'}),0.277,0.826,0.235,0.325,0.089,0.459
"frozenset({'UnitedStates', 'education.num_9.0'})",frozenset({'<50K'}),0.256,0.822,0.237,0.331,0.091,0.459
"frozenset({'white', 'education.num_9.0'})",frozenset({'<50K'}),0.233,0.813,0.244,0.342,0.091,0.478
"frozenset({'UnitedStates', 'white', 'education.num_9.0'})",frozenset({'<50K'}),0.219,0.81,0.246,0.344,0.093,0.481
