antecedents,consequents,orig_support,orig_confidence,Decision Tree_support,Decision Tree_confidence,Logistic Regression_support,Logistic Regression_confidence,Random Forest_support,Random Forest_confidence,KNN_support,KNN_confidence,support,confidence
"frozenset({'female', 'n_married'})",frozenset({'<50K'}),0.259,0.95,0.241,0.882,,,,,0.231,0.847,,
"frozenset({'UnitedStates', 'female', 'n_married'})",frozenset({'<50K'}),0.237,0.948,0.219,0.876,,,,,0.211,0.845,,
"frozenset({'female', 'n_married', 'white'})",frozenset({'<50K'}),0.208,0.946,,,,,,,,,,
frozenset({'Age (decade)_20.0'}),frozenset({'<50K'}),0.222,0.938,0.22,0.928,,,0.2,0.844,0.217,0.915,,
frozenset({'n_married'}),frozenset({'<50K'}),0.489,0.93,0.473,0.9,0.439,0.835,,,0.472,0.898,,
"frozenset({'UnitedStates', 'n_married'})",frozenset({'<50K'}),0.443,0.929,0.428,0.898,0.396,0.831,,,0.427,0.895,,
"frozenset({'white', 'n_married'})",frozenset({'<50K'}),0.401,0.927,0.386,0.892,0.357,0.825,,,0.384,0.888,,
"frozenset({'UnitedStates', 'white', 'n_married'})",frozenset({'<50K'}),0.37,0.925,0.356,0.89,0.329,0.821,,,0.354,0.884,,
"frozenset({'n_married', 'male'})",frozenset({'<50K'}),0.229,0.909,0.232,0.92,0.24,0.951,0.221,0.877,0.24,0.953,,
"frozenset({'UnitedStates', 'male', 'n_married'})",frozenset({'<50K'}),0.206,0.908,0.209,0.922,0.215,0.95,,,0.215,0.95,,
frozenset({'female'}),frozenset({'<50K'}),0.294,0.887,0.271,0.817,,,,,,,,
"frozenset({'UnitedStates', 'female'})",frozenset({'<50K'}),0.265,0.886,0.243,0.813,,,,,,,,
"frozenset({'female', 'white'})",frozenset({'<50K'}),0.233,0.878,,,,,,,,,,
"frozenset({'UnitedStates', 'female', 'white'})",frozenset({'<50K'}),0.214,0.876,,,,,,,,,,
frozenset({'education.num_9.0'}),frozenset({'<50K'}),0.265,0.84,0.28,0.886,,,,,0.267,0.847,,
"frozenset({'education.num_9.0', 'UnitedStates'})",frozenset({'<50K'}),0.245,0.839,0.259,0.887,,,,,0.246,0.842,,
"frozenset({'education.num_9.0', 'white'})",frozenset({'<50K'}),0.223,0.826,0.236,0.875,,,,,0.225,0.833,,
"frozenset({'education.num_9.0', 'white', 'UnitedStates'})",frozenset({'<50K'}),0.21,0.825,0.223,0.876,,,,,0.211,0.828,,
"frozenset({'white', 'n_married', 'male'})",frozenset({'<50K'}),,,,,,,,,0.202,0.949,0.202,0.949
