antecedents,consequents,orig_support,orig_confidence,Decision Tree_support,Decision Tree_confidence,Logistic Regression_support,Logistic Regression_confidence,Random Forest_support,Random Forest_confidence,KNN_support,KNN_confidence,support,confidence
"frozenset({'n_married', 'female'})",frozenset({'<50K'}),0.262,0.96,0.262,0.958,,,0.261,0.954,0.262,0.957,,
"frozenset({'n_married', 'UnitedStates', 'female'})",frozenset({'<50K'}),0.239,0.96,0.239,0.958,,,0.238,0.954,0.239,0.958,,
"frozenset({'white', 'n_married', 'female'})",frozenset({'<50K'}),0.211,0.956,0.211,0.956,,,0.21,0.951,0.211,0.956,,
frozenset({'n_married'}),frozenset({'<50K'}),0.49,0.939,0.495,0.948,,,0.494,0.948,0.492,0.943,,
"frozenset({'n_married', 'UnitedStates'})",frozenset({'<50K'}),0.445,0.937,0.45,0.948,,,0.45,0.948,0.447,0.943,,
frozenset({'Age (decade)_20.0'}),frozenset({'<50K'}),0.225,0.937,0.226,0.944,,,0.226,0.944,0.227,0.945,,
"frozenset({'white', 'n_married'})",frozenset({'<50K'}),0.4,0.933,0.406,0.945,,,0.405,0.944,0.404,0.941,,
"frozenset({'white', 'UnitedStates', 'n_married'})",frozenset({'<50K'}),0.371,0.932,0.377,0.946,,,0.376,0.945,0.375,0.94,,
"frozenset({'n_married', 'male'})",frozenset({'<50K'}),0.227,0.915,0.233,0.938,,,0.234,0.941,0.231,0.928,,
"frozenset({'n_married', 'male', 'UnitedStates'})",frozenset({'<50K'}),0.205,0.913,0.211,0.937,,,0.212,0.94,0.209,0.927,,
frozenset({'female'}),frozenset({'<50K'}),0.298,0.892,0.312,0.935,,,0.311,0.931,0.315,0.944,,
"frozenset({'UnitedStates', 'female'})",frozenset({'<50K'}),0.268,0.891,0.281,0.933,,,0.28,0.93,0.284,0.943,,
"frozenset({'white', 'female'})",frozenset({'<50K'}),0.238,0.884,0.25,0.932,,,0.249,0.927,0.253,0.942,,
"frozenset({'white', 'UnitedStates', 'female'})",frozenset({'<50K'}),0.219,0.882,0.232,0.931,,,0.231,0.926,0.234,0.942,,
frozenset({'education.num_9.0'}),frozenset({'<50K'}),0.274,0.843,0.295,0.908,,,0.295,0.909,0.299,0.922,,
"frozenset({'UnitedStates', 'education.num_9.0'})",frozenset({'<50K'}),0.253,0.841,0.272,0.905,,,0.273,0.906,0.277,0.92,,
"frozenset({'white', 'education.num_9.0'})",frozenset({'<50K'}),0.23,0.831,0.249,0.902,,,0.25,0.903,0.254,0.917,,
"frozenset({'white', 'UnitedStates', 'education.num_9.0'})",frozenset({'<50K'}),0.216,0.829,0.234,0.899,,,0.235,0.9,0.239,0.916,,
frozenset({'education.num_10.0'}),frozenset({'<50K'}),,,,,,,,,0.209,0.921,0.209,0.921
frozenset({'UnitedStates'}),frozenset({'<50K'}),,,,,,,,,0.812,0.902,0.812,0.902
frozenset({'Age (decade)_30.0'}),frozenset({'<50K'}),,,,,,,,,0.234,0.901,0.234,0.901
frozenset({'white'}),frozenset({'<50K'}),,,,,,,,,0.768,0.9,0.768,0.9
"frozenset({'Age (decade)_30.0', 'UnitedStates'})",frozenset({'<50K'}),,,,,,,,,0.207,0.899,0.207,0.899
"frozenset({'white', 'UnitedStates'})",frozenset({'<50K'}),,,,,,,,,0.709,0.898,0.709,0.898
frozenset({'Age (decade)_40.0'}),frozenset({'<50K'}),,,,,,,,,0.201,0.889,0.201,0.889
frozenset({'male'}),frozenset({'<50K'}),,,,,,,,,0.59,0.886,0.59,0.886
"frozenset({'male', 'UnitedStates'})",frozenset({'<50K'}),,,,,,,,,0.528,0.882,0.528,0.882
"frozenset({'white', 'male'})",frozenset({'<50K'}),,,,,,,,,0.514,0.881,0.514,0.881
"frozenset({'white', 'male', 'UnitedStates'})",frozenset({'<50K'}),,,,,,,,,0.475,0.877,0.475,0.877
frozenset({'married'}),frozenset({'<50K'}),,,,,,,,,0.413,0.864,0.413,0.864
"frozenset({'male', 'married'})",frozenset({'<50K'}),,,,,,,,,0.36,0.861,0.36,0.861
"frozenset({'white', 'married'})",frozenset({'<50K'}),,,,,,,,,0.364,0.859,0.364,0.859
"frozenset({'UnitedStates', 'married'})",frozenset({'<50K'}),,,,,,,,,0.364,0.857,0.364,0.857
"frozenset({'white', 'male', 'married'})",frozenset({'<50K'}),,,,,,,,,0.322,0.856,0.322,0.856
"frozenset({'male', 'UnitedStates', 'married'})",frozenset({'<50K'}),,,,,,,,,0.319,0.855,0.319,0.855
"frozenset({'white', 'UnitedStates', 'married'})",frozenset({'<50K'}),,,,,,,,,0.335,0.854,0.335,0.854
"frozenset({'white', 'UnitedStates', 'male', 'married'})",frozenset({'<50K'}),,,,,,,,,0.297,0.852,0.297,0.852
frozenset({'education.num_>12'}),frozenset({'<50K'}),,,,,,,,,0.21,0.846,0.21,0.846
