antecedents,consequents,orig_support,orig_confidence,Decision Tree_support,Decision Tree_confidence,Logistic Regression_support,Logistic Regression_confidence,Random Forest_support,Random Forest_confidence,KNN_support,KNN_confidence,support,confidence
"frozenset({'n_recidive', 'male', 'juv_fel=0', 'priors_No'})",frozenset({'risk_low'}),0.111,0.899,0.122,0.991,0.123,1.0,0.121,0.987,0.122,0.991,,
"frozenset({'juv_misd=0', 'n_recidive', 'male', 'priors_No'})",frozenset({'risk_low'}),0.111,0.899,0.122,0.991,0.123,1.0,0.121,0.987,0.122,0.991,,
"frozenset({'n_recidive', 'male', 'priors_No'})",frozenset({'risk_low'}),0.111,0.899,0.122,0.991,0.123,1.0,0.121,0.987,0.122,0.991,,
"frozenset({'juv_misd=0', 'n_recidive', 'priors_No', 'male', 'juv_fel=0'})",frozenset({'risk_low'}),0.111,0.899,0.122,0.991,0.123,1.0,0.121,0.987,0.122,0.991,,
"frozenset({'n_recidive', 'male', 'juv_fel=0', 'white'})",frozenset({'risk_low'}),0.152,0.889,0.16,0.937,0.169,0.984,0.16,0.937,0.161,0.94,,
"frozenset({'juv_misd=0', 'n_recidive', 'male', 'white', 'juv_fel=0'})",frozenset({'risk_low'}),0.151,0.889,0.16,0.939,0.168,0.987,0.16,0.939,0.161,0.946,,
"frozenset({'juv_misd=0', 'n_recidive', 'male', 'white'})",frozenset({'risk_low'}),0.151,0.886,0.16,0.937,0.168,0.984,0.16,0.937,0.161,0.943,,
"frozenset({'white', 'n_recidive', 'priors_Few'})",frozenset({'risk_low'}),0.108,0.885,0.113,0.925,0.122,0.996,0.113,0.92,0.112,0.916,,
"frozenset({'n_recidive', 'white', 'juv_fel=0', 'priors_Few'})",frozenset({'risk_low'}),0.108,0.884,0.113,0.924,0.122,1.0,0.113,0.924,0.112,0.92,,
"frozenset({'white', 'male', 'n_recidive'})",frozenset({'risk_low'}),0.153,0.884,0.162,0.934,0.169,0.975,0.16,0.928,0.161,0.931,,
"frozenset({'juv_misd=0', 'n_recidive', 'white', 'priors_Few'})",frozenset({'risk_low'}),0.107,0.884,0.112,0.924,0.121,1.0,0.112,0.924,0.112,0.924,,
"frozenset({'juv_misd=0', 'priors_Few', 'n_recidive', 'white', 'juv_fel=0'})",frozenset({'risk_low'}),0.107,0.884,0.112,0.924,0.121,1.0,0.112,0.924,0.112,0.924,,
