Dataset,Rule,support,confidence
compas,"{'male', 'juv_fel=0', 'n_recidive', 'white', 'juv_misd=0'} -> {'risk_low'}",0.154,0.869
compas,"{'male', 'juv_fel=0', 'n_recidive', 'Age (decade)_0.0', 'white', 'juv_misd=0'} -> {'risk_low'}",0.154,0.869
compas,"{'male', 'n_recidive', 'white', 'juv_misd=0'} -> {'risk_low'}",0.154,0.866
compas,"{'male', 'n_recidive', 'Age (decade)_0.0', 'white', 'juv_misd=0'} -> {'risk_low'}",0.154,0.866
compas,"{'juv_fel=0', 'n_recidive', 'priors_No', 'Age (decade)_0.0', 'juv_misd=0'} -> {'risk_low'}",0.156,0.864
compas,"{'juv_fel=0', 'n_recidive', 'priors_No', 'Age (decade)_0.0'} -> {'risk_low'}",0.156,0.864
compas,"{'juv_fel=0', 'n_recidive', 'priors_No', 'juv_misd=0'} -> {'risk_low'}",0.156,0.864
compas,"{'n_recidive', 'priors_No', 'juv_misd=0'} -> {'risk_low'}",0.156,0.864
compas,"{'n_recidive', 'priors_No'} -> {'risk_low'}",0.156,0.864
compas,"{'n_recidive', 'priors_No', 'Age (decade)_0.0'} -> {'risk_low'}",0.156,0.864
compas,"{'juv_fel=0', 'n_recidive', 'priors_No'} -> {'risk_low'}",0.156,0.864
compas,"{'n_recidive', 'priors_No', 'juv_misd=0', 'Age (decade)_0.0'} -> {'risk_low'}",0.156,0.864
compas,"{'male', 'juv_fel=0', 'n_recidive', 'priors_No', 'juv_misd=0'} -> {'risk_low'}",0.112,0.862
compas,"{'male', 'juv_fel=0', 'n_recidive', 'priors_No', 'Age (decade)_0.0'} -> {'risk_low'}",0.112,0.862
compas,"{'male', 'n_recidive', 'priors_No', 'Age (decade)_0.0', 'juv_misd=0'} -> {'risk_low'}",0.112,0.862
compas,"{'male', 'juv_fel=0', 'n_recidive', 'priors_No', 'Age (decade)_0.0', 'juv_misd=0'} -> {'risk_low'}",0.112,0.862
compas,"{'male', 'n_recidive', 'priors_No', 'Age (decade)_0.0'} -> {'risk_low'}",0.112,0.862
compas,"{'male', 'n_recidive', 'priors_No'} -> {'risk_low'}",0.112,0.862
compas,"{'male', 'n_recidive', 'priors_No', 'juv_fel=0'} -> {'risk_low'}",0.112,0.862
compas,"{'male', 'n_recidive', 'priors_No', 'juv_misd=0'} -> {'risk_low'}",0.112,0.862
compas,"{'male', 'n_recidive', 'white', 'juv_fel=0'} -> {'risk_low'}",0.155,0.861
compas,"{'male', 'juv_fel=0', 'n_recidive', 'Age (decade)_0.0', 'white'} -> {'risk_low'}",0.155,0.861
compas,"{'juv_fel=0', 'n_recidive', 'white', 'juv_misd=0'} -> {'risk_low'}",0.198,0.861
compas,"{'juv_fel=0', 'n_recidive', 'Age (decade)_0.0', 'white', 'juv_misd=0'} -> {'risk_low'}",0.198,0.861
compas,"{'male', 'n_recidive', 'white'} -> {'risk_low'}",0.155,0.859
compas,"{'male', 'n_recidive', 'white', 'Age (decade)_0.0'} -> {'risk_low'}",0.155,0.859
compas,"{'n_recidive', 'juv_misd=0', 'white'} -> {'risk_low'}",0.198,0.859
compas,"{'n_recidive', 'juv_misd=0', 'white', 'Age (decade)_0.0'} -> {'risk_low'}",0.198,0.859
compas,"{'priors_No', 'white', 'Age (decade)_0.0', 'juv_misd=0'} -> {'risk_low'}",0.122,0.856
compas,"{'priors_No', 'white'} -> {'risk_low'}",0.122,0.856
compas,"{'juv_fel=0', 'priors_No', 'white', 'juv_misd=0'} -> {'risk_low'}",0.122,0.856
compas,"{'juv_fel=0', 'priors_No', 'Age (decade)_0.0', 'white', 'juv_misd=0'} -> {'risk_low'}",0.122,0.856
compas,"{'juv_fel=0', 'priors_No', 'white', 'Age (decade)_0.0'} -> {'risk_low'}",0.122,0.856
compas,"{'priors_No', 'white', 'Age (decade)_0.0'} -> {'risk_low'}",0.122,0.856
compas,"{'juv_fel=0', 'priors_No', 'white'} -> {'risk_low'}",0.122,0.856
compas,"{'priors_No', 'juv_misd=0', 'white'} -> {'risk_low'}",0.122,0.856
compas,"{'juv_fel=0', 'n_recidive', 'white'} -> {'risk_low'}",0.199,0.854
compas,"{'juv_fel=0', 'n_recidive', 'white', 'Age (decade)_0.0'} -> {'risk_low'}",0.199,0.854
compas,"{'n_recidive', 'c_felony', 'white', 'juv_misd=0'} -> {'risk_low'}",0.114,0.854
compas,"{'juv_fel=0', 'n_recidive', 'Age (decade)_0.0', 'white', 'c_felony', 'juv_misd=0'} -> {'risk_low'}",0.114,0.854
compas,"{'juv_fel=0', 'n_recidive', 'c_felony', 'white', 'juv_misd=0'} -> {'risk_low'}",0.114,0.854
compas,"{'n_recidive', 'Age (decade)_0.0', 'white', 'c_felony', 'juv_misd=0'} -> {'risk_low'}",0.114,0.854
compas,"{'n_recidive', 'white'} -> {'risk_low'}",0.199,0.852
compas,"{'n_recidive', 'white', 'Age (decade)_0.0'} -> {'risk_low'}",0.199,0.852
compas,"{'male', 'juv_fel=0', 'Age (decade)_0.0', 'c_misdemeanor', 'white', 'juv_misd=0'} -> {'risk_low'}",0.1,0.845
compas,"{'male', 'juv_fel=0', 'c_misdemeanor', 'white', 'juv_misd=0'} -> {'risk_low'}",0.1,0.845
compas,"{'juv_fel=0', 'n_recidive', 'Age (decade)_0.0', 'c_felony', 'white'} -> {'risk_low'}",0.115,0.845
compas,"{'n_recidive', 'c_felony', 'white'} -> {'risk_low'}",0.115,0.845
compas,"{'juv_fel=0', 'n_recidive', 'c_felony', 'white'} -> {'risk_low'}",0.115,0.845
compas,"{'n_recidive', 'c_felony', 'white', 'Age (decade)_0.0'} -> {'risk_low'}",0.115,0.845
compas,"{'c_misdemeanor', 'priors_No', 'juv_misd=0'} -> {'risk_low'}",0.102,0.836
compas,"{'juv_fel=0', 'c_misdemeanor', 'priors_No'} -> {'risk_low'}",0.102,0.836
compas,"{'c_misdemeanor', 'priors_No', 'Age (decade)_0.0'} -> {'risk_low'}",0.102,0.836
compas,"{'c_misdemeanor', 'priors_No'} -> {'risk_low'}",0.102,0.836
compas,"{'juv_fel=0', 'priors_No', 'Age (decade)_0.0', 'c_misdemeanor', 'juv_misd=0'} -> {'risk_low'}",0.102,0.836
compas,"{'juv_fel=0', 'c_misdemeanor', 'priors_No', 'juv_misd=0'} -> {'risk_low'}",0.102,0.836
compas,"{'juv_fel=0', 'c_misdemeanor', 'priors_No', 'Age (decade)_0.0'} -> {'risk_low'}",0.102,0.836
compas,"{'c_misdemeanor', 'priors_No', 'juv_misd=0', 'Age (decade)_0.0'} -> {'risk_low'}",0.102,0.836
compas,"{'male', 'Age (decade)_0.0', 'white', 'c_misdemeanor', 'juv_misd=0'} -> {'risk_low'}",0.1,0.833
compas,"{'male', 'c_misdemeanor', 'white', 'juv_misd=0'} -> {'risk_low'}",0.1,0.833
compas,"{'juv_fel=0', 'Age (decade)_0.0', 'white', 'c_misdemeanor', 'juv_misd=0'} -> {'risk_low'}",0.129,0.829
compas,"{'juv_fel=0', 'c_misdemeanor', 'white', 'juv_misd=0'} -> {'risk_low'}",0.129,0.829
compas,"{'male', 'c_misdemeanor', 'white', 'juv_fel=0'} -> {'risk_low'}",0.102,0.828
compas,"{'male', 'juv_fel=0', 'Age (decade)_0.0', 'c_misdemeanor', 'white'} -> {'risk_low'}",0.102,0.828
compas,"{'c_misdemeanor', 'juv_misd=0', 'white'} -> {'risk_low'}",0.129,0.821
compas,"{'c_misdemeanor', 'juv_misd=0', 'white', 'Age (decade)_0.0'} -> {'risk_low'}",0.129,0.821
compas,"{'juv_fel=0', 'c_misdemeanor', 'juv_misd=0', 'n_recidive'} -> {'risk_low'}",0.151,0.821
compas,"{'juv_fel=0', 'n_recidive', 'Age (decade)_0.0', 'c_misdemeanor', 'juv_misd=0'} -> {'risk_low'}",0.151,0.821
compas,"{'male', 'c_misdemeanor', 'white'} -> {'risk_low'}",0.102,0.817
compas,"{'male', 'c_misdemeanor', 'white', 'Age (decade)_0.0'} -> {'risk_low'}",0.102,0.817
compas,"{'n_recidive', 'juv_misd=0', 'c_misdemeanor'} -> {'risk_low'}",0.151,0.813
compas,"{'c_misdemeanor', 'n_recidive', 'juv_misd=0', 'Age (decade)_0.0'} -> {'risk_low'}",0.151,0.813
compas,"{'juv_fel=0', 'c_misdemeanor', 'white'} -> {'risk_low'}",0.131,0.812
compas,"{'juv_fel=0', 'c_misdemeanor', 'white', 'Age (decade)_0.0'} -> {'risk_low'}",0.131,0.812
compas,"{'male', 'juv_fel=0', 'n_recidive', 'c_misdemeanor', 'juv_misd=0'} -> {'risk_low'}",0.111,0.81
