Dataset,Rule,support,confidence
compas,"{'juv_misd=0', 'c_misdemeanor', 'priors_No'} -> {'risk_low'}",0.121,0.945
compas,"{'juv_misd=0', 'juv_fel=0', 'c_misdemeanor', 'priors_No'} -> {'risk_low'}",0.121,0.945
compas,"{'c_misdemeanor', 'priors_No'} -> {'risk_low'}",0.121,0.941
compas,"{'juv_fel=0', 'c_misdemeanor', 'priors_No'} -> {'risk_low'}",0.121,0.941
compas,"{'n_recidive', 'juv_misd=0', 'juv_fel=0', 'priors_No'} -> {'risk_low'}",0.173,0.928
compas,"{'n_recidive', 'juv_fel=0', 'priors_No'} -> {'risk_low'}",0.173,0.928
compas,"{'n_recidive', 'juv_misd=0', 'priors_No'} -> {'risk_low'}",0.173,0.928
compas,"{'n_recidive', 'priors_No'} -> {'risk_low'}",0.173,0.928
compas,"{'n_recidive', 'juv_fel=0', 'priors_No', 'male'} -> {'risk_low'}",0.124,0.927
compas,"{'n_recidive', 'juv_fel=0', 'male', 'juv_misd=0', 'priors_No'} -> {'risk_low'}",0.124,0.927
compas,"{'n_recidive', 'juv_misd=0', 'priors_No', 'male'} -> {'risk_low'}",0.124,0.927
compas,"{'n_recidive', 'priors_No', 'male'} -> {'risk_low'}",0.124,0.927
compas,"{'juv_misd=0', 'n_white', 'priors_No'} -> {'risk_low'}",0.137,0.917
compas,"{'juv_fel=0', 'n_white', 'priors_No'} -> {'risk_low'}",0.137,0.917
compas,"{'juv_misd=0', 'juv_fel=0', 'n_white', 'priors_No'} -> {'risk_low'}",0.137,0.917
compas,"{'n_white', 'priors_No'} -> {'risk_low'}",0.137,0.917
compas,"{'juv_fel=0', 'n_white', 'priors_No', 'male'} -> {'risk_low'}",0.105,0.902
compas,"{'juv_fel=0', 'male', 'juv_misd=0', 'n_white', 'priors_No'} -> {'risk_low'}",0.105,0.902
compas,"{'juv_misd=0', 'n_white', 'priors_No', 'male'} -> {'risk_low'}",0.105,0.902
compas,"{'n_white', 'priors_No', 'male'} -> {'risk_low'}",0.105,0.902
compas,"{'juv_misd=0', 'Age (decade)_20.0', 'juv_fel=0', 'priors_No'} -> {'risk_low'}",0.119,0.894
compas,"{'juv_misd=0', 'priors_No', 'Age (decade)_20.0'} -> {'risk_low'}",0.119,0.894
compas,"{'juv_misd=0', 'juv_fel=0', 'priors_No'} -> {'risk_low'}",0.25,0.893
compas,"{'juv_misd=0', 'priors_No'} -> {'risk_low'}",0.25,0.893
compas,"{'priors_No', 'male'} -> {'risk_low'}",0.188,0.892
compas,"{'juv_misd=0', 'priors_No', 'male'} -> {'risk_low'}",0.188,0.892
compas,"{'juv_misd=0', 'juv_fel=0', 'priors_No', 'male'} -> {'risk_low'}",0.188,0.892
compas,"{'juv_fel=0', 'priors_No', 'male'} -> {'risk_low'}",0.188,0.892
compas,{'priors_No'} -> {'risk_low'},0.25,0.892
compas,"{'juv_fel=0', 'priors_No'} -> {'risk_low'}",0.25,0.892
compas,"{'Age (decade)_20.0', 'priors_No'} -> {'risk_low'}",0.119,0.891
compas,"{'Age (decade)_20.0', 'juv_fel=0', 'priors_No'} -> {'risk_low'}",0.119,0.891
compas,"{'n_recidive', 'juv_fel=0', 'c_misdemeanor', 'male', 'juv_misd=0'} -> {'risk_low'}",0.114,0.886
compas,"{'n_recidive', 'juv_misd=0', 'c_misdemeanor', 'male'} -> {'risk_low'}",0.115,0.884
compas,"{'n_recidive', 'juv_misd=0', 'juv_fel=0', 'c_misdemeanor'} -> {'risk_low'}",0.16,0.878
compas,"{'n_recidive', 'juv_misd=0', 'c_misdemeanor'} -> {'risk_low'}",0.162,0.877
compas,"{'n_recidive', 'Age (decade)_20.0', 'juv_misd=0', 'male'} -> {'risk_low'}",0.104,0.873
compas,"{'female', 'juv_misd=0', 'n_recidive'} -> {'risk_low'}",0.102,0.871
compas,"{'n_recidive', 'juv_misd=0', 'juv_fel=0', 'female'} -> {'risk_low'}",0.102,0.87
compas,"{'n_recidive', 'juv_misd=0', 'juv_fel=0', 'male', 'Age (decade)_20.0'} -> {'risk_low'}",0.102,0.87
compas,"{'n_recidive', 'juv_fel=0', 'c_misdemeanor', 'male'} -> {'risk_low'}",0.115,0.869
compas,"{'juv_misd=0', 'priors_No', 'white'} -> {'risk_low'}",0.113,0.867
compas,"{'juv_misd=0', 'juv_fel=0', 'priors_No', 'white'} -> {'risk_low'}",0.113,0.867
compas,"{'n_recidive', 'juv_fel=0', 'male', 'white'} -> {'risk_low'}",0.147,0.866
compas,"{'n_recidive', 'juv_misd=0', 'Age (decade)_20.0'} -> {'risk_low'}",0.143,0.866
compas,"{'n_recidive', 'juv_fel=0', 'male', 'white', 'juv_misd=0'} -> {'risk_low'}",0.146,0.865
compas,"{'n_recidive', 'male', 'white'} -> {'risk_low'}",0.148,0.864
compas,"{'n_recidive', 'juv_fel=0', 'c_misdemeanor'} -> {'risk_low'}",0.162,0.864
compas,"{'n_recidive', 'c_misdemeanor', 'male'} -> {'risk_low'}",0.117,0.863
compas,"{'n_recidive', 'Age (decade)_20.0', 'juv_fel=0', 'juv_misd=0'} -> {'risk_low'}",0.14,0.863
compas,"{'juv_fel=0', 'priors_No', 'white'} -> {'risk_low'}",0.113,0.863
compas,"{'priors_No', 'white'} -> {'risk_low'}",0.113,0.863
compas,"{'n_recidive', 'juv_misd=0', 'male', 'white'} -> {'risk_low'}",0.147,0.863
compas,"{'n_recidive', 'c_misdemeanor'} -> {'risk_low'}",0.163,0.86
compas,"{'female', 'n_recidive'} -> {'risk_low'}",0.102,0.859
compas,"{'female', 'juv_fel=0', 'n_recidive'} -> {'risk_low'}",0.102,0.858
compas,"{'n_recidive', 'priors_Few', 'white'} -> {'risk_low'}",0.101,0.858
