Dataset,Rule,support,confidence
compas,"{'juv_fel=0', 'n_recidive', 'priors_No'} -> {'risk_low'}",0.186,0.98
compas,"{'n_recidive', 'priors_No'} -> {'risk_low'}",0.186,0.98
compas,"{'juv_fel=0', 'priors_No', 'n_recidive', 'juv_misd=0'} -> {'risk_low'}",0.186,0.98
compas,"{'juv_misd=0', 'n_recidive', 'priors_No'} -> {'risk_low'}",0.186,0.98
compas,"{'male', 'juv_misd=0', 'priors_No'} -> {'risk_low'}",0.193,0.973
compas,"{'juv_fel=0', 'male', 'priors_No'} -> {'risk_low'}",0.193,0.973
compas,"{'juv_fel=0', 'male', 'juv_misd=0', 'priors_No'} -> {'risk_low'}",0.193,0.973
compas,"{'male', 'priors_No'} -> {'risk_low'}",0.193,0.973
compas,"{'juv_misd=0', 'priors_No'} -> {'risk_low'}",0.261,0.956
compas,"{'juv_fel=0', 'juv_misd=0', 'priors_No'} -> {'risk_low'}",0.261,0.956
compas,{'priors_No'} -> {'risk_low'},0.261,0.956
compas,"{'juv_fel=0', 'priors_No'} -> {'risk_low'}",0.261,0.956
compas,"{'juv_fel=0', 'juv_misd=0', 'n_recidive', 'c_misdemeanor'} -> {'risk_low'}",0.182,0.938
compas,"{'juv_misd=0', 'n_recidive', 'c_misdemeanor'} -> {'risk_low'}",0.183,0.936
compas,"{'juv_fel=0', 'n_recidive', 'c_misdemeanor'} -> {'risk_low'}",0.183,0.928
compas,"{'n_recidive', 'c_misdemeanor'} -> {'risk_low'}",0.184,0.924
compas,"{'n_recidive', 'juv_fel=0', 'male', 'white', 'juv_misd=0'} -> {'risk_low'}",0.161,0.922
compas,"{'juv_fel=0', 'male', 'white', 'n_recidive'} -> {'risk_low'}",0.163,0.92
compas,"{'white', 'male', 'n_recidive', 'juv_misd=0'} -> {'risk_low'}",0.161,0.92
compas,"{'white', 'male', 'n_recidive'} -> {'risk_low'}",0.163,0.917
compas,"{'juv_fel=0', 'white', 'n_recidive', 'juv_misd=0'} -> {'risk_low'}",0.21,0.915
compas,"{'white', 'n_recidive', 'juv_fel=0'} -> {'risk_low'}",0.212,0.914
compas,"{'white', 'juv_misd=0', 'n_recidive'} -> {'risk_low'}",0.21,0.913
compas,"{'white', 'n_recidive'} -> {'risk_low'}",0.212,0.911
compas,"{'n_recidive', 'priors_Few', 'juv_fel=0', 'male', 'juv_misd=0'} -> {'risk_low'}",0.172,0.881
compas,"{'male', 'n_recidive', 'priors_Few', 'juv_misd=0'} -> {'risk_low'}",0.175,0.877
compas,"{'juv_fel=0', 'male', 'n_recidive', 'priors_Few'} -> {'risk_low'}",0.177,0.876
compas,"{'juv_fel=0', 'juv_misd=0', 'n_recidive'} -> {'risk_low'}",0.421,0.872
compas,"{'juv_fel=0', 'male', 'n_recidive', 'juv_misd=0'} -> {'risk_low'}",0.324,0.872
compas,"{'male', 'n_recidive', 'priors_Few'} -> {'risk_low'}",0.179,0.871
compas,"{'juv_fel=0', 'priors_Few', 'n_recidive', 'juv_misd=0'} -> {'risk_low'}",0.213,0.869
compas,"{'juv_misd=0', 'n_recidive'} -> {'risk_low'}",0.424,0.868
compas,"{'priors_Few', 'juv_misd=0', 'n_recidive'} -> {'risk_low'}",0.215,0.867
compas,"{'juv_fel=0', 'priors_Few', 'n_recidive'} -> {'risk_low'}",0.218,0.867
compas,"{'male', 'juv_misd=0', 'n_recidive'} -> {'risk_low'}",0.327,0.866
compas,"{'juv_fel=0', 'n_recidive'} -> {'risk_low'}",0.429,0.863
compas,"{'priors_Few', 'n_recidive'} -> {'risk_low'}",0.221,0.862
compas,"{'juv_fel=0', 'male', 'n_recidive'} -> {'risk_low'}",0.33,0.859
compas,"{'juv_fel=0', 'priors_Few', 'white', 'juv_misd=0'} -> {'risk_low'}",0.17,0.858
compas,{'n_recidive'} -> {'risk_low'},0.431,0.857
compas,"{'male', 'n_recidive'} -> {'risk_low'}",0.332,0.851
compas,"{'white', 'priors_Few', 'juv_misd=0'} -> {'risk_low'}",0.171,0.849
compas,"{'juv_fel=0', 'juv_misd=0', 'c_misdemeanor'} -> {'risk_low'}",0.281,0.848
compas,"{'juv_fel=0', 'Age (decade)_20.0', 'n_recidive'} -> {'risk_low'}",0.152,0.844
compas,"{'juv_misd=0', 'c_misdemeanor'} -> {'risk_low'}",0.284,0.841
compas,"{'juv_fel=0', 'male', 'juv_misd=0', 'priors_Few'} -> {'risk_low'}",0.3,0.841
compas,"{'n_recidive', 'juv_fel=0', 'male', 'juv_misd=0', 'c_felony'} -> {'risk_low'}",0.194,0.836
compas,"{'juv_fel=0', 'male', 'juv_misd=0', 'c_misdemeanor'} -> {'risk_low'}",0.212,0.835
compas,"{'Age (decade)_20.0', 'n_recidive'} -> {'risk_low'}",0.154,0.835
compas,"{'white', 'priors_Few', 'juv_fel=0'} -> {'risk_low'}",0.173,0.835
compas,"{'juv_fel=0', 'male', 'white', 'juv_misd=0'} -> {'risk_low'}",0.248,0.834
compas,"{'juv_fel=0', 'n_white', 'n_recidive', 'juv_misd=0'} -> {'risk_low'}",0.211,0.833
compas,"{'priors_Few', 'juv_fel=0', 'male', 'juv_misd=0', 'c_felony'} -> {'risk_low'}",0.194,0.831
compas,"{'male', 'juv_misd=0', 'n_recidive', 'c_felony'} -> {'risk_low'}",0.195,0.829
compas,"{'male', 'juv_misd=0', 'priors_Few'} -> {'risk_low'}",0.307,0.828
compas,"{'n_white', 'juv_misd=0', 'n_recidive'} -> {'risk_low'}",0.214,0.828
compas,"{'juv_fel=0', 'juv_misd=0', 'n_recidive', 'c_felony'} -> {'risk_low'}",0.24,0.828
compas,"{'white', 'priors_Few'} -> {'risk_low'}",0.174,0.827
compas,"{'male', 'juv_misd=0', 'c_misdemeanor'} -> {'risk_low'}",0.215,0.827
compas,"{'n_recidive', 'juv_misd=0', 'juv_fel=0', 'male', 'n_white'} -> {'risk_low'}",0.163,0.827
compas,"{'white', 'male', 'juv_misd=0'} -> {'risk_low'}",0.249,0.826
compas,"{'juv_fel=0', 'male', 'n_recidive', 'c_felony'} -> {'risk_low'}",0.198,0.824
compas,"{'juv_misd=0', 'n_recidive', 'c_felony'} -> {'risk_low'}",0.241,0.822
compas,"{'male', 'n_recidive', 'n_white', 'juv_misd=0'} -> {'risk_low'}",0.166,0.82
compas,"{'juv_fel=0', 'c_misdemeanor'} -> {'risk_low'}",0.285,0.82
compas,"{'juv_fel=0', 'n_recidive', 'c_felony'} -> {'risk_low'}",0.246,0.819
compas,"{'juv_fel=0', 'priors_Few', 'juv_misd=0'} -> {'risk_low'}",0.366,0.818
compas,"{'white', 'juv_misd=0', 'juv_fel=0'} -> {'risk_low'}",0.317,0.818
compas,"{'juv_fel=0', 'n_white', 'n_recidive'} -> {'risk_low'}",0.217,0.818
compas,"{'male', 'juv_misd=0', 'priors_Few', 'c_felony'} -> {'risk_low'}",0.2,0.816
compas,"{'male', 'n_recidive', 'c_felony'} -> {'risk_low'}",0.199,0.816
compas,"{'white', 'male', 'juv_fel=0'} -> {'risk_low'}",0.252,0.814
compas,{'c_misdemeanor'} -> {'risk_low'},0.288,0.813
compas,"{'n_recidive', 'c_felony'} -> {'risk_low'}",0.247,0.813
compas,"{'white', 'juv_misd=0'} -> {'risk_low'}",0.318,0.812
compas,"{'n_white', 'n_recidive'} -> {'risk_low'}",0.22,0.81
