antecedents,consequents,orig_support,orig_confidence
"frozenset({'male', 'juv_fel=0', 'white', 'juv_misd=0', 'n_recidive'})",frozenset({'risk_low'}),0.154,0.869
"frozenset({'male', 'n_recidive', 'white', 'juv_misd=0'})",frozenset({'risk_low'}),0.154,0.866
"frozenset({'juv_fel=0', 'n_recidive', 'priors_No'})",frozenset({'risk_low'}),0.156,0.864
"frozenset({'n_recidive', 'priors_No', 'juv_misd=0'})",frozenset({'risk_low'}),0.156,0.864
"frozenset({'juv_fel=0', 'n_recidive', 'priors_No', 'juv_misd=0'})",frozenset({'risk_low'}),0.156,0.864
"frozenset({'n_recidive', 'priors_No'})",frozenset({'risk_low'}),0.156,0.864
"frozenset({'male', 'n_recidive', 'priors_No', 'juv_fel=0'})",frozenset({'risk_low'}),0.112,0.862
"frozenset({'male', 'n_recidive', 'priors_No', 'juv_misd=0'})",frozenset({'risk_low'}),0.112,0.862
"frozenset({'male', 'n_recidive', 'priors_No'})",frozenset({'risk_low'}),0.112,0.862
"frozenset({'male', 'juv_fel=0', 'priors_No', 'juv_misd=0', 'n_recidive'})",frozenset({'risk_low'}),0.112,0.862
"frozenset({'male', 'n_recidive', 'white', 'juv_fel=0'})",frozenset({'risk_low'}),0.155,0.861
"frozenset({'juv_fel=0', 'n_recidive', 'white', 'juv_misd=0'})",frozenset({'risk_low'}),0.198,0.861
"frozenset({'male', 'n_recidive', 'white'})",frozenset({'risk_low'}),0.155,0.859
"frozenset({'n_recidive', 'juv_misd=0', 'white'})",frozenset({'risk_low'}),0.198,0.859
"frozenset({'juv_fel=0', 'priors_No', 'white'})",frozenset({'risk_low'}),0.122,0.856
"frozenset({'priors_No', 'juv_misd=0', 'white'})",frozenset({'risk_low'}),0.122,0.856
"frozenset({'juv_fel=0', 'priors_No', 'white', 'juv_misd=0'})",frozenset({'risk_low'}),0.122,0.856
"frozenset({'priors_No', 'white'})",frozenset({'risk_low'}),0.122,0.856
"frozenset({'juv_fel=0', 'n_recidive', 'white'})",frozenset({'risk_low'}),0.199,0.854
"frozenset({'n_recidive', 'c_felony', 'white', 'juv_misd=0'})",frozenset({'risk_low'}),0.114,0.854
"frozenset({'juv_fel=0', 'white', 'juv_misd=0', 'n_recidive', 'c_felony'})",frozenset({'risk_low'}),0.114,0.854
"frozenset({'n_recidive', 'white'})",frozenset({'risk_low'}),0.199,0.852
"frozenset({'male', 'juv_fel=0', 'c_misdemeanor', 'white', 'juv_misd=0'})",frozenset({'risk_low'}),0.1,0.845
"frozenset({'n_recidive', 'c_felony', 'white'})",frozenset({'risk_low'}),0.115,0.845
"frozenset({'juv_fel=0', 'n_recidive', 'c_felony', 'white'})",frozenset({'risk_low'}),0.115,0.845
"frozenset({'juv_fel=0', 'c_misdemeanor', 'priors_No'})",frozenset({'risk_low'}),0.102,0.836
"frozenset({'c_misdemeanor', 'priors_No'})",frozenset({'risk_low'}),0.102,0.836
"frozenset({'c_misdemeanor', 'priors_No', 'juv_misd=0'})",frozenset({'risk_low'}),0.102,0.836
"frozenset({'juv_fel=0', 'c_misdemeanor', 'priors_No', 'juv_misd=0'})",frozenset({'risk_low'}),0.102,0.836
"frozenset({'male', 'c_misdemeanor', 'white', 'juv_misd=0'})",frozenset({'risk_low'}),0.1,0.833
"frozenset({'juv_fel=0', 'c_misdemeanor', 'white', 'juv_misd=0'})",frozenset({'risk_low'}),0.129,0.829
"frozenset({'male', 'c_misdemeanor', 'white', 'juv_fel=0'})",frozenset({'risk_low'}),0.102,0.828
"frozenset({'c_misdemeanor', 'juv_misd=0', 'white'})",frozenset({'risk_low'}),0.129,0.821
"frozenset({'juv_fel=0', 'c_misdemeanor', 'juv_misd=0', 'n_recidive'})",frozenset({'risk_low'}),0.151,0.821
"frozenset({'male', 'c_misdemeanor', 'white'})",frozenset({'risk_low'}),0.102,0.817
"frozenset({'n_recidive', 'juv_misd=0', 'c_misdemeanor'})",frozenset({'risk_low'}),0.151,0.813
"frozenset({'juv_fel=0', 'c_misdemeanor', 'white'})",frozenset({'risk_low'}),0.131,0.812
"frozenset({'male', 'juv_fel=0', 'c_misdemeanor', 'juv_misd=0', 'n_recidive'})",frozenset({'risk_low'}),0.111,0.81
"frozenset({'juv_fel=0', 'n_recidive', 'c_misdemeanor'})",frozenset({'risk_low'}),0.153,0.806
"frozenset({'c_misdemeanor', 'white'})",frozenset({'risk_low'}),0.131,0.804
