antecedents,consequents,orig_support,orig_confidence,Reject Option Classification_support,Reject Option Classification_confidence,Equalized Odds_support,Equalized Odds_confidence,Calibrated EO_support,Calibrated EO_confidence,Threshold Optimizer_support,Threshold Optimizer_confidence
"frozenset({'white', 'male', 'n_recidive', 'juv_misd=0'})",frozenset({'risk_low'}),0.156,0.892,0.161,0.92,,,0.159,0.91,0.165,0.941
"frozenset({'n_recidive', 'male', 'juv_fel=0', 'white', 'juv_misd=0'})",frozenset({'risk_low'}),0.156,0.891,0.161,0.922,,,0.159,0.913,0.164,0.941
"frozenset({'white', 'male', 'n_recidive'})",frozenset({'risk_low'}),0.158,0.89,0.163,0.917,,,0.161,0.908,0.167,0.942
"frozenset({'juv_fel=0', 'male', 'white', 'n_recidive'})",frozenset({'risk_low'}),0.157,0.89,0.163,0.92,,,0.161,0.911,0.166,0.942
"frozenset({'white', 'juv_misd=0', 'n_recidive'})",frozenset({'risk_low'}),0.198,0.861,0.21,0.913,,,0.208,0.901,0.219,0.951
"frozenset({'juv_fel=0', 'white', 'n_recidive', 'juv_misd=0'})",frozenset({'risk_low'}),0.198,0.861,0.21,0.915,,,0.208,0.903,0.218,0.95
"frozenset({'white', 'n_recidive'})",frozenset({'risk_low'}),0.2,0.86,0.212,0.911,,,0.209,0.9,0.221,0.951
"frozenset({'white', 'n_recidive', 'juv_fel=0'})",frozenset({'risk_low'}),0.199,0.86,0.212,0.914,,,0.209,0.902,0.221,0.951
"frozenset({'juv_fel=0', 'priors_No', 'n_recidive', 'juv_misd=0'})",frozenset({'risk_low'}),0.162,0.854,0.186,0.98,0.157,0.826,,,0.173,0.911
"frozenset({'n_recidive', 'priors_No'})",frozenset({'risk_low'}),0.162,0.854,0.186,0.98,0.157,0.826,,,0.173,0.911
"frozenset({'juv_misd=0', 'n_recidive', 'priors_No'})",frozenset({'risk_low'}),0.162,0.854,0.186,0.98,0.157,0.826,,,0.173,0.911
"frozenset({'juv_fel=0', 'n_recidive', 'priors_No'})",frozenset({'risk_low'}),0.162,0.854,0.186,0.98,0.157,0.826,,,0.173,0.911
"frozenset({'juv_fel=0', 'male', 'priors_No'})",frozenset({'risk_low'}),0.16,0.804,0.193,0.973,,,,,0.18,0.907
"frozenset({'male', 'priors_No'})",frozenset({'risk_low'}),0.16,0.804,0.193,0.973,,,,,0.18,0.907
"frozenset({'juv_fel=0', 'male', 'juv_misd=0', 'priors_No'})",frozenset({'risk_low'}),0.16,0.804,0.193,0.973,,,,,0.18,0.907
"frozenset({'male', 'juv_misd=0', 'priors_No'})",frozenset({'risk_low'}),0.16,0.804,0.193,0.973,,,,,0.18,0.907
