antecedents,consequents,orig_support,orig_confidence,Decision Tree_support,Decision Tree_confidence,Logistic Regression_support,Logistic Regression_confidence,Random Forest_support,Random Forest_confidence,KNN_support,KNN_confidence,support,confidence
"frozenset({'white', 'n_recidive', 'priors_Few'})",frozenset({'risk_low'}),0.1,0.881,,,,,,,,,,
"frozenset({'n_recidive', 'juv_misd=0', 'white', 'male', 'juv_fel=0'})",frozenset({'risk_low'}),0.152,0.878,0.152,0.878,0.152,0.878,0.152,0.878,0.152,0.878,,
"frozenset({'white', 'n_recidive', 'male', 'juv_fel=0'})",frozenset({'risk_low'}),0.152,0.875,0.152,0.875,0.152,0.875,0.152,0.875,0.152,0.875,,
"frozenset({'white', 'n_recidive', 'male', 'juv_misd=0'})",frozenset({'risk_low'}),0.152,0.875,0.152,0.875,0.152,0.875,0.152,0.875,0.152,0.875,,
"frozenset({'white', 'n_recidive', 'male'})",frozenset({'risk_low'}),0.153,0.873,0.153,0.873,0.153,0.873,0.153,0.873,0.153,0.873,,
"frozenset({'c_misdemeanor', 'priors_No'})",frozenset({'risk_low'}),0.108,0.87,0.108,0.87,0.108,0.87,0.108,0.87,0.108,0.87,,
"frozenset({'priors_No', 'c_misdemeanor', 'juv_fel=0'})",frozenset({'risk_low'}),0.108,0.87,0.108,0.87,0.108,0.87,0.108,0.87,0.108,0.87,,
"frozenset({'juv_fel=0', 'priors_No', 'c_misdemeanor', 'juv_misd=0'})",frozenset({'risk_low'}),0.108,0.869,0.108,0.869,0.108,0.869,0.108,0.869,0.108,0.869,,
"frozenset({'priors_No', 'c_misdemeanor', 'juv_misd=0'})",frozenset({'risk_low'}),0.108,0.869,0.108,0.869,0.108,0.869,0.108,0.869,0.108,0.869,,
"frozenset({'white', 'n_recidive', 'juv_fel=0', 'juv_misd=0'})",frozenset({'risk_low'}),0.202,0.861,0.202,0.861,0.202,0.861,0.202,0.861,0.202,0.861,,
"frozenset({'white', 'n_recidive', 'juv_fel=0'})",frozenset({'risk_low'}),0.202,0.859,0.202,0.859,0.202,0.859,0.202,0.859,0.202,0.859,,
"frozenset({'white', 'n_recidive', 'juv_misd=0'})",frozenset({'risk_low'}),0.202,0.859,0.202,0.859,0.202,0.859,0.202,0.859,0.202,0.859,,
"frozenset({'white', 'priors_No'})",frozenset({'risk_low'}),0.121,0.858,0.121,0.858,0.121,0.858,0.121,0.858,0.121,0.858,,
"frozenset({'white', 'priors_No', 'juv_fel=0'})",frozenset({'risk_low'}),0.121,0.858,0.121,0.858,0.121,0.858,0.121,0.858,0.121,0.858,,
"frozenset({'white', 'n_recidive'})",frozenset({'risk_low'}),0.203,0.858,0.203,0.858,0.203,0.858,0.203,0.858,0.203,0.858,,
"frozenset({'white', 'priors_No', 'juv_misd=0'})",frozenset({'risk_low'}),0.121,0.858,0.121,0.858,0.121,0.858,0.121,0.858,0.121,0.858,,
"frozenset({'white', 'juv_fel=0', 'priors_No', 'juv_misd=0'})",frozenset({'risk_low'}),0.121,0.858,0.121,0.858,0.121,0.858,0.121,0.858,0.121,0.858,,
"frozenset({'n_recidive', 'priors_No', 'juv_misd=0'})",frozenset({'risk_low'}),0.164,0.851,0.164,0.851,0.164,0.851,0.164,0.851,0.164,0.851,,
"frozenset({'n_recidive', 'priors_No', 'juv_fel=0'})",frozenset({'risk_low'}),0.164,0.851,0.164,0.851,0.164,0.851,0.164,0.851,0.164,0.851,,
"frozenset({'n_recidive', 'juv_fel=0', 'priors_No', 'juv_misd=0'})",frozenset({'risk_low'}),0.164,0.851,0.164,0.851,0.164,0.851,0.164,0.851,0.164,0.851,,
"frozenset({'n_recidive', 'priors_No'})",frozenset({'risk_low'}),0.164,0.851,0.164,0.851,0.164,0.851,0.164,0.851,0.164,0.851,,
"frozenset({'n_recidive', 'priors_No', 'male', 'juv_misd=0'})",frozenset({'risk_low'}),0.113,0.846,0.113,0.846,0.113,0.846,0.113,0.846,0.113,0.846,,
"frozenset({'n_recidive', 'male', 'priors_No'})",frozenset({'risk_low'}),0.113,0.846,0.113,0.846,0.113,0.846,0.113,0.846,0.113,0.846,,
"frozenset({'n_recidive', 'priors_No', 'male', 'juv_fel=0'})",frozenset({'risk_low'}),0.113,0.846,0.113,0.846,0.113,0.846,0.113,0.846,0.113,0.846,,
"frozenset({'n_recidive', 'juv_misd=0', 'male', 'juv_fel=0', 'priors_No'})",frozenset({'risk_low'}),0.113,0.846,0.113,0.846,0.113,0.846,0.113,0.846,0.113,0.846,,
"frozenset({'white', 'juv_fel=0', 'c_misdemeanor', 'juv_misd=0'})",frozenset({'risk_low'}),0.128,0.84,0.128,0.84,0.128,0.84,0.128,0.84,0.128,0.84,,
"frozenset({'white', 'c_misdemeanor', 'juv_misd=0'})",frozenset({'risk_low'}),0.128,0.84,0.128,0.84,0.128,0.84,0.128,0.84,0.128,0.84,,
"frozenset({'n_recidive', 'juv_misd=0', 'white', 'juv_fel=0', 'c_felony'})",frozenset({'risk_low'}),0.108,0.837,0.108,0.837,0.108,0.837,0.108,0.837,0.108,0.837,,
"frozenset({'white', 'c_misdemeanor'})",frozenset({'risk_low'}),0.133,0.836,0.133,0.836,0.133,0.836,0.133,0.836,0.133,0.836,,
"frozenset({'recidive', 'n_white', 'priors_Many'})",frozenset({'risk_high'}),0.113,0.836,,,,,,,,,,
"frozenset({'white', 'c_misdemeanor', 'juv_fel=0'})",frozenset({'risk_low'}),0.132,0.836,0.132,0.836,0.132,0.836,0.132,0.836,0.132,0.836,,
"frozenset({'white', 'n_recidive', 'c_felony', 'juv_fel=0'})",frozenset({'risk_low'}),0.108,0.833,0.108,0.833,0.108,0.833,0.108,0.833,0.108,0.833,,
"frozenset({'white', 'n_recidive', 'c_felony', 'juv_misd=0'})",frozenset({'risk_low'}),0.108,0.833,0.108,0.833,0.108,0.833,0.108,0.833,0.108,0.833,,
"frozenset({'white', 'n_recidive', 'c_felony'})",frozenset({'risk_low'}),0.108,0.83,0.108,0.83,0.108,0.83,0.108,0.83,0.108,0.83,,
"frozenset({'recidive', 'male', 'n_white', 'priors_Many'})",frozenset({'risk_high'}),0.101,0.827,,,,,,,,,,
"frozenset({'n_recidive', 'juv_fel=0', 'juv_misd=0', 'male', 'c_misdemeanor'})",frozenset({'risk_low'}),0.116,0.826,0.116,0.826,0.116,0.826,0.116,0.826,0.116,0.826,,
"frozenset({'n_recidive', 'male', 'c_misdemeanor', 'juv_misd=0'})",frozenset({'risk_low'}),0.116,0.826,0.116,0.826,0.116,0.826,0.116,0.826,0.116,0.826,,
"frozenset({'white', 'priors_Few', 'male', 'juv_misd=0'})",frozenset({'risk_low'}),0.13,0.824,,,,,,,,,,
"frozenset({'n_recidive', 'c_misdemeanor', 'juv_misd=0'})",frozenset({'risk_low'}),0.159,0.824,0.159,0.824,0.159,0.824,0.159,0.824,0.159,0.824,,
"frozenset({'n_recidive', 'juv_fel=0', 'c_misdemeanor', 'juv_misd=0'})",frozenset({'risk_low'}),0.159,0.824,0.159,0.824,0.159,0.824,0.159,0.824,0.159,0.824,,
"frozenset({'juv_misd=0', 'white', 'priors_Few', 'male', 'juv_fel=0'})",frozenset({'risk_low'}),0.129,0.824,,,,,,,,,,
"frozenset({'white', 'priors_Few', 'male'})",frozenset({'risk_low'}),0.133,0.815,,,,,,,,,,
"frozenset({'white', 'priors_Few', 'male', 'juv_fel=0'})",frozenset({'risk_low'}),0.132,0.813,,,,,,,,,,
"frozenset({'n_recidive', 'male', 'c_misdemeanor', 'juv_fel=0'})",frozenset({'risk_low'}),0.117,0.811,0.117,0.811,0.117,0.811,0.117,0.811,0.117,0.811,,
"frozenset({'n_recidive', 'c_misdemeanor', 'juv_fel=0'})",frozenset({'risk_low'}),0.16,0.808,0.16,0.808,0.16,0.808,0.16,0.808,0.16,0.808,,
"frozenset({'white', 'priors_Few', 'juv_misd=0'})",frozenset({'risk_low'}),0.16,0.808,,,,,,,,,,
"frozenset({'white', 'priors_Few', 'juv_fel=0', 'juv_misd=0'})",frozenset({'risk_low'}),0.159,0.808,,,,,,,,,,
"frozenset({'recidive', 'c_felony', 'priors_Many'})",frozenset({'risk_high'}),0.102,0.807,,,,,,,,,,
"frozenset({'n_recidive', 'male', 'c_misdemeanor'})",frozenset({'risk_low'}),0.117,0.803,0.117,0.803,0.117,0.803,0.117,0.803,0.117,0.803,,
"frozenset({'n_recidive', 'c_misdemeanor'})",frozenset({'risk_low'}),0.16,0.802,0.16,0.802,0.16,0.802,0.16,0.802,0.16,0.802,,
frozenset({'priors_No'}),frozenset({'risk_low'}),0.222,0.802,0.222,0.802,0.222,0.802,0.222,0.802,0.222,0.802,,
"frozenset({'priors_No', 'juv_fel=0'})",frozenset({'risk_low'}),0.222,0.802,0.222,0.802,0.222,0.802,0.222,0.802,0.222,0.802,,
"frozenset({'priors_No', 'juv_misd=0', 'juv_fel=0'})",frozenset({'risk_low'}),0.221,0.802,0.221,0.802,0.221,0.802,0.221,0.802,0.221,0.802,,
"frozenset({'priors_No', 'juv_misd=0'})",frozenset({'risk_low'}),0.221,0.802,0.221,0.802,0.221,0.802,0.221,0.802,0.221,0.802,,
"frozenset({'Age (decade)_0.0', 'n_recidive', 'juv_misd=0', 'white', 'male', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.152,0.878,0.152,0.878
"frozenset({'Age (decade)_0.0', 'n_recidive', 'white', 'male', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.152,0.875,0.152,0.875
"frozenset({'Age (decade)_0.0', 'n_recidive', 'juv_misd=0', 'white', 'male'})",frozenset({'risk_low'}),,,,,,,,,0.152,0.875,0.152,0.875
"frozenset({'white', 'n_recidive', 'male', 'Age (decade)_0.0'})",frozenset({'risk_low'}),,,,,,,,,0.153,0.873,0.153,0.873
"frozenset({'priors_No', 'c_misdemeanor', 'Age (decade)_0.0'})",frozenset({'risk_low'}),,,,,,,,,0.108,0.87,0.108,0.87
"frozenset({'juv_fel=0', 'priors_No', 'c_misdemeanor', 'Age (decade)_0.0'})",frozenset({'risk_low'}),,,,,,,,,0.108,0.87,0.108,0.87
"frozenset({'Age (decade)_0.0', 'juv_misd=0', 'c_misdemeanor', 'juv_fel=0', 'priors_No'})",frozenset({'risk_low'}),,,,,,,,,0.108,0.869,0.108,0.869
"frozenset({'priors_No', 'juv_misd=0', 'c_misdemeanor', 'Age (decade)_0.0'})",frozenset({'risk_low'}),,,,,,,,,0.108,0.869,0.108,0.869
