Dataset,Rule,support,confidence
compas,"{'juv_misd=0', 'juv_fel=0', 'male', 'n_white', 'Age (decade)_20.0'} -> {'risk_high'}",0.195,1.0
compas,"{'juv_fel=0', 'n_white', 'Age (decade)_20.0', 'recidive'} -> {'risk_high'}",0.162,1.0
compas,"{'n_white', 'Age (decade)_20.0', 'recidive'} -> {'risk_high'}",0.175,1.0
compas,"{'Age (decade)_20.0', 'n_white', 'priors_Few'} -> {'risk_high'}",0.154,1.0
compas,"{'juv_fel=0', 'male', 'n_white', 'Age (decade)_20.0'} -> {'risk_high'}",0.225,1.0
compas,"{'Age (decade)_20.0', 'juv_misd=0', 'n_white', 'male'} -> {'risk_high'}",0.207,1.0
compas,{'n_white'} -> {'risk_high'},0.596,1.0
compas,"{'n_white', 'juv_misd=0'} -> {'risk_high'}",0.543,1.0
compas,"{'juv_fel=0', 'n_white', 'juv_misd=0'} -> {'risk_high'}",0.517,1.0
compas,"{'juv_fel=0', 'n_white'} -> {'risk_high'}",0.563,1.0
compas,"{'male', 'n_white'} -> {'risk_high'}",0.489,1.0
compas,"{'juv_fel=0', 'male', 'n_white'} -> {'risk_high'}",0.457,1.0
compas,"{'male', 'juv_misd=0', 'n_white'} -> {'risk_high'}",0.441,1.0
compas,"{'juv_fel=0', 'male', 'n_white', 'juv_misd=0'} -> {'risk_high'}",0.416,1.0
compas,"{'n_white', 'c_felony'} -> {'risk_high'}",0.407,1.0
compas,"{'n_white', 'juv_misd=0', 'c_felony'} -> {'risk_high'}",0.366,1.0
compas,"{'juv_fel=0', 'n_white', 'c_felony'} -> {'risk_high'}",0.38,1.0
compas,"{'Age (decade)_20.0', 'juv_misd=0', 'n_white', 'c_felony'} -> {'risk_high'}",0.176,1.0
compas,"{'juv_fel=0', 'n_white', 'juv_misd=0', 'Age (decade)_20.0', 'c_felony'} -> {'risk_high'}",0.165,1.0
compas,"{'Age (decade)_20.0', 'n_white', 'c_felony', 'male'} -> {'risk_high'}",0.17,1.0
compas,"{'n_white', 'n_recidive'} -> {'risk_high'}",0.271,1.0
compas,"{'juv_fel=0', 'n_white', 'n_recidive'} -> {'risk_high'}",0.265,1.0
compas,"{'n_white', 'juv_misd=0', 'n_recidive'} -> {'risk_high'}",0.258,1.0
compas,"{'male', 'n_recidive', 'n_white', 'juv_misd=0'} -> {'risk_high'}",0.202,1.0
compas,"{'juv_fel=0', 'male', 'n_recidive', 'n_white'} -> {'risk_high'}",0.207,1.0
compas,"{'n_white', 'n_recidive', 'male'} -> {'risk_high'}",0.213,1.0
compas,"{'juv_fel=0', 'n_white', 'n_recidive', 'juv_misd=0'} -> {'risk_high'}",0.253,1.0
compas,"{'juv_fel=0', 'n_white', 'Age (decade)_20.0', 'c_felony'} -> {'risk_high'}",0.189,1.0
compas,"{'Age (decade)_20.0', 'juv_misd=0', 'n_white'} -> {'risk_high'}",0.257,1.0
compas,"{'n_white', 'c_misdemeanor'} -> {'risk_high'}",0.189,1.0
compas,"{'juv_fel=0', 'n_white', 'c_misdemeanor'} -> {'risk_high'}",0.183,1.0
compas,"{'n_white', 'juv_misd=0', 'c_misdemeanor'} -> {'risk_high'}",0.177,1.0
compas,"{'male', 'n_white', 'priors_Few', 'c_felony'} -> {'risk_high'}",0.155,1.0
compas,"{'juv_fel=0', 'male', 'n_white', 'c_felony'} -> {'risk_high'}",0.309,1.0
compas,"{'male', 'juv_misd=0', 'n_white', 'c_felony'} -> {'risk_high'}",0.298,1.0
compas,"{'priors_Few', 'juv_fel=0', 'n_white', 'juv_misd=0', 'c_felony'} -> {'risk_high'}",0.171,1.0
compas,"{'male', 'n_white', 'c_felony'} -> {'risk_high'}",0.334,1.0
compas,"{'juv_fel=0', 'n_white', 'juv_misd=0', 'c_felony'} -> {'risk_high'}",0.346,1.0
compas,"{'n_white', 'recidive', 'c_felony'} -> {'risk_high'}",0.23,1.0
compas,"{'juv_fel=0', 'n_white', 'juv_misd=0', 'Age (decade)_20.0'} -> {'risk_high'}",0.244,1.0
compas,"{'male', 'n_white', 'Age (decade)_20.0'} -> {'risk_high'}",0.241,1.0
compas,"{'juv_fel=0', 'n_white', 'juv_misd=0', 'recidive'} -> {'risk_high'}",0.264,1.0
compas,"{'male', 'n_white', 'recidive'} -> {'risk_high'}",0.276,1.0
compas,"{'juv_fel=0', 'male', 'n_white', 'recidive'} -> {'risk_high'}",0.25,1.0
compas,"{'male', 'n_white', 'recidive', 'juv_misd=0'} -> {'risk_high'}",0.238,1.0
compas,"{'juv_misd=0', 'juv_fel=0', 'male', 'n_white', 'recidive'} -> {'risk_high'}",0.219,1.0
compas,"{'juv_fel=0', 'n_white', 'priors_Few'} -> {'risk_high'}",0.27,1.0
compas,"{'n_white', 'juv_misd=0', 'priors_Few'} -> {'risk_high'}",0.262,1.0
compas,"{'juv_fel=0', 'n_white', 'juv_misd=0', 'priors_Few'} -> {'risk_high'}",0.249,1.0
compas,"{'n_white', 'priors_Few'} -> {'risk_high'}",0.285,1.0
compas,"{'n_white', 'juv_misd=0', 'recidive'} -> {'risk_high'}",0.285,1.0
compas,"{'juv_fel=0', 'n_white', 'recidive'} -> {'risk_high'}",0.298,1.0
compas,"{'n_white', 'recidive'} -> {'risk_high'}",0.325,1.0
compas,"{'male', 'n_white', 'priors_Few'} -> {'risk_high'}",0.229,1.0
compas,"{'juv_fel=0', 'Age (decade)_20.0', 'n_white'} -> {'risk_high'}",0.276,1.0
compas,"{'Age (decade)_20.0', 'n_white'} -> {'risk_high'}",0.293,1.0
compas,"{'juv_misd=0', 'male', 'n_white', 'recidive', 'c_felony'} -> {'risk_high'}",0.165,1.0
compas,"{'juv_fel=0', 'male', 'n_white', 'recidive', 'c_felony'} -> {'risk_high'}",0.172,1.0
compas,"{'male', 'n_white', 'recidive', 'c_felony'} -> {'risk_high'}",0.194,1.0
compas,"{'juv_fel=0', 'n_white', 'juv_misd=0', 'recidive', 'c_felony'} -> {'risk_high'}",0.182,1.0
