Dataset,Rule,support,confidence
compas,"{'recidive', 'c_felony', 'priors_Many'} -> {'risk_high'}",0.107,0.857
compas,"{'priors_Many', 'c_felony', 'male', 'recidive'} -> {'risk_high'}",0.101,0.853
compas,"{'c_felony', 'n_white', 'priors_Many'} -> {'risk_high'}",0.108,0.851
compas,"{'c_felony', 'n_white', 'male', 'priors_Many'} -> {'risk_high'}",0.102,0.851
compas,"{'recidive', 'priors_Many'} -> {'risk_high'}",0.136,0.839
compas,"{'c_felony', 'male', 'priors_Many'} -> {'risk_high'}",0.129,0.838
compas,"{'c_felony', 'priors_Many'} -> {'risk_high'}",0.14,0.838
compas,"{'recidive', 'juv_fel=0', 'priors_Many'} -> {'risk_high'}",0.119,0.836
compas,"{'recidive', 'male', 'priors_Many'} -> {'risk_high'}",0.125,0.834
compas,"{'juv_misd=0', 'recidive', 'priors_Many'} -> {'risk_high'}",0.112,0.831
compas,"{'priors_Many', 'juv_fel=0', 'male', 'recidive'} -> {'risk_high'}",0.109,0.831
compas,"{'recidive', 'n_white', 'priors_Many'} -> {'risk_high'}",0.105,0.828
compas,"{'juv_fel=0', 'c_felony', 'male', 'priors_Many'} -> {'risk_high'}",0.112,0.828
compas,"{'juv_fel=0', 'c_felony', 'priors_Many'} -> {'risk_high'}",0.122,0.827
compas,"{'juv_misd=0', 'c_felony', 'male', 'priors_Many'} -> {'risk_high'}",0.108,0.826
compas,"{'juv_misd=0', 'c_felony', 'priors_Many'} -> {'risk_high'}",0.119,0.826
compas,"{'juv_misd=0', 'priors_Many', 'male', 'recidive'} -> {'risk_high'}",0.102,0.825
compas,"{'n_white', 'male', 'priors_Many'} -> {'risk_high'}",0.125,0.822
compas,"{'n_white', 'priors_Many'} -> {'risk_high'}",0.134,0.821
compas,{'priors_Many'} -> {'risk_high'},0.177,0.815
compas,"{'juv_fel=0', 'n_white', 'male', 'priors_Many'} -> {'risk_high'}",0.107,0.815
compas,"{'male', 'priors_Many'} -> {'risk_high'}",0.16,0.813
compas,"{'juv_fel=0', 'n_white', 'priors_Many'} -> {'risk_high'}",0.115,0.813
compas,"{'juv_misd=0', 'juv_fel=0', 'c_felony', 'priors_Many'} -> {'risk_high'}",0.106,0.812
compas,"{'juv_misd=0', 'n_white', 'male', 'priors_Many'} -> {'risk_high'}",0.101,0.81
compas,"{'juv_misd=0', 'n_white', 'priors_Many'} -> {'risk_high'}",0.109,0.807
compas,"{'juv_fel=0', 'priors_Many'} -> {'risk_high'}",0.156,0.806
compas,"{'juv_fel=0', 'male', 'priors_Many'} -> {'risk_high'}",0.14,0.804
compas,"{'juv_misd=0', 'priors_Many'} -> {'risk_high'}",0.149,0.802
compas,"{'juv_misd=0', 'male', 'priors_Many'} -> {'risk_high'}",0.135,0.801
compas,"{'Age (decade)_20.0', 'c_felony', 'male', 'recidive'} -> {'risk_high'}",0.132,0.792
compas,"{'juv_misd=0', 'juv_fel=0', 'priors_Many'} -> {'risk_high'}",0.133,0.791
compas,"{'juv_misd=0', 'juv_fel=0', 'male', 'priors_Many'} -> {'risk_high'}",0.12,0.79
compas,"{'male', 'Age (decade)_20.0', 'c_felony', 'n_white', 'recidive'} -> {'risk_high'}",0.104,0.789
compas,"{'Age (decade)_20.0', 'c_felony', 'recidive'} -> {'risk_high'}",0.147,0.788
compas,"{'juv_fel=0', 'male', 'Age (decade)_20.0', 'c_felony', 'recidive'} -> {'risk_high'}",0.118,0.779
compas,"{'juv_misd=0', 'male', 'Age (decade)_20.0', 'c_felony', 'recidive'} -> {'risk_high'}",0.11,0.778
compas,"{'Age (decade)_20.0', 'c_felony', 'n_white', 'recidive'} -> {'risk_high'}",0.112,0.777
compas,"{'Age (decade)_20.0', 'juv_fel=0', 'c_felony', 'recidive'} -> {'risk_high'}",0.132,0.775
compas,"{'juv_misd=0', 'Age (decade)_20.0', 'c_felony', 'recidive'} -> {'risk_high'}",0.124,0.774
compas,"{'n_recidive', 'priors_No', 'male'} -> {'risk_low'}",0.102,0.764
compas,"{'n_recidive', 'juv_fel=0', 'priors_No', 'male'} -> {'risk_low'}",0.102,0.764
compas,"{'n_recidive', 'juv_misd=0', 'priors_No', 'male'} -> {'risk_low'}",0.102,0.764
compas,"{'n_recidive', 'juv_fel=0', 'male', 'juv_misd=0', 'priors_No'} -> {'risk_low'}",0.102,0.764
compas,"{'juv_misd=0', 'juv_fel=0', 'Age (decade)_20.0', 'c_felony', 'recidive'} -> {'risk_high'}",0.114,0.758
compas,"{'n_recidive', 'priors_No'} -> {'risk_low'}",0.141,0.757
compas,"{'n_recidive', 'juv_fel=0', 'priors_No'} -> {'risk_low'}",0.141,0.757
compas,"{'n_recidive', 'juv_misd=0', 'juv_fel=0', 'priors_No'} -> {'risk_low'}",0.141,0.757
compas,"{'n_recidive', 'juv_misd=0', 'priors_No'} -> {'risk_low'}",0.141,0.757
compas,"{'c_felony', 'n_white', 'male', 'recidive'} -> {'risk_high'}",0.169,0.752
compas,"{'c_felony', 'n_white', 'recidive'} -> {'risk_high'}",0.185,0.749
compas,"{'Age (decade)_20.0', 'priors_Few', 'recidive'} -> {'risk_high'}",0.109,0.747
compas,"{'Age (decade)_20.0', 'priors_Few', 'c_felony'} -> {'risk_high'}",0.128,0.745
compas,"{'Age (decade)_20.0', 'recidive'} -> {'risk_high'}",0.19,0.743
compas,"{'c_felony', 'recidive'} -> {'risk_high'}",0.263,0.743
compas,"{'c_felony', 'male', 'recidive'} -> {'risk_high'}",0.232,0.742
compas,"{'Age (decade)_20.0', 'male', 'recidive'} -> {'risk_high'}",0.165,0.74
compas,"{'juv_misd=0', 'Age (decade)_20.0', 'priors_Few', 'c_felony'} -> {'risk_high'}",0.113,0.736
compas,"{'juv_fel=0', 'male', 'c_felony', 'n_white', 'recidive'} -> {'risk_high'}",0.147,0.735
compas,"{'Age (decade)_20.0', 'n_white', 'recidive'} -> {'risk_high'}",0.14,0.735
compas,"{'Age (decade)_20.0', 'priors_Few', 'c_felony', 'male'} -> {'risk_high'}",0.106,0.734
compas,"{'Age (decade)_20.0', 'n_white', 'male', 'recidive'} -> {'risk_high'}",0.125,0.733
compas,"{'male', 'juv_misd=0', 'c_felony', 'n_white', 'recidive'} -> {'risk_high'}",0.141,0.733
compas,"{'Age (decade)_20.0', 'juv_fel=0', 'c_felony', 'priors_Few'} -> {'risk_high'}",0.117,0.732
compas,"{'juv_fel=0', 'c_felony', 'n_white', 'recidive'} -> {'risk_high'}",0.162,0.732
compas,"{'juv_misd=0', 'c_felony', 'n_white', 'recidive'} -> {'risk_high'}",0.156,0.731
