Dataset,Rule,support,confidence
compas,"{'Age (decade)_30.0', 'priors_Few', 'juv_fel=0'} -> {'risk_low'}",0.13,1.0
compas,"{'n_recidive', 'juv_fel=0', 'male', 'white', 'c_felony'} -> {'risk_low'}",0.102,1.0
compas,"{'n_recidive', 'male', 'white', 'juv_misd=0', 'c_felony'} -> {'risk_low'}",0.102,1.0
compas,"{'n_recidive', 'juv_fel=0', 'white'} -> {'risk_low'}",0.229,1.0
compas,"{'n_recidive', 'juv_fel=0', 'white', 'juv_misd=0', 'c_felony'} -> {'risk_low'}",0.13,1.0
compas,"{'n_recidive', 'c_felony', 'white'} -> {'risk_low'}",0.132,1.0
compas,"{'n_recidive', 'juv_fel=0', 'male', 'white', 'juv_misd=0'} -> {'risk_low'}",0.169,1.0
compas,"{'n_recidive', 'juv_fel=0', 'male', 'white', 'juv_misd=0', 'c_felony'} -> {'risk_low'}",0.101,1.0
compas,"{'n_recidive', 'juv_fel=0', 'Age (decade)_30.0', 'male', 'juv_misd=0'} -> {'risk_low'}",0.102,1.0
compas,"{'n_recidive', 'c_felony', 'male', 'white'} -> {'risk_low'}",0.103,1.0
compas,"{'n_recidive', 'juv_misd=0', 'c_felony', 'white'} -> {'risk_low'}",0.131,1.0
compas,"{'juv_fel=0', 'male', 'juv_misd=0', 'c_felony', 'priors_No'} -> {'risk_low'}",0.123,1.0
compas,"{'n_recidive', 'juv_fel=0', 'male', 'white'} -> {'risk_low'}",0.17,1.0
compas,"{'juv_misd=0', 'juv_fel=0', 'male', 'Age (decade)_40.0'} -> {'risk_low'}",0.113,1.0
compas,"{'n_recidive', 'juv_misd=0', 'juv_fel=0', 'white'} -> {'risk_low'}",0.227,1.0
compas,"{'juv_fel=0', 'c_misdemeanor', 'male', 'white', 'juv_misd=0'} -> {'risk_low'}",0.107,1.0
compas,"{'juv_fel=0', 'c_misdemeanor', 'male', 'white'} -> {'risk_low'}",0.109,1.0
compas,"{'juv_misd=0', 'juv_fel=0', 'c_misdemeanor', 'priors_Few'} -> {'risk_low'}",0.148,1.0
compas,"{'juv_fel=0', 'c_felony', 'priors_No', 'male'} -> {'risk_low'}",0.123,1.0
compas,"{'juv_fel=0', 'c_misdemeanor', 'male', 'juv_misd=0', 'priors_Few'} -> {'risk_low'}",0.115,1.0
compas,"{'juv_misd=0', 'juv_fel=0', 'priors_No', 'white'} -> {'risk_low'}",0.13,1.0
compas,"{'juv_misd=0', 'priors_No', 'white'} -> {'risk_low'}",0.13,1.0
compas,"{'juv_fel=0', 'priors_No', 'white'} -> {'risk_low'}",0.131,1.0
compas,"{'n_recidive', 'juv_fel=0', 'white', 'juv_misd=0', 'priors_Few'} -> {'risk_low'}",0.116,1.0
compas,"{'juv_misd=0', 'juv_fel=0', 'priors_Few', 'white'} -> {'risk_low'}",0.204,1.0
compas,"{'priors_No', 'white'} -> {'risk_low'}",0.131,1.0
compas,"{'juv_fel=0', 'male', 'Age (decade)_40.0'} -> {'risk_low'}",0.113,1.0
compas,"{'n_recidive', 'juv_fel=0', 'priors_Few', 'white'} -> {'risk_low'}",0.117,1.0
compas,"{'juv_fel=0', 'male', 'white', 'juv_misd=0', 'priors_Few', 'c_felony'} -> {'risk_low'}",0.103,1.0
compas,"{'c_felony', 'priors_No', 'male'} -> {'risk_low'}",0.123,1.0
compas,"{'priors_Few', 'c_felony', 'white'} -> {'risk_low'}",0.137,1.0
