Dataset,Rule,support,confidence
compas,"{'n_white', 'priors_Few', 'juv_misd=0', 'c_felony'} -> {'risk_low'}",0.181,1.0
compas,"{'c_felony', 'juv_fel=0', 'n_white', 'priors_Few', 'juv_misd=0'} -> {'risk_low'}",0.171,1.0
compas,"{'n_white', 'priors_Few', 'juv_misd=0', 'male'} -> {'risk_low'}",0.208,1.0
compas,"{'n_white', 'priors_Few', 'juv_misd=0', 'juv_fel=0'} -> {'risk_low'}",0.249,1.0
compas,"{'juv_misd=0', 'priors_Few', 'n_white'} -> {'risk_low'}",0.262,1.0
compas,"{'priors_Few', 'n_white', 'juv_fel=0'} -> {'risk_low'}",0.27,1.0
compas,"{'juv_fel=0', 'priors_Few', 'n_white', 'c_felony'} -> {'risk_low'}",0.185,1.0
compas,"{'juv_fel=0', 'n_white', 'priors_Few', 'juv_misd=0', 'male'} -> {'risk_low'}",0.197,1.0
compas,"{'priors_Few', 'n_white', 'juv_fel=0', 'male'} -> {'risk_low'}",0.215,1.0
compas,"{'priors_Few', 'n_white'} -> {'risk_low'}",0.284,0.998
compas,"{'priors_Few', 'n_white', 'male'} -> {'risk_low'}",0.228,0.998
compas,"{'priors_Few', 'n_white', 'c_felony'} -> {'risk_low'}",0.197,0.997
compas,"{'priors_Few', 'recidive', 'juv_fel=0', 'male'} -> {'risk_low'}",0.182,0.997
compas,"{'recidive', 'priors_Few', 'juv_misd=0', 'male'} -> {'risk_low'}",0.172,0.997
compas,"{'male', 'priors_Few', 'juv_fel=0', 'Age (decade)_20.0'} -> {'risk_low'}",0.169,0.997
compas,"{'c_misdemeanor', 'priors_Few'} -> {'risk_low'}",0.164,0.997
compas,"{'recidive', 'juv_fel=0', 'priors_Few', 'juv_misd=0', 'male'} -> {'risk_low'}",0.161,0.997
compas,"{'c_misdemeanor', 'priors_Few', 'juv_fel=0'} -> {'risk_low'}",0.16,0.997
compas,"{'male', 'priors_Few', 'juv_misd=0', 'Age (decade)_20.0'} -> {'risk_low'}",0.157,0.997
compas,"{'priors_Few', 'n_white', 'c_felony', 'male'} -> {'risk_low'}",0.154,0.997
compas,"{'priors_Few', 'n_white', 'Age (decade)_20.0'} -> {'risk_low'}",0.154,0.996
compas,"{'c_misdemeanor', 'priors_Few', 'juv_misd=0'} -> {'risk_low'}",0.154,0.996
compas,"{'c_misdemeanor', 'priors_Few', 'juv_misd=0', 'juv_fel=0'} -> {'risk_low'}",0.151,0.996
compas,"{'priors_Few', 'juv_fel=0', 'Age (decade)_20.0'} -> {'risk_low'}",0.205,0.995
compas,"{'priors_Few', 'recidive', 'male'} -> {'risk_low'}",0.195,0.994
compas,"{'priors_Few', 'juv_misd=0', 'Age (decade)_20.0'} -> {'risk_low'}",0.193,0.994
compas,"{'male', 'priors_Few', 'Age (decade)_20.0'} -> {'risk_low'}",0.182,0.994
compas,"{'priors_Few', 'juv_misd=0', 'juv_fel=0', 'Age (decade)_20.0'} -> {'risk_low'}",0.181,0.994
compas,"{'priors_Few', 'juv_fel=0', 'male'} -> {'risk_low'}",0.382,0.993
compas,"{'priors_Few', 'recidive', 'juv_fel=0'} -> {'risk_low'}",0.223,0.993
compas,"{'priors_Few', 'juv_misd=0', 'male'} -> {'risk_low'}",0.369,0.993
compas,"{'priors_Few', 'Age (decade)_20.0'} -> {'risk_low'}",0.22,0.993
compas,"{'juv_misd=0', 'priors_Few', 'recidive'} -> {'risk_low'}",0.213,0.992
compas,"{'priors_Few', 'juv_misd=0', 'juv_fel=0', 'male'} -> {'risk_low'}",0.354,0.992
compas,"{'priors_No', 'juv_misd=0'} -> {'risk_low'}",0.271,0.992
compas,"{'priors_No', 'juv_fel=0'} -> {'risk_low'}",0.271,0.992
compas,"{'priors_No', 'juv_misd=0', 'juv_fel=0'} -> {'risk_low'}",0.271,0.992
compas,{'priors_No'} -> {'risk_low'},0.271,0.992
compas,"{'priors_Few', 'juv_fel=0'} -> {'risk_low'}",0.473,0.992
compas,"{'recidive', 'priors_Few', 'juv_misd=0', 'juv_fel=0'} -> {'risk_low'}",0.201,0.992
compas,"{'priors_Few', 'male'} -> {'risk_low'}",0.398,0.992
compas,"{'priors_No', 'juv_fel=0', 'male'} -> {'risk_low'}",0.197,0.992
compas,"{'priors_No', 'male'} -> {'risk_low'}",0.197,0.992
compas,"{'priors_No', 'juv_misd=0', 'male'} -> {'risk_low'}",0.197,0.992
compas,"{'priors_No', 'juv_misd=0', 'juv_fel=0', 'male'} -> {'risk_low'}",0.197,0.992
compas,"{'priors_Few', 'juv_misd=0'} -> {'risk_low'}",0.459,0.992
compas,"{'priors_Few', 'juv_misd=0', 'juv_fel=0'} -> {'risk_low'}",0.444,0.992
compas,"{'n_recidive', 'priors_Few'} -> {'risk_low'}",0.254,0.992
compas,"{'juv_fel=0', 'priors_Few', 'c_felony', 'male'} -> {'risk_low'}",0.25,0.991
compas,"{'n_recidive', 'priors_Few', 'juv_fel=0'} -> {'risk_low'}",0.25,0.991
compas,"{'n_recidive', 'priors_Few', 'juv_misd=0'} -> {'risk_low'}",0.246,0.991
compas,{'priors_Few'} -> {'risk_low'},0.491,0.991
compas,"{'priors_Few', 'juv_misd=0', 'c_felony', 'male'} -> {'risk_low'}",0.243,0.991
compas,"{'n_recidive', 'priors_Few', 'juv_misd=0', 'juv_fel=0'} -> {'risk_low'}",0.243,0.991
compas,"{'priors_Few', 'recidive'} -> {'risk_low'}",0.237,0.991
compas,"{'c_felony', 'juv_fel=0', 'priors_Few', 'juv_misd=0', 'male'} -> {'risk_low'}",0.231,0.991
compas,"{'n_recidive', 'priors_Few', 'c_felony'} -> {'risk_low'}",0.163,0.99
compas,"{'n_recidive', 'juv_fel=0', 'priors_Few', 'c_felony'} -> {'risk_low'}",0.16,0.99
compas,"{'priors_Few', 'c_felony', 'male'} -> {'risk_low'}",0.263,0.99
compas,"{'priors_Few', 'c_felony', 'Age (decade)_20.0'} -> {'risk_low'}",0.158,0.99
compas,"{'n_recidive', 'priors_Few', 'juv_misd=0', 'c_felony'} -> {'risk_low'}",0.157,0.99
compas,"{'priors_Few', 'c_felony', 'juv_fel=0'} -> {'risk_low'}",0.313,0.99
compas,"{'c_felony', 'juv_fel=0', 'n_recidive', 'priors_Few', 'juv_misd=0'} -> {'risk_low'}",0.154,0.99
compas,"{'juv_fel=0', 'priors_Few', 'recidive', 'c_felony'} -> {'risk_low'}",0.153,0.989
compas,"{'priors_Few', 'juv_misd=0', 'c_felony'} -> {'risk_low'}",0.305,0.989
compas,"{'n_recidive', 'priors_Few', 'male'} -> {'risk_low'}",0.203,0.989
compas,"{'n_recidive', 'priors_Few', 'juv_fel=0', 'male'} -> {'risk_low'}",0.199,0.989
compas,"{'n_recidive', 'priors_Few', 'juv_misd=0', 'male'} -> {'risk_low'}",0.197,0.989
compas,"{'juv_fel=0', 'priors_Few', 'juv_misd=0', 'c_felony'} -> {'risk_low'}",0.293,0.989
