antecedents,consequents,orig_support,orig_confidence,Reject Option Classification_support,Reject Option Classification_confidence,Equalized Odds_support,Equalized Odds_confidence,Calibrated EO_support,Calibrated EO_confidence,Threshold Optimizer_support,Threshold Optimizer_confidence
"frozenset({'male', 'n_recidive', 'juv_fel=0', 'white', 'juv_misd=0'})",frozenset({'risk_low'}),0.154,0.869,0.177,1.0,,,0.175,0.985,0.169,0.954
"frozenset({'male', 'juv_misd=0', 'n_recidive', 'white'})",frozenset({'risk_low'}),0.154,0.866,0.177,0.997,,,0.175,0.982,0.169,0.951
"frozenset({'n_recidive', 'priors_No', 'juv_fel=0'})",frozenset({'risk_low'}),0.156,0.864,0.18,1.0,,,0.178,0.988,0.179,0.994
"frozenset({'n_recidive', 'priors_No', 'juv_misd=0'})",frozenset({'risk_low'}),0.156,0.864,0.18,1.0,,,0.178,0.988,0.179,0.994
"frozenset({'n_recidive', 'priors_No'})",frozenset({'risk_low'}),0.156,0.864,0.18,1.0,,,0.178,0.988,0.179,0.994
"frozenset({'juv_misd=0', 'n_recidive', 'priors_No', 'juv_fel=0'})",frozenset({'risk_low'}),0.156,0.864,0.18,1.0,,,0.178,0.988,0.179,0.994
"frozenset({'male', 'white', 'n_recidive', 'juv_fel=0'})",frozenset({'risk_low'}),0.155,0.861,0.179,0.997,,,0.176,0.976,0.17,0.946
"frozenset({'white', 'juv_misd=0', 'n_recidive', 'juv_fel=0'})",frozenset({'risk_low'}),0.198,0.861,0.229,0.995,,,0.214,0.929,0.22,0.958
"frozenset({'male', 'n_recidive', 'white'})",frozenset({'risk_low'}),0.155,0.859,0.179,0.994,,,0.176,0.973,0.17,0.943
"frozenset({'juv_misd=0', 'n_recidive', 'white'})",frozenset({'risk_low'}),0.198,0.859,0.229,0.993,,,0.214,0.927,0.22,0.955
"frozenset({'white', 'n_recidive', 'juv_fel=0'})",frozenset({'risk_low'}),0.199,0.854,0.232,0.993,,,0.215,0.921,0.222,0.949
"frozenset({'n_recidive', 'white'})",frozenset({'risk_low'}),0.199,0.852,0.232,0.991,,,0.215,0.919,0.222,0.947
"frozenset({'juv_misd=0', 'n_recidive', 'juv_fel=0', 'c_misdemeanor'})",frozenset({'risk_low'}),0.151,0.821,0.184,0.997,,,0.176,0.956,0.175,0.95
"frozenset({'c_misdemeanor', 'n_recidive', 'juv_misd=0'})",frozenset({'risk_low'}),0.151,0.813,0.184,0.988,,,0.177,0.953,0.175,0.942
"frozenset({'c_misdemeanor', 'n_recidive', 'juv_fel=0'})",frozenset({'risk_low'}),0.153,0.806,0.189,0.991,,,0.182,0.954,0.178,0.937
"frozenset({'male', 'n_recidive', 'priors_Few', 'juv_fel=0', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.189,0.997,,,0.187,0.989,0.189,0.997
"frozenset({'male', 'priors_Few', 'juv_fel=0', 'white', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.16,0.997,,,,,0.159,0.993
"frozenset({'n_recidive', 'priors_Few', 'juv_fel=0', 'juv_misd=0', 'c_felony'})",frozenset({'risk_low'}),,,0.154,0.997,,,,,0.154,0.997
"frozenset({'juv_misd=0', 'n_recidive', 'juv_fel=0', 'priors_Few'})",frozenset({'risk_low'}),,,0.241,0.996,,,0.23,0.949,0.242,0.998
"frozenset({'male', 'n_recidive', 'juv_fel=0', 'priors_Few'})",frozenset({'risk_low'}),,,0.193,0.994,,,0.192,0.986,0.194,0.997
"frozenset({'male', 'n_recidive', 'juv_misd=0', 'priors_Few'})",frozenset({'risk_low'}),,,0.189,0.994,,,0.188,0.989,0.19,0.997
"frozenset({'male', 'juv_misd=0', 'n_recidive', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.359,0.994,,,0.359,0.993,0.332,0.919
"frozenset({'male', 'white', 'priors_Few', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.167,0.994,,,0.151,0.897,0.167,0.994
"frozenset({'n_recidive', 'juv_fel=0', 'priors_Few'})",frozenset({'risk_low'}),,,0.248,0.993,,,0.236,0.948,0.249,0.998
"frozenset({'n_recidive', 'juv_misd=0', 'priors_Few'})",frozenset({'risk_low'}),,,0.242,0.993,,,0.231,0.949,0.243,0.998
"frozenset({'male', 'juv_misd=0', 'priors_Few', 'white'})",frozenset({'risk_low'}),,,0.162,0.993,,,,,0.162,0.993
"frozenset({'c_felony', 'n_recidive', 'juv_fel=0', 'priors_Few'})",frozenset({'risk_low'}),,,0.158,0.993,,,0.151,0.952,0.158,0.997
"frozenset({'c_felony', 'n_recidive', 'juv_misd=0', 'priors_Few'})",frozenset({'risk_low'}),,,0.156,0.993,,,,,0.156,0.997
"frozenset({'white', 'juv_misd=0', 'priors_Few', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.202,0.992,,,0.171,0.843,0.202,0.995
"frozenset({'juv_misd=0', 'n_recidive', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.468,0.991,,,0.456,0.966,0.44,0.93
"frozenset({'male', 'priors_Few', 'white'})",frozenset({'risk_low'}),,,0.169,0.99,,,0.151,0.886,0.17,0.994
"frozenset({'male', 'n_recidive', 'juv_fel=0', 'juv_misd=0', 'c_felony'})",frozenset({'risk_low'}),,,0.223,0.99,,,0.223,0.99,0.204,0.908
"frozenset({'juv_misd=0', 'n_recidive', 'Age (decade)_20.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.164,0.99,,,0.153,0.922,0.16,0.964
"frozenset({'white', 'juv_fel=0', 'c_misdemeanor'})",frozenset({'risk_low'}),,,0.16,0.99,,,,,,
"frozenset({'white', 'priors_Few', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.211,0.99,,,0.176,0.827,0.212,0.995
"frozenset({'white', 'juv_misd=0', 'juv_fel=0', 'c_misdemeanor'})",frozenset({'risk_low'}),,,0.154,0.99,,,,,,
"frozenset({'juv_misd=0', 'priors_Few', 'white'})",frozenset({'risk_low'}),,,0.203,0.989,,,0.171,0.834,0.204,0.995
"frozenset({'male', 'n_recidive', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.368,0.988,,,0.368,0.988,0.338,0.907
"frozenset({'male', 'n_recidive', 'n_white', 'juv_fel=0', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.182,0.988,,,0.184,1.0,0.163,0.885
"frozenset({'priors_No', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.273,0.988,,,0.266,0.965,0.275,0.996
frozenset({'priors_No'}),frozenset({'risk_low'}),,,0.273,0.988,,,0.266,0.965,0.275,0.996
"frozenset({'priors_No', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.273,0.988,,,0.266,0.965,0.275,0.996
"frozenset({'priors_No', 'juv_misd=0', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.273,0.988,,,0.266,0.965,0.275,0.996
"frozenset({'priors_Few', 'white'})",frozenset({'risk_low'}),,,0.212,0.987,,,0.176,0.819,0.214,0.995
"frozenset({'n_recidive', 'priors_Few'})",frozenset({'risk_low'}),,,0.249,0.987,,,0.24,0.948,0.252,0.998
"frozenset({'juv_misd=0', 'n_recidive', 'juv_fel=0', 'c_felony'})",frozenset({'risk_low'}),,,0.285,0.987,,,0.28,0.972,0.264,0.917
"frozenset({'white', 'c_misdemeanor'})",frozenset({'risk_low'}),,,0.161,0.987,,,,,,
"frozenset({'male', 'n_recidive', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.362,0.987,,,0.363,0.991,0.334,0.911
"frozenset({'n_recidive', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.48,0.987,,,0.468,0.962,0.447,0.92
"frozenset({'juv_misd=0', 'n_recidive', 'n_white', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.24,0.987,,,0.243,1.0,0.22,0.904
"frozenset({'c_felony', 'n_recidive', 'priors_Few'})",frozenset({'risk_low'}),,,0.159,0.987,,,0.154,0.953,0.161,0.997
"frozenset({'male', 'n_recidive', 'priors_Few'})",frozenset({'risk_low'}),,,0.195,0.986,,,0.195,0.986,0.197,0.997
"frozenset({'c_misdemeanor', 'white', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.155,0.986,,,,,,
"frozenset({'male', 'c_felony', 'n_recidive', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.228,0.986,,,0.228,0.984,0.208,0.897
"frozenset({'male', 'c_felony', 'n_recidive', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.225,0.986,,,0.226,0.99,0.206,0.903
"frozenset({'n_recidive', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.471,0.985,,,0.461,0.965,0.442,0.924
"frozenset({'n_recidive', 'Age (decade)_20.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.172,0.984,,,0.16,0.916,0.165,0.944
"frozenset({'male', 'priors_No', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.202,0.984,,,0.199,0.968,0.204,0.995
"frozenset({'male', 'priors_No'})",frozenset({'risk_low'}),,,0.202,0.984,,,0.199,0.968,0.204,0.995
"frozenset({'male', 'juv_misd=0', 'priors_No', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.202,0.984,,,0.199,0.968,0.204,0.995
"frozenset({'male', 'priors_No', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.202,0.984,,,0.199,0.968,0.204,0.995
"frozenset({'n_recidive', 'Age (decade)_20.0', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.166,0.984,,,0.156,0.923,0.162,0.961
"frozenset({'c_felony', 'n_recidive', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.291,0.984,,,0.286,0.967,0.269,0.908
"frozenset({'c_felony', 'n_recidive', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.287,0.983,,,0.284,0.972,0.267,0.913
"frozenset({'n_recidive', 'n_white', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.248,0.981,,,0.253,1.0,0.225,0.893
"frozenset({'male', 'n_recidive', 'n_white', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.189,0.98,,,0.192,1.0,0.167,0.87
"frozenset({'n_recidive', 'n_white', 'juv_fel=0', 'juv_misd=0', 'c_felony'})",frozenset({'risk_low'}),,,0.152,0.979,,,0.155,1.0,,
"frozenset({'c_felony', 'priors_No'})",frozenset({'risk_low'}),,,0.151,0.979,,,,,0.153,0.996
"frozenset({'c_felony', 'priors_No', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.151,0.979,,,,,0.153,0.996
"frozenset({'c_felony', 'priors_No', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.151,0.979,,,,,0.153,0.996
"frozenset({'juv_misd=0', 'priors_No', 'juv_fel=0', 'c_felony'})",frozenset({'risk_low'}),,,0.151,0.979,,,,,0.153,0.996
"frozenset({'n_recidive', 'n_white', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.242,0.978,,,0.248,1.0,0.222,0.895
"frozenset({'male', 'n_recidive', 'n_white', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.184,0.977,,,0.189,1.0,0.165,0.874
"frozenset({'male', 'juv_misd=0', 'priors_Few', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.365,0.977,,,0.361,0.965,0.373,0.997
"frozenset({'c_felony', 'n_recidive', 'n_white', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.156,0.976,,,0.16,1.0,,
"frozenset({'juv_misd=0', 'priors_Few', 'c_misdemeanor'})",frozenset({'risk_low'}),,,0.156,0.976,,,,,0.159,0.997
"frozenset({'juv_misd=0', 'priors_Few', 'juv_fel=0', 'c_misdemeanor'})",frozenset({'risk_low'}),,,0.154,0.976,,,,,0.158,0.997
"frozenset({'male', 'priors_Few', 'juv_fel=0', 'juv_misd=0', 'c_felony'})",frozenset({'risk_low'}),,,0.241,0.976,,,0.237,0.958,0.247,0.998
"frozenset({'c_felony', 'n_recidive'})",frozenset({'risk_low'}),,,0.294,0.975,,,0.292,0.968,0.272,0.901
frozenset({'n_recidive'}),frozenset({'risk_low'}),,,0.483,0.975,,,0.477,0.962,0.451,0.91
"frozenset({'n_recidive', 'c_misdemeanor'})",frozenset({'risk_low'}),,,0.189,0.975,,,0.185,0.953,0.179,0.925
"frozenset({'male', 'c_felony', 'n_recidive'})",frozenset({'risk_low'}),,,0.231,0.975,,,0.233,0.984,0.21,0.888
"frozenset({'juv_misd=0', 'priors_Few', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.453,0.974,,,0.433,0.931,0.463,0.998
"frozenset({'juv_misd=0', 'priors_Few', 'juv_fel=0', 'c_felony'})",frozenset({'risk_low'}),,,0.298,0.973,,,0.284,0.927,0.306,0.998
"frozenset({'male', 'n_recidive'})",frozenset({'risk_low'}),,,0.371,0.973,,,0.377,0.987,0.341,0.895
"frozenset({'c_felony', 'n_recidive', 'n_white', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.154,0.973,,,0.159,1.0,,
"frozenset({'male', 'white', 'juv_fel=0', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.296,0.972,,,0.267,0.877,0.28,0.918
"frozenset({'male', 'priors_Few', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.386,0.971,,,0.38,0.956,0.396,0.997
"frozenset({'male', 'c_felony', 'priors_Few', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.255,0.971,,,0.248,0.944,0.262,0.998
"frozenset({'male', 'white', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.308,0.971,,,0.272,0.858,0.288,0.908
"frozenset({'n_recidive', 'Age (decade)_20.0'})",frozenset({'risk_low'}),,,0.175,0.97,,,0.165,0.919,0.169,0.937
"frozenset({'c_felony', 'priors_Few', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.313,0.97,,,0.296,0.918,0.322,0.998
"frozenset({'priors_Few', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.476,0.969,,,0.454,0.925,0.49,0.998
"frozenset({'male', 'priors_Few', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.372,0.969,,,0.369,0.961,0.383,0.997
"frozenset({'priors_Few', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.461,0.968,,,0.442,0.928,0.475,0.998
"frozenset({'c_misdemeanor', 'priors_Few', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.163,0.968,,,0.158,0.939,0.168,0.997
"frozenset({'male', 'juv_misd=0', 'juv_fel=0', 'c_misdemeanor'})",frozenset({'risk_low'}),,,0.24,0.967,,,0.239,0.965,0.222,0.895
"frozenset({'juv_misd=0', 'juv_fel=0', 'c_misdemeanor'})",frozenset({'risk_low'}),,,0.309,0.966,,,0.3,0.937,0.289,0.902
