Dataset,Rule,support,confidence
compas,"{'juv_fel=0', 'male', 'priors_Few', 'c_felony', 'n_white'} -> {'risk_low'}",0.159,1.0
compas,"{'Age (decade)_20.0', 'c_felony', 'n_white', 'recidive'} -> {'risk_low'}",0.144,1.0
compas,"{'c_felony', 'n_white', 'male', 'recidive'} -> {'risk_low'}",0.225,1.0
compas,"{'juv_fel=0', 'c_felony', 'n_white', 'recidive'} -> {'risk_low'}",0.221,1.0
compas,"{'juv_fel=0', 'male', 'c_felony', 'n_white', 'recidive'} -> {'risk_low'}",0.201,1.0
compas,"{'juv_misd=0', 'juv_fel=0', 'male', 'Age (decade)_20.0', 'c_felony', 'n_white'} -> {'risk_low'}",0.153,1.0
compas,"{'juv_misd=0', 'male', 'Age (decade)_20.0', 'c_felony', 'n_white'} -> {'risk_low'}",0.163,1.0
compas,"{'juv_misd=0', 'c_felony', 'n_white', 'recidive'} -> {'risk_low'}",0.214,1.0
compas,"{'juv_misd=0', 'juv_fel=0', 'Age (decade)_20.0', 'c_felony', 'n_white'} -> {'risk_low'}",0.179,1.0
compas,"{'juv_misd=0', 'Age (decade)_20.0', 'c_felony', 'n_white'} -> {'risk_low'}",0.19,1.0
compas,"{'priors_Few', 'c_felony', 'n_white', 'male'} -> {'risk_low'}",0.172,1.0
compas,"{'male', 'juv_misd=0', 'priors_Few', 'c_felony', 'n_white'} -> {'risk_low'}",0.156,1.0
compas,"{'juv_fel=0', 'juv_misd=0', 'priors_Few', 'c_felony', 'n_white'} -> {'risk_low'}",0.179,1.0
compas,"{'juv_misd=0', 'Age (decade)_20.0', 'juv_fel=0', 'priors_No'} -> {'risk_low'}",0.133,1.0
compas,"{'juv_misd=0', 'priors_No', 'Age (decade)_20.0'} -> {'risk_low'}",0.133,1.0
compas,"{'juv_misd=0', 'male', 'Age (decade)_20.0', 'c_felony', 'n_white', 'recidive'} -> {'risk_low'}",0.108,1.0
compas,"{'juv_fel=0', 'male', 'juv_misd=0', 'n_white', 'recidive'} -> {'risk_low'}",0.244,1.0
compas,"{'juv_misd=0', 'juv_fel=0', 'Age (decade)_20.0', 'c_felony', 'n_white', 'recidive'} -> {'risk_low'}",0.111,1.0
compas,"{'juv_misd=0', 'Age (decade)_20.0', 'c_felony', 'n_white', 'recidive'} -> {'risk_low'}",0.12,1.0
compas,"{'juv_fel=0', 'male', 'Age (decade)_20.0', 'c_felony', 'n_white', 'recidive'} -> {'risk_low'}",0.117,1.0
compas,"{'c_felony', 'n_white', 'recidive'} -> {'risk_low'}",0.247,1.0
compas,"{'juv_fel=0', 'Age (decade)_20.0', 'c_felony', 'n_white', 'recidive'} -> {'risk_low'}",0.129,1.0
compas,"{'male', 'Age (decade)_20.0', 'c_felony', 'n_white', 'recidive'} -> {'risk_low'}",0.131,1.0
compas,"{'juv_fel=0', 'male', 'juv_misd=0', 'c_felony', 'priors_No'} -> {'risk_low'}",0.123,1.0
compas,"{'juv_misd=0', 'Age (decade)_20.0', 'n_white', 'recidive'} -> {'risk_low'}",0.16,1.0
compas,"{'juv_misd=0', 'n_white', 'male', 'recidive'} -> {'risk_low'}",0.264,1.0
compas,"{'juv_fel=0', 'male', 'Age (decade)_20.0', 'n_white', 'recidive'} -> {'risk_low'}",0.156,1.0
compas,"{'Age (decade)_20.0', 'n_white', 'male', 'recidive'} -> {'risk_low'}",0.171,1.0
compas,"{'Age (decade)_20.0', 'juv_fel=0', 'n_white', 'recidive'} -> {'risk_low'}",0.175,1.0
compas,"{'Age (decade)_20.0', 'n_white', 'recidive'} -> {'risk_low'}",0.19,1.0
compas,"{'juv_fel=0', 'male', 'juv_misd=0', 'priors_Few', 'c_felony', 'n_white'} -> {'risk_low'}",0.147,1.0
compas,"{'Age (decade)_30.0', 'n_white'} -> {'risk_low'}",0.164,1.0
compas,"{'juv_misd=0', 'priors_Few', 'c_felony', 'n_white'} -> {'risk_low'}",0.189,1.0
compas,"{'juv_fel=0', 'c_felony', 'priors_No', 'male'} -> {'risk_low'}",0.123,1.0
compas,"{'juv_misd=0', 'c_felony', 'priors_No', 'male'} -> {'risk_low'}",0.123,1.0
compas,"{'Age (decade)_20.0', 'juv_fel=0', 'n_white', 'priors_Few'} -> {'risk_low'}",0.15,1.0
compas,"{'Age (decade)_20.0', 'priors_Few', 'n_white'} -> {'risk_low'}",0.162,1.0
compas,"{'Age (decade)_20.0', 'priors_Few', 'n_white', 'recidive'} -> {'risk_low'}",0.107,1.0
compas,"{'juv_fel=0', 'priors_Few', 'c_felony', 'n_white', 'recidive'} -> {'risk_low'}",0.102,1.0
compas,"{'juv_misd=0', 'priors_Few', 'c_felony', 'n_white', 'recidive'} -> {'risk_low'}",0.101,1.0
compas,"{'n_white', 'recidive'} -> {'risk_low'}",0.338,1.0
compas,"{'juv_fel=0', 'n_white', 'recidive'} -> {'risk_low'}",0.308,1.0
compas,"{'n_white', 'male', 'recidive'} -> {'risk_low'}",0.304,1.0
compas,"{'juv_fel=0', 'n_white', 'male', 'recidive'} -> {'risk_low'}",0.276,1.0
compas,"{'juv_misd=0', 'n_white', 'recidive'} -> {'risk_low'}",0.295,1.0
compas,"{'juv_misd=0', 'juv_fel=0', 'male', 'Age (decade)_20.0', 'n_white', 'recidive'} -> {'risk_low'}",0.132,1.0
compas,"{'juv_misd=0', 'male', 'Age (decade)_20.0', 'n_white', 'recidive'} -> {'risk_low'}",0.142,1.0
compas,"{'juv_misd=0', 'juv_fel=0', 'n_white', 'recidive'} -> {'risk_low'}",0.274,1.0
compas,"{'juv_misd=0', 'juv_fel=0', 'Age (decade)_20.0', 'n_white', 'recidive'} -> {'risk_low'}",0.151,1.0
compas,"{'juv_misd=0', 'juv_fel=0', 'Age (decade)_20.0', 'priors_Few', 'c_felony', 'n_white'} -> {'risk_low'}",0.1,1.0
compas,"{'juv_misd=0', 'Age (decade)_20.0', 'priors_Few', 'c_felony', 'n_white'} -> {'risk_low'}",0.107,1.0
compas,"{'juv_fel=0', 'Age (decade)_20.0', 'priors_Few', 'c_felony', 'n_white'} -> {'risk_low'}",0.112,1.0
compas,"{'Age (decade)_20.0', 'priors_Few', 'c_felony', 'n_white'} -> {'risk_low'}",0.124,1.0
compas,"{'priors_Few', 'c_felony', 'n_white', 'recidive'} -> {'risk_low'}",0.113,1.0
compas,"{'juv_misd=0', 'juv_fel=0', 'male', 'Age (decade)_20.0', 'priors_Few', 'n_white'} -> {'risk_low'}",0.111,1.0
compas,"{'juv_misd=0', 'male', 'Age (decade)_20.0', 'priors_Few', 'n_white'} -> {'risk_low'}",0.118,1.0
compas,"{'juv_fel=0', 'male', 'Age (decade)_20.0', 'priors_Few', 'n_white'} -> {'risk_low'}",0.127,1.0
compas,"{'Age (decade)_20.0', 'priors_Few', 'n_white', 'male'} -> {'risk_low'}",0.138,1.0
compas,"{'juv_misd=0', 'juv_fel=0', 'Age (decade)_20.0', 'priors_Few', 'n_white'} -> {'risk_low'}",0.132,1.0
