Dataset,Rule,support,confidence
compas,"{'priors_Many', 'n_white'} -> {'risk_low'}",0.163,1.0
compas,"{'juv_misd=0', 'n_white', 'juv_fel=0', 'Age (decade)_30.0'} -> {'risk_low'}",0.151,1.0
compas,"{'n_white', 'juv_misd=0', 'Age (decade)_30.0'} -> {'risk_low'}",0.158,1.0
compas,"{'n_white', 'Age (decade)_30.0', 'juv_fel=0'} -> {'risk_low'}",0.163,1.0
compas,"{'n_white', 'Age (decade)_30.0'} -> {'risk_low'}",0.173,1.0
compas,"{'n_white', 'juv_fel=0'} -> {'risk_low'}",0.551,1.0
compas,{'n_white'} -> {'risk_low'},0.586,1.0
compas,"{'juv_misd=0', 'n_white', 'juv_fel=0', 'c_misdemeanor'} -> {'risk_low'}",0.165,1.0
compas,"{'juv_misd=0', 'n_white', 'c_misdemeanor'} -> {'risk_low'}",0.17,1.0
compas,"{'n_white', 'c_misdemeanor', 'juv_fel=0'} -> {'risk_low'}",0.177,1.0
compas,"{'n_white', 'c_misdemeanor'} -> {'risk_low'}",0.184,1.0
compas,"{'c_felony', 'n_white'} -> {'risk_low'}",0.402,1.0
compas,"{'n_white', 'juv_misd=0', 'juv_fel=0'} -> {'risk_low'}",0.509,1.0
compas,"{'male', 'n_recidive', 'n_white', 'juv_fel=0'} -> {'risk_low'}",0.192,1.0
compas,"{'c_felony', 'n_recidive', 'n_white', 'juv_misd=0'} -> {'risk_low'}",0.159,1.0
compas,"{'c_felony', 'n_recidive', 'n_white', 'juv_fel=0'} -> {'risk_low'}",0.16,1.0
compas,"{'n_white', 'juv_misd=0'} -> {'risk_low'}",0.534,1.0
compas,"{'male', 'n_recidive', 'n_white', 'juv_fel=0', 'juv_misd=0'} -> {'risk_low'}",0.184,1.0
compas,"{'male', 'n_recidive', 'n_white', 'juv_misd=0'} -> {'risk_low'}",0.189,1.0
compas,"{'n_recidive', 'n_white', 'juv_fel=0', 'juv_misd=0', 'c_felony'} -> {'risk_low'}",0.155,1.0
compas,"{'c_felony', 'n_white', 'juv_fel=0'} -> {'risk_low'}",0.375,1.0
compas,"{'c_felony', 'n_white', 'juv_misd=0'} -> {'risk_low'}",0.364,1.0
compas,"{'c_felony', 'n_recidive', 'n_white'} -> {'risk_low'}",0.166,1.0
compas,"{'juv_misd=0', 'n_white', 'juv_fel=0', 'c_felony'} -> {'risk_low'}",0.345,1.0
compas,"{'male', 'n_white', 'juv_fel=0', 'c_felony', 'Age (decade)_20.0'} -> {'risk_low'}",0.159,1.0
compas,"{'male', 'Age (decade)_20.0', 'n_white'} -> {'risk_low'}",0.239,1.0
compas,"{'male', 'n_white', 'juv_fel=0', 'Age (decade)_20.0'} -> {'risk_low'}",0.222,1.0
compas,"{'male', 'n_white', 'juv_misd=0', 'Age (decade)_20.0'} -> {'risk_low'}",0.206,1.0
compas,"{'male', 'n_white', 'juv_fel=0', 'juv_misd=0', 'Age (decade)_20.0'} -> {'risk_low'}",0.195,1.0
compas,"{'recidive', 'n_white', 'Age (decade)_20.0'} -> {'risk_low'}",0.182,1.0
compas,"{'recidive', 'n_white', 'juv_fel=0', 'Age (decade)_20.0'} -> {'risk_low'}",0.169,1.0
compas,"{'recidive', 'n_white', 'juv_misd=0', 'Age (decade)_20.0'} -> {'risk_low'}",0.155,1.0
compas,"{'male', 'recidive', 'n_white', 'Age (decade)_20.0'} -> {'risk_low'}",0.158,1.0
compas,"{'priors_Few', 'Age (decade)_20.0', 'n_white'} -> {'risk_low'}",0.155,1.0
compas,"{'n_recidive', 'n_white'} -> {'risk_low'}",0.262,1.0
compas,"{'n_recidive', 'n_white', 'juv_fel=0'} -> {'risk_low'}",0.253,1.0
compas,"{'male', 'c_felony', 'n_white'} -> {'risk_low'}",0.336,1.0
compas,"{'male', 'c_felony', 'n_white', 'juv_fel=0'} -> {'risk_low'}",0.311,1.0
compas,"{'male', 'c_felony', 'n_white', 'juv_misd=0'} -> {'risk_low'}",0.301,1.0
compas,"{'n_recidive', 'n_white', 'juv_misd=0'} -> {'risk_low'}",0.248,1.0
compas,"{'juv_misd=0', 'n_recidive', 'n_white', 'juv_fel=0'} -> {'risk_low'}",0.243,1.0
compas,"{'male', 'n_recidive', 'n_white'} -> {'risk_low'}",0.201,1.0
compas,"{'male', 'recidive', 'n_white'} -> {'risk_low'}",0.281,1.0
compas,"{'male', 'n_white', 'juv_misd=0'} -> {'risk_low'}",0.435,1.0
compas,"{'male', 'n_white', 'juv_fel=0'} -> {'risk_low'}",0.45,1.0
compas,"{'male', 'n_white'} -> {'risk_low'}",0.482,1.0
compas,"{'male', 'recidive', 'n_white', 'juv_fel=0', 'c_felony'} -> {'risk_low'}",0.187,1.0
compas,"{'male', 'recidive', 'n_white', 'c_felony'} -> {'risk_low'}",0.207,1.0
compas,"{'male', 'recidive', 'n_white', 'juv_fel=0', 'juv_misd=0', 'c_felony'} -> {'risk_low'}",0.164,1.0
compas,"{'male', 'recidive', 'n_white', 'juv_misd=0', 'c_felony'} -> {'risk_low'}",0.179,1.0
compas,"{'recidive', 'n_white', 'juv_fel=0', 'juv_misd=0', 'c_felony'} -> {'risk_low'}",0.19,1.0
compas,"{'recidive', 'n_white', 'juv_misd=0', 'c_felony'} -> {'risk_low'}",0.205,1.0
compas,"{'recidive', 'n_white', 'juv_fel=0', 'c_felony'} -> {'risk_low'}",0.215,1.0
compas,"{'recidive', 'n_white', 'c_felony'} -> {'risk_low'}",0.236,1.0
compas,"{'recidive', 'n_white', 'juv_fel=0', 'juv_misd=0'} -> {'risk_low'}",0.267,1.0
compas,"{'recidive', 'n_white', 'juv_misd=0'} -> {'risk_low'}",0.286,1.0
compas,"{'recidive', 'n_white', 'juv_fel=0'} -> {'risk_low'}",0.299,1.0
compas,"{'recidive', 'n_white'} -> {'risk_low'}",0.324,1.0
compas,"{'male', 'priors_Few', 'n_white', 'juv_fel=0', 'juv_misd=0'} -> {'risk_low'}",0.214,1.0
compas,"{'male', 'juv_misd=0', 'n_white', 'juv_fel=0'} -> {'risk_low'}",0.412,1.0
compas,"{'male', 'c_felony', 'n_white', 'Age (decade)_20.0'} -> {'risk_low'}",0.173,1.0
compas,"{'male', 'n_white', 'juv_fel=0', 'juv_misd=0', 'c_felony'} -> {'risk_low'}",0.283,1.0
compas,"{'n_white', 'juv_fel=0', 'juv_misd=0', 'c_felony', 'Age (decade)_20.0'} -> {'risk_low'}",0.166,1.0
compas,"{'c_felony', 'n_white', 'juv_misd=0', 'Age (decade)_20.0'} -> {'risk_low'}",0.177,1.0
compas,"{'c_felony', 'n_white', 'juv_fel=0', 'Age (decade)_20.0'} -> {'risk_low'}",0.186,1.0
compas,"{'c_felony', 'Age (decade)_20.0', 'n_white'} -> {'risk_low'}",0.203,1.0
