Dataset,Rule,support,confidence
compas,"{'n_recidive', 'juv_fel=0', 'priors_No', 'male'} -> {'risk_low'}",0.121,0.911
compas,"{'n_recidive', 'juv_fel=0', 'male', 'juv_misd=0', 'priors_No'} -> {'risk_low'}",0.121,0.911
compas,"{'n_recidive', 'juv_misd=0', 'priors_No', 'male'} -> {'risk_low'}",0.121,0.911
compas,"{'n_recidive', 'priors_No', 'male'} -> {'risk_low'}",0.121,0.911
compas,"{'n_recidive', 'juv_misd=0', 'priors_No'} -> {'risk_low'}",0.169,0.904
compas,"{'n_recidive', 'juv_fel=0', 'priors_No'} -> {'risk_low'}",0.169,0.904
compas,"{'n_recidive', 'priors_No'} -> {'risk_low'}",0.169,0.904
compas,"{'n_recidive', 'juv_misd=0', 'juv_fel=0', 'priors_No'} -> {'risk_low'}",0.169,0.904
compas,"{'c_misdemeanor', 'priors_No'} -> {'risk_low'}",0.114,0.89
compas,"{'juv_fel=0', 'c_misdemeanor', 'priors_No'} -> {'risk_low'}",0.114,0.89
compas,"{'n_recidive', 'juv_fel=0', 'male', 'juv_misd=0', 'priors_Few', 'c_felony'} -> {'risk_low'}",0.109,0.89
compas,"{'juv_misd=0', 'juv_fel=0', 'c_misdemeanor', 'priors_No'} -> {'risk_low'}",0.114,0.89
compas,"{'juv_misd=0', 'c_misdemeanor', 'priors_No'} -> {'risk_low'}",0.114,0.89
compas,"{'n_recidive', 'juv_fel=0', 'white', 'juv_misd=0', 'priors_Few'} -> {'risk_low'}",0.103,0.888
compas,"{'n_white', 'priors_No'} -> {'risk_low'}",0.133,0.888
compas,"{'juv_misd=0', 'n_white', 'priors_No'} -> {'risk_low'}",0.133,0.888
compas,"{'juv_fel=0', 'n_white', 'priors_No'} -> {'risk_low'}",0.133,0.888
compas,"{'juv_misd=0', 'juv_fel=0', 'n_white', 'priors_No'} -> {'risk_low'}",0.133,0.888
compas,"{'n_recidive', 'juv_misd=0', 'priors_Few', 'white'} -> {'risk_low'}",0.104,0.884
compas,"{'n_recidive', 'juv_fel=0', 'priors_Few', 'white'} -> {'risk_low'}",0.104,0.884
compas,"{'n_recidive', 'juv_fel=0', 'juv_misd=0', 'priors_Few', 'c_felony'} -> {'risk_low'}",0.14,0.884
compas,"{'n_white', 'priors_No', 'male'} -> {'risk_low'}",0.102,0.883
