Dataset,Rule,support,confidence
compas,"{'priors_No', 'male'} -> {'risk_low'}",0.198,0.995
compas,"{'priors_No', 'juv_misd=0', 'male'} -> {'risk_low'}",0.198,0.995
compas,"{'priors_No', 'juv_fel=0', 'male'} -> {'risk_low'}",0.198,0.995
compas,"{'priors_No', 'juv_misd=0', 'juv_fel=0', 'male'} -> {'risk_low'}",0.198,0.995
compas,"{'n_recidive', 'white', 'male'} -> {'risk_low'}",0.176,0.994
compas,"{'n_recidive', 'white', 'juv_fel=0', 'male'} -> {'risk_low'}",0.176,0.994
compas,"{'juv_misd=0', 'white', 'n_recidive', 'male'} -> {'risk_low'}",0.174,0.994
compas,"{'white', 'juv_fel=0', 'n_recidive', 'juv_misd=0', 'male'} -> {'risk_low'}",0.173,0.994
compas,"{'n_recidive', 'white'} -> {'risk_low'}",0.23,0.991
compas,"{'n_recidive', 'white', 'juv_fel=0'} -> {'risk_low'}",0.23,0.991
compas,"{'juv_misd=0', 'white', 'n_recidive'} -> {'risk_low'}",0.228,0.991
compas,"{'juv_misd=0', 'white', 'n_recidive', 'juv_fel=0'} -> {'risk_low'}",0.228,0.991
compas,"{'c_misdemeanor', 'white'} -> {'risk_low'}",0.164,0.99
compas,"{'c_misdemeanor', 'white', 'juv_fel=0'} -> {'risk_low'}",0.163,0.99
compas,"{'priors_No', 'juv_misd=0', 'juv_fel=0'} -> {'risk_low'}",0.27,0.99
compas,"{'priors_No', 'juv_misd=0'} -> {'risk_low'}",0.27,0.99
compas,{'priors_No'} -> {'risk_low'},0.27,0.99
compas,"{'priors_No', 'juv_fel=0'} -> {'risk_low'}",0.27,0.99
compas,"{'juv_misd=0', 'c_misdemeanor', 'white'} -> {'risk_low'}",0.159,0.99
compas,"{'juv_misd=0', 'c_misdemeanor', 'white', 'juv_fel=0'} -> {'risk_low'}",0.159,0.99
compas,"{'priors_Few', 'white'} -> {'risk_low'}",0.208,0.99
compas,"{'priors_Few', 'white', 'juv_fel=0'} -> {'risk_low'}",0.205,0.99
compas,"{'juv_misd=0', 'priors_Few', 'white'} -> {'risk_low'}",0.199,0.989
compas,"{'juv_misd=0', 'priors_Few', 'white', 'juv_fel=0'} -> {'risk_low'}",0.196,0.989
compas,"{'n_recidive', 'c_misdemeanor', 'juv_misd=0'} -> {'risk_low'}",0.193,0.989
compas,"{'n_recidive', 'c_misdemeanor', 'juv_misd=0', 'juv_fel=0'} -> {'risk_low'}",0.191,0.989
compas,"{'priors_No', 'juv_misd=0', 'n_recidive'} -> {'risk_low'}",0.188,0.989
compas,"{'priors_No', 'n_recidive'} -> {'risk_low'}",0.188,0.989
compas,"{'priors_No', 'n_recidive', 'juv_fel=0'} -> {'risk_low'}",0.188,0.989
compas,"{'priors_No', 'juv_misd=0', 'n_recidive', 'juv_fel=0'} -> {'risk_low'}",0.188,0.989
compas,"{'priors_Few', 'white', 'male'} -> {'risk_low'}",0.17,0.987
compas,"{'priors_Few', 'white', 'juv_fel=0', 'male'} -> {'risk_low'}",0.167,0.987
compas,"{'c_misdemeanor', 'priors_Few'} -> {'risk_low'}",0.162,0.987
compas,"{'juv_misd=0', 'priors_Few', 'white', 'male'} -> {'risk_low'}",0.161,0.987
compas,"{'c_misdemeanor', 'priors_Few', 'juv_fel=0'} -> {'risk_low'}",0.159,0.987
compas,"{'white', 'juv_fel=0', 'priors_Few', 'juv_misd=0', 'male'} -> {'risk_low'}",0.158,0.986
compas,"{'n_recidive', 'c_misdemeanor', 'juv_fel=0'} -> {'risk_low'}",0.194,0.986
compas,"{'c_misdemeanor', 'priors_Few', 'juv_misd=0'} -> {'risk_low'}",0.152,0.986
compas,"{'n_recidive', 'c_misdemeanor'} -> {'risk_low'}",0.196,0.984
compas,"{'n_recidive', 'priors_Few', 'juv_misd=0'} -> {'risk_low'}",0.243,0.978
compas,"{'n_recidive', 'priors_Few', 'juv_misd=0', 'juv_fel=0'} -> {'risk_low'}",0.24,0.978
compas,"{'n_recidive', 'priors_Few', 'juv_fel=0'} -> {'risk_low'}",0.246,0.976
compas,"{'n_recidive', 'priors_Few'} -> {'risk_low'}",0.249,0.975
compas,"{'n_recidive', 'priors_Few', 'juv_misd=0', 'male'} -> {'risk_low'}",0.193,0.973
compas,"{'juv_fel=0', 'n_recidive', 'priors_Few', 'juv_misd=0', 'male'} -> {'risk_low'}",0.19,0.972
compas,"{'n_recidive', 'priors_Few', 'juv_fel=0', 'male'} -> {'risk_low'}",0.196,0.97
compas,"{'n_recidive', 'juv_misd=0', 'juv_fel=0'} -> {'risk_low'}",0.468,0.97
compas,"{'n_recidive', 'priors_Few', 'juv_misd=0', 'c_felony'} -> {'risk_low'}",0.153,0.969
compas,"{'n_recidive', 'juv_misd=0'} -> {'risk_low'}",0.473,0.969
compas,"{'c_felony', 'juv_fel=0', 'n_recidive', 'priors_Few', 'juv_misd=0'} -> {'risk_low'}",0.151,0.969
