Dataset,Rule,support,confidence
compas,"{'male', 'recidive', 'priors_Many', 'n_white'} -> {'risk_high'}",0.106,1.0
compas,"{'juv_fel=0', 'recidive', 'priors_Many', 'n_white'} -> {'risk_high'}",0.101,1.0
compas,"{'recidive', 'priors_Many', 'n_white'} -> {'risk_high'}",0.118,1.0
compas,"{'priors_No', 'juv_misd=0', 'n_white'} -> {'risk_low'}",0.133,1.0
compas,"{'juv_fel=0', 'priors_No', 'n_white'} -> {'risk_low'}",0.133,1.0
compas,"{'priors_No', 'n_white'} -> {'risk_low'}",0.133,1.0
compas,"{'juv_fel=0', 'priors_No', 'juv_misd=0', 'n_white'} -> {'risk_low'}",0.133,1.0
compas,"{'juv_fel=0', 'recidive', 'juv_misd=0', 'priors_Many'} -> {'risk_high'}",0.112,1.0
compas,"{'male', 'recidive', 'c_felony', 'priors_Many'} -> {'risk_high'}",0.105,1.0
compas,"{'male', 'recidive', 'priors_Many', 'juv_fel=0'} -> {'risk_high'}",0.116,1.0
compas,"{'n_recidive', 'priors_Few', 'juv_misd=0', 'n_white'} -> {'risk_low'}",0.13,1.0
compas,"{'juv_fel=0', 'n_recidive', 'n_white', 'c_felony', 'juv_misd=0'} -> {'risk_low'}",0.155,1.0
compas,"{'male', 'juv_fel=0', 'n_recidive', 'n_white', 'c_felony', 'juv_misd=0'} -> {'risk_low'}",0.119,1.0
compas,"{'male', 'juv_fel=0', 'n_recidive', 'n_white', 'juv_misd=0'} -> {'risk_low'}",0.184,1.0
compas,"{'juv_fel=0', 'n_recidive', 'juv_misd=0', 'n_white'} -> {'risk_low'}",0.243,1.0
compas,"{'juv_fel=0', 'n_recidive', 'n_white', 'priors_Few', 'juv_misd=0'} -> {'risk_low'}",0.128,1.0
compas,"{'male', 'recidive', 'priors_Many'} -> {'risk_high'}",0.135,1.0
compas,"{'male', 'recidive', 'juv_misd=0', 'priors_Many'} -> {'risk_high'}",0.109,1.0
compas,"{'recidive', 'c_felony', 'priors_Many'} -> {'risk_high'}",0.12,1.0
