antecedents,consequents,orig_support,orig_confidence,Decision Tree_support,Decision Tree_confidence,Logistic Regression_support,Logistic Regression_confidence,Random Forest_support,Random Forest_confidence,KNN_support,KNN_confidence,support,confidence
"frozenset({'Age (decade)_20.0', 'juv_fel=0', 'juv_misd=0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.201,1.0,0.201,1.0
"frozenset({'Age (decade)_20.0', 'juv_misd=0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.209,1.0,0.209,1.0
"frozenset({'Age (decade)_20.0', 'juv_fel=0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.223,1.0,0.223,1.0
"frozenset({'Age (decade)_20.0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.234,1.0,0.234,1.0
"frozenset({'n_white', 'male', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.239,1.0,0.239,1.0
"frozenset({'n_white', 'juv_misd=0', 'juv_fel=0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.261,1.0,0.261,1.0
"frozenset({'n_white', 'juv_fel=0', 'priors_Few', 'male', 'juv_misd=0'})",frozenset({'risk_low'}),,,,,,,,,0.214,1.0,0.214,1.0
"frozenset({'n_white', 'male', 'juv_fel=0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.229,1.0,0.229,1.0
"frozenset({'n_white', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.29,1.0,0.29,1.0
"frozenset({'n_white', 'male', 'juv_misd=0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.222,1.0,0.222,1.0
"frozenset({'n_white', 'juv_misd=0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.27,1.0,0.27,1.0
"frozenset({'n_white', 'juv_fel=0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.278,1.0,0.278,1.0
"frozenset({'c_felony', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.334,0.998,0.334,0.998
"frozenset({'c_felony', 'juv_fel=0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.322,0.998,0.322,0.998
"frozenset({'c_felony', 'juv_misd=0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.316,0.998,0.316,0.998
"frozenset({'c_felony', 'juv_misd=0', 'juv_fel=0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.306,0.998,0.306,0.998
"frozenset({'male', 'c_felony', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.273,0.998,0.273,0.998
"frozenset({'male', 'c_felony', 'juv_fel=0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.262,0.998,0.262,0.998
"frozenset({'c_felony', 'juv_misd=0', 'male', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.256,0.998,0.256,0.998
frozenset({'priors_Few'}),frozenset({'risk_low'}),,,,,,,,,0.504,0.998,0.504,0.998
"frozenset({'n_recidive', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.252,0.998,0.252,0.998
"frozenset({'recidive', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.252,0.998,0.252,0.998
"frozenset({'juv_fel=0', 'n_recidive', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.249,0.998,0.249,0.998
"frozenset({'c_felony', 'juv_fel=0', 'priors_Few', 'male', 'juv_misd=0'})",frozenset({'risk_low'}),,,,,,,,,0.247,0.998,0.247,0.998
"frozenset({'juv_fel=0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.49,0.998,0.49,0.998
"frozenset({'juv_misd=0', 'n_recidive', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.243,0.998,0.243,0.998
"frozenset({'juv_misd=0', 'juv_fel=0', 'n_recidive', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.242,0.998,0.242,0.998
"frozenset({'juv_fel=0', 'recidive', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.241,0.998,0.241,0.998
"frozenset({'juv_misd=0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.475,0.998,0.475,0.998
"frozenset({'juv_misd=0', 'juv_fel=0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.463,0.998,0.463,0.998
"frozenset({'juv_misd=0', 'recidive', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.231,0.998,0.231,0.998
"frozenset({'juv_misd=0', 'juv_fel=0', 'recidive', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.222,0.998,0.222,0.998
"frozenset({'male', 'recidive', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.212,0.997,0.212,0.997
"frozenset({'male', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.409,0.997,0.409,0.997
"frozenset({'male', 'juv_fel=0', 'recidive', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.202,0.997,0.202,0.997
"frozenset({'male', 'juv_fel=0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.396,0.997,0.396,0.997
"frozenset({'male', 'juv_misd=0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.383,0.997,0.383,0.997
"frozenset({'male', 'juv_misd=0', 'juv_fel=0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.373,0.997,0.373,0.997
"frozenset({'priors_No', 'juv_misd=0'})",frozenset({'risk_low'}),,,,,,,,,0.275,0.996,0.275,0.996
frozenset({'priors_No'}),frozenset({'risk_low'}),,,,,,,,,0.275,0.996,0.275,0.996
"frozenset({'priors_No', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.275,0.996,0.275,0.996
"frozenset({'priors_No', 'juv_misd=0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.275,0.996,0.275,0.996
"frozenset({'white', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.214,0.995,0.214,0.995
"frozenset({'white', 'juv_fel=0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.212,0.995,0.212,0.995
"frozenset({'priors_No', 'male', 'juv_misd=0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.204,0.995,0.204,0.995
"frozenset({'white', 'juv_misd=0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.204,0.995,0.204,0.995
"frozenset({'priors_No', 'male', 'juv_misd=0'})",frozenset({'risk_low'}),,,,,,,,,0.204,0.995,0.204,0.995
"frozenset({'priors_No', 'male', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.204,0.995,0.204,0.995
"frozenset({'priors_No', 'male'})",frozenset({'risk_low'}),,,,,,,,,0.204,0.995,0.204,0.995
"frozenset({'white', 'juv_misd=0', 'juv_fel=0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.202,0.995,0.202,0.995
"frozenset({'white', 'juv_misd=0', 'juv_fel=0', 'n_recidive'})",frozenset({'risk_low'}),,,,,,,,,0.22,0.958,0.22,0.958
"frozenset({'white', 'juv_misd=0', 'n_recidive'})",frozenset({'risk_low'}),,,,,,,,,0.22,0.955,0.22,0.955
"frozenset({'white', 'juv_fel=0', 'n_recidive'})",frozenset({'risk_low'}),,,,,,,,,0.222,0.949,0.222,0.949
"frozenset({'white', 'n_recidive'})",frozenset({'risk_low'}),,,,,,,,,0.222,0.947,0.222,0.947
"frozenset({'juv_misd=0', 'juv_fel=0', 'n_recidive'})",frozenset({'risk_low'}),,,,,,,,,0.44,0.93,0.44,0.93
"frozenset({'juv_misd=0', 'n_recidive'})",frozenset({'risk_low'}),,,,,,,,,0.442,0.924,0.442,0.924
"frozenset({'juv_fel=0', 'n_recidive'})",frozenset({'risk_low'}),,,,,,,,,0.447,0.92,0.447,0.92
"frozenset({'male', 'juv_misd=0', 'juv_fel=0', 'n_recidive'})",frozenset({'risk_low'}),,,,,,,,,0.332,0.919,0.332,0.919
"frozenset({'white', 'male', 'juv_misd=0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.28,0.918,0.28,0.918
"frozenset({'c_felony', 'juv_misd=0', 'juv_fel=0', 'n_recidive'})",frozenset({'risk_low'}),,,,,,,,,0.264,0.917,0.264,0.917
"frozenset({'white', 'juv_misd=0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.36,0.916,0.36,0.916
"frozenset({'c_felony', 'juv_misd=0', 'n_recidive'})",frozenset({'risk_low'}),,,,,,,,,0.267,0.913,0.267,0.913
"frozenset({'male', 'juv_misd=0', 'n_recidive'})",frozenset({'risk_low'}),,,,,,,,,0.334,0.911,0.334,0.911
frozenset({'n_recidive'}),frozenset({'risk_low'}),,,,,,,,,0.451,0.91,0.451,0.91
"frozenset({'white', 'male', 'juv_misd=0'})",frozenset({'risk_low'}),,,,,,,,,0.282,0.909,0.282,0.909
"frozenset({'white', 'juv_misd=0'})",frozenset({'risk_low'}),,,,,,,,,0.363,0.909,0.363,0.909
"frozenset({'n_recidive', 'c_felony', 'juv_fel=0', 'male', 'juv_misd=0'})",frozenset({'risk_low'}),,,,,,,,,0.204,0.908,0.204,0.908
"frozenset({'c_felony', 'juv_fel=0', 'n_recidive'})",frozenset({'risk_low'}),,,,,,,,,0.269,0.908,0.269,0.908
"frozenset({'white', 'male', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.288,0.908,0.288,0.908
"frozenset({'white', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.371,0.907,0.371,0.907
"frozenset({'male', 'juv_fel=0', 'n_recidive'})",frozenset({'risk_low'}),,,,,,,,,0.338,0.907,0.338,0.907
"frozenset({'white', 'c_felony', 'juv_misd=0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.216,0.907,0.216,0.907
"frozenset({'n_white', 'juv_misd=0', 'juv_fel=0', 'n_recidive'})",frozenset({'risk_low'}),,,,,,,,,0.22,0.904,0.22,0.904
"frozenset({'c_felony', 'juv_misd=0', 'male', 'n_recidive'})",frozenset({'risk_low'}),,,,,,,,,0.206,0.903,0.206,0.903
"frozenset({'c_misdemeanor', 'juv_misd=0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.289,0.902,0.289,0.902
"frozenset({'c_felony', 'n_recidive'})",frozenset({'risk_low'}),,,,,,,,,0.272,0.901,0.272,0.901
frozenset({'white'}),frozenset({'risk_low'}),,,,,,,,,0.373,0.901,0.373,0.901
"frozenset({'white', 'male'})",frozenset({'risk_low'}),,,,,,,,,0.29,0.899,0.29,0.899
"frozenset({'white', 'c_felony', 'juv_misd=0'})",frozenset({'risk_low'}),,,,,,,,,0.217,0.899,0.217,0.899
"frozenset({'Age (decade)_20.0', 'juv_fel=0', 'juv_misd=0'})",frozenset({'risk_low'}),,,,,,,,,0.335,0.898,0.335,0.898
"frozenset({'male', 'c_felony', 'juv_fel=0', 'n_recidive'})",frozenset({'risk_low'}),,,,,,,,,0.208,0.897,0.208,0.897
"frozenset({'white', 'c_felony', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.222,0.897,0.222,0.897
"frozenset({'male', 'c_misdemeanor', 'juv_misd=0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.222,0.895,0.222,0.895
"frozenset({'n_white', 'juv_misd=0', 'n_recidive'})",frozenset({'risk_low'}),,,,,,,,,0.222,0.895,0.222,0.895
