Dataset,Rule,support,confidence
compas,"{'juv_misd=0', 'white', 'n_recidive', 'male'} -> {'risk_low'}",0.156,0.892
compas,"{'white', 'juv_fel=0', 'n_recidive', 'juv_misd=0', 'male'} -> {'risk_low'}",0.156,0.891
compas,"{'n_recidive', 'white', 'male'} -> {'risk_low'}",0.158,0.89
compas,"{'n_recidive', 'white', 'juv_fel=0', 'male'} -> {'risk_low'}",0.157,0.89
compas,"{'juv_misd=0', 'white', 'n_recidive'} -> {'risk_low'}",0.198,0.861
compas,"{'juv_misd=0', 'white', 'n_recidive', 'juv_fel=0'} -> {'risk_low'}",0.198,0.861
compas,"{'n_recidive', 'white'} -> {'risk_low'}",0.2,0.86
compas,"{'n_recidive', 'white', 'juv_fel=0'} -> {'risk_low'}",0.199,0.86
compas,"{'priors_No', 'n_recidive', 'juv_fel=0'} -> {'risk_low'}",0.162,0.854
compas,"{'priors_No', 'n_recidive'} -> {'risk_low'}",0.162,0.854
compas,"{'priors_No', 'juv_misd=0', 'n_recidive'} -> {'risk_low'}",0.162,0.854
compas,"{'priors_No', 'juv_misd=0', 'n_recidive', 'juv_fel=0'} -> {'risk_low'}",0.162,0.854
compas,"{'priors_No', 'juv_misd=0', 'juv_fel=0', 'male'} -> {'risk_low'}",0.16,0.804
compas,"{'priors_No', 'male'} -> {'risk_low'}",0.16,0.804
compas,"{'priors_No', 'juv_misd=0', 'male'} -> {'risk_low'}",0.16,0.804
compas,"{'priors_No', 'juv_fel=0', 'male'} -> {'risk_low'}",0.16,0.804
