antecedents,consequents,support,confidence
"frozenset({'male', 'juv_fel=0', 'n_recidive', 'white', 'juv_misd=0'})",frozenset({'risk_low'}),0.151,0.882
"frozenset({'n_recidive', 'juv_misd=0', 'male', 'white'})",frozenset({'risk_low'}),0.151,0.881
"frozenset({'juv_fel=0', 'n_recidive', 'male', 'white'})",frozenset({'risk_low'}),0.152,0.879
"frozenset({'male', 'n_recidive', 'white'})",frozenset({'risk_low'}),0.153,0.877
"frozenset({'male', 'juv_fel=0', 'n_recidive', 'priors_No', 'juv_misd=0'})",frozenset({'risk_low'}),0.115,0.866
"frozenset({'priors_No', 'juv_fel=0', 'n_recidive', 'male'})",frozenset({'risk_low'}),0.115,0.866
"frozenset({'priors_No', 'n_recidive', 'juv_misd=0', 'male'})",frozenset({'risk_low'}),0.115,0.866
"frozenset({'priors_No', 'male', 'n_recidive'})",frozenset({'risk_low'}),0.115,0.866
"frozenset({'juv_fel=0', 'juv_misd=0', 'n_recidive', 'white'})",frozenset({'risk_low'}),0.197,0.862
"frozenset({'juv_misd=0', 'n_recidive', 'white'})",frozenset({'risk_low'}),0.198,0.86
"frozenset({'juv_fel=0', 'n_recidive', 'white'})",frozenset({'risk_low'}),0.199,0.858
"frozenset({'n_recidive', 'white'})",frozenset({'risk_low'}),0.199,0.857
"frozenset({'priors_No', 'white'})",frozenset({'risk_low'}),0.116,0.853
"frozenset({'priors_No', 'juv_fel=0', 'white'})",frozenset({'risk_low'}),0.116,0.853
"frozenset({'priors_No', 'juv_misd=0', 'white'})",frozenset({'risk_low'}),0.116,0.853
"frozenset({'priors_No', 'juv_fel=0', 'juv_misd=0', 'white'})",frozenset({'risk_low'}),0.116,0.853
"frozenset({'priors_No', 'juv_misd=0', 'n_recidive'})",frozenset({'risk_low'}),0.16,0.853
"frozenset({'priors_No', 'juv_fel=0', 'n_recidive'})",frozenset({'risk_low'}),0.16,0.853
"frozenset({'priors_No', 'n_recidive'})",frozenset({'risk_low'}),0.16,0.853
"frozenset({'priors_No', 'juv_fel=0', 'juv_misd=0', 'n_recidive'})",frozenset({'risk_low'}),0.16,0.853
"frozenset({'priors_No', 'c_misdemeanor'})",frozenset({'risk_low'}),0.107,0.844
"frozenset({'priors_No', 'juv_fel=0', 'c_misdemeanor'})",frozenset({'risk_low'}),0.107,0.844
"frozenset({'priors_No', 'juv_fel=0', 'juv_misd=0', 'c_misdemeanor'})",frozenset({'risk_low'}),0.107,0.844
"frozenset({'priors_No', 'juv_misd=0', 'c_misdemeanor'})",frozenset({'risk_low'}),0.107,0.844
"frozenset({'juv_fel=0', 'juv_misd=0', 'c_misdemeanor', 'white'})",frozenset({'risk_low'}),0.129,0.843
"frozenset({'juv_misd=0', 'c_misdemeanor', 'white'})",frozenset({'risk_low'}),0.129,0.839
"frozenset({'juv_fel=0', 'c_felony', 'n_recidive', 'white', 'juv_misd=0'})",frozenset({'risk_low'}),0.108,0.839
"frozenset({'juv_misd=0', 'c_felony', 'n_recidive', 'white'})",frozenset({'risk_low'}),0.108,0.838
"frozenset({'juv_fel=0', 'c_misdemeanor', 'white'})",frozenset({'risk_low'}),0.131,0.837
"frozenset({'juv_fel=0', 'c_felony', 'n_recidive', 'white'})",frozenset({'risk_low'}),0.109,0.833
"frozenset({'c_felony', 'n_recidive', 'white'})",frozenset({'risk_low'}),0.109,0.831
"frozenset({'c_misdemeanor', 'white'})",frozenset({'risk_low'}),0.132,0.831
"frozenset({'c_misdemeanor', 'juv_fel=0', 'juv_misd=0', 'n_recidive'})",frozenset({'risk_low'}),0.154,0.819
"frozenset({'black', 'priors_Many', 'recidive'})",frozenset({'risk_high'}),0.104,0.818
"frozenset({'male', 'juv_fel=0', 'n_recidive', 'juv_misd=0', 'c_misdemeanor'})",frozenset({'risk_low'}),0.11,0.817
"frozenset({'male', 'juv_fel=0', 'white', 'priors_Few', 'juv_misd=0'})",frozenset({'risk_low'}),0.124,0.814
"frozenset({'n_recidive', 'juv_misd=0', 'c_misdemeanor'})",frozenset({'risk_low'}),0.154,0.812
"frozenset({'priors_Few', 'juv_misd=0', 'male', 'white'})",frozenset({'risk_low'}),0.125,0.808
"frozenset({'c_misdemeanor', 'n_recidive', 'juv_misd=0', 'male'})",frozenset({'risk_low'}),0.11,0.807
"frozenset({'juv_fel=0', 'n_recidive', 'c_misdemeanor'})",frozenset({'risk_low'}),0.156,0.807
