Dataset,Rule,support,confidence
adult,"{'UnitedStates', 'female', 'n_married'} -> {'<50K'}",0.241,0.955
adult,"{'female', 'n_married'} -> {'<50K'}",0.264,0.954
adult,"{'female', 'n_married', 'white'} -> {'<50K'}",0.211,0.95
adult,{'Age (decade)_20.0'} -> {'<50K'},0.234,0.937
adult,{'n_married'} -> {'<50K'},0.493,0.936
adult,"{'UnitedStates', 'n_married'} -> {'<50K'}",0.448,0.935
adult,"{'Age (decade)_20.0', 'UnitedStates'} -> {'<50K'}",0.207,0.934
adult,"{'n_married', 'white'} -> {'<50K'}",0.403,0.931
adult,"{'UnitedStates', 'n_married', 'white'} -> {'<50K'}",0.373,0.93
adult,"{'male', 'n_married'} -> {'<50K'}",0.229,0.917
adult,"{'male', 'UnitedStates', 'n_married'} -> {'<50K'}",0.207,0.913
adult,{'female'} -> {'<50K'},0.298,0.888
adult,"{'UnitedStates', 'female'} -> {'<50K'}",0.268,0.888
adult,"{'female', 'white'} -> {'<50K'}",0.237,0.878
adult,"{'UnitedStates', 'female', 'white'} -> {'<50K'}",0.218,0.876
adult,{'education.num_9.0'} -> {'<50K'},0.273,0.842
adult,"{'education.num_9.0', 'UnitedStates'} -> {'<50K'}",0.253,0.839
adult,"{'education.num_9.0', 'white'} -> {'<50K'}",0.226,0.827
adult,"{'education.num_9.0', 'UnitedStates', 'white'} -> {'<50K'}",0.213,0.825
